candidate,allocation_type,expansion_model,leadership_model,top20_model,multiplier,threshold,description,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
balanced_logistic_regression_m0_5,balanced_btc_eth,target_a_btc_eth_upside__logistic_regression,,,0.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.6388077679056371,-0.49226739256043267,0.7333333333333333,0.7214562771689604,0.18166977754013147,-0.46007076533247393,6.9108121574489285,0.29471848530144495,0.6624075864321957
balanced_elastic_net_logistic_m0_5,balanced_btc_eth,target_a_btc_eth_upside__elastic_net_logistic,,,0.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.6388077679056371,-0.49226739256043267,0.7333333333333333,0.7214562771689604,0.18166977754013147,-0.46007076533247393,6.9108121574489285,0.29471848530144495,0.6624075864321957
balanced_random_forest_m0_5,balanced_btc_eth,target_a_btc_eth_upside__random_forest,,,0.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.6388077679056371,-0.49226739256043267,0.7333333333333333,0.7214562771689604,0.18166977754013147,-0.46007076533247393,6.9108121574489285,0.29471848530144495,0.6624075864321957
balanced_gradient_boosting_m0_5,balanced_btc_eth,target_a_btc_eth_upside__gradient_boosting,,,0.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.6388077679056371,-0.49226739256043267,0.7333333333333333,0.7214562771689604,0.18166977754013147,-0.46007076533247393,6.9108121574489285,0.29471848530144495,0.6624075864321957
balanced_xgboost_m0_5,balanced_btc_eth,target_a_btc_eth_upside__xgboost,,,0.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.6388077679056371,-0.49226739256043267,0.7333333333333333,0.7214562771689604,0.18166977754013147,-0.46007076533247393,6.9108121574489285,0.29471848530144495,0.6624075864321957
dynamic_tilt_elastic_net_logistic_m0_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__elastic_net_logistic,target_b_eth_leadership__elastic_net_logistic,,0.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.6265774999799394,-0.5020405188027329,0.7333333333333333,0.7655464115295089,0.1957203523974429,-0.45419089865143203,9.12954658694569,0.29471848530144495,0.6477340369459228
dynamic_tilt_logistic_regression_m0_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,,0.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.6265774999799394,-0.5170077748460439,0.7333333333333333,0.7611065054118585,0.19426515583871562,-0.45934410722231567,9.347782760338813,0.29471848530144495,0.6439922229350952
dynamic_tilt_gradient_boosting_m0_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__gradient_boosting,target_b_eth_leadership__gradient_boosting,,0.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.621840809194954,-0.571302683647546,0.7333333333333333,0.6736084367231772,0.1619172111344378,-0.4735709721272743,8.69307424015944,0.29471848530144495,0.6256818049497341
dynamic_tilt_elastic_net_logistic_m1_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__elastic_net_logistic,target_b_eth_leadership__elastic_net_logistic,,1.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6218536651387554,0.7333333333333333,0.7164915456967768,0.22097533089868682,-0.5493206532818142,11.8756851021425,0.3644743398106627,0.5498986346837962
dynamic_tilt_elastic_net_logistic_m1_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__elastic_net_logistic,target_b_eth_leadership__elastic_net_logistic,,1.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6218536651387554,0.7333333333333333,0.7164915456967768,0.22097533089868682,-0.5493206532818142,11.8756851021425,0.3644743398106627,0.5498986346837962
dynamic_tilt_elastic_net_logistic_m2_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__elastic_net_logistic,target_b_eth_leadership__elastic_net_logistic,,2.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6218536651387554,0.7333333333333333,0.7164915456967768,0.22097533089868682,-0.5493206532818142,11.8756851021425,0.3644743398106627,0.5498986346837962
dynamic_tilt_random_forest_m0_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__random_forest,target_b_eth_leadership__random_forest,,0.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.530119596730916,-0.518020692206146,0.7333333333333333,0.6725465885001657,0.1652336540100965,-0.4600349023197381,8.69307424015944,0.29471848530144495,0.5472810903460461
dynamic_tilt_xgboost_m0_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__xgboost,target_b_eth_leadership__xgboost,,0.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.547783979750877,-0.6096015533856621,0.7333333333333333,0.6235739585710934,0.14576528587180992,-0.48455365123308614,9.20229197807673,0.29471848530144495,0.5420502580711282
dynamic_tilt_logistic_regression_m1_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,,1.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6606140138966771,0.7333333333333333,0.7504968062330564,0.23785024430806456,-0.5626057204573154,11.9211509715994,0.3644743398106627,0.5402085474943159
dynamic_tilt_logistic_regression_m1_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,,1.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6606140138966771,0.7333333333333333,0.7504968062330564,0.23785024430806456,-0.5626057204573154,11.9211509715994,0.3644743398106627,0.5402085474943159
dynamic_tilt_logistic_regression_m2_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,,2.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.5586953843018184,-0.6606140138966771,0.7333333333333333,0.7504968062330564,0.23785024430806456,-0.5626057204573154,11.9211509715994,0.3644743398106627,0.5402085474943159
balanced_random_forest_m1_0,balanced_btc_eth,target_a_btc_eth_upside__random_forest,,,1.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.4357409504985622,-0.4924339730605858,0.7333333333333333,0.6817099786015868,0.2175180398002603,-0.5952623167157923,11.457399103139013,0.4176631788739412,0.45929912390008243
balanced_random_forest_m1_5,balanced_btc_eth,target_a_btc_eth_upside__random_forest,,,1.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.4357409504985622,-0.4924339730605858,0.7333333333333333,0.6817099786015868,0.2175180398002603,-0.5952623167157923,11.457399103139013,0.4176631788739412,0.45929912390008243
balanced_random_forest_m2_0,balanced_btc_eth,target_a_btc_eth_upside__random_forest,,,2.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.4357409504985622,-0.4924339730605858,0.7333333333333333,0.6817099786015868,0.2175180398002603,-0.5952623167157923,11.457399103139013,0.4176631788739412,0.45929912390008243
balanced_elastic_net_logistic_m1_0,balanced_btc_eth,target_a_btc_eth_upside__elastic_net_logistic,,,1.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6286168381722502,0.7333333333333333,0.6529794628570902,0.19008826792275957,-0.5651095119709324,10.366218236173392,0.3644743398106627,0.4338700473131754
balanced_elastic_net_logistic_m1_5,balanced_btc_eth,target_a_btc_eth_upside__elastic_net_logistic,,,1.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6286168381722502,0.7333333333333333,0.6529794628570902,0.19008826792275957,-0.5651095119709324,10.366218236173392,0.3644743398106627,0.4338700473131754
balanced_elastic_net_logistic_m2_0,balanced_btc_eth,target_a_btc_eth_upside__elastic_net_logistic,,,2.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6286168381722502,0.7333333333333333,0.6529794628570902,0.19008826792275957,-0.5651095119709324,10.366218236173392,0.3644743398106627,0.4338700473131754
balanced_logistic_regression_m1_0,balanced_btc_eth,target_a_btc_eth_upside__logistic_regression,,,1.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6480037344780499,0.7333333333333333,0.6910490209412581,0.2083248967407081,-0.5702463873355752,10.184354758345789,0.3644743398106627,0.4290233232367255
balanced_logistic_regression_m1_5,balanced_btc_eth,target_a_btc_eth_upside__logistic_regression,,,1.5,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6480037344780499,0.7333333333333333,0.6910490209412581,0.2083248967407081,-0.5702463873355752,10.184354758345789,0.3644743398106627,0.4290233232367255
balanced_logistic_regression_m2_0,balanced_btc_eth,target_a_btc_eth_upside__logistic_regression,,,2.0,0.4,Balanced BTC/ETH expansion probability exposure multiplier.,0.44435759018957127,-0.6480037344780499,0.7333333333333333,0.6910490209412581,0.2083248967407081,-0.5702463873355752,10.184354758345789,0.3644743398106627,0.4290233232367255
dynamic_tilt_random_forest_m1_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__random_forest,target_b_eth_leadership__random_forest,,1.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.3091344212756602,-0.5148347782929782,0.7333333333333333,0.618702857397918,0.1842676957590772,-0.5776159575252586,12.47583457897359,0.4176631788739412,0.3033006644204029
dynamic_tilt_random_forest_m1_5,dynamic_btc_eth_tilt,target_a_btc_eth_upside__random_forest,target_b_eth_leadership__random_forest,,1.5,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.3091344212756602,-0.5148347782929782,0.7333333333333333,0.618702857397918,0.1842676957590772,-0.5776159575252586,12.47583457897359,0.4176631788739412,0.3033006644204029
dynamic_tilt_random_forest_m2_0,dynamic_btc_eth_tilt,target_a_btc_eth_upside__random_forest,target_b_eth_leadership__random_forest,,2.0,0.4,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,0.3091344212756602,-0.5148347782929782,0.7333333333333333,0.618702857397918,0.1842676957590772,-0.5776159575252586,12.47583457897359,0.4176631788739412,0.3033006644204029
