config,target,split,bin,observations,mean_probability,event_rate
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,6,28,0.2786258139975804,0.35714285714285715
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,7,29,0.31861119972691254,0.27586206896551724
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,8,28,0.3686556202705305,0.2857142857142857
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,9,29,0.4316763169600909,0.20689655172413793
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,development_cpcv,10,29,0.543239677859747,0.3793103448275862
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,1,8,0.13371716232718872,0.0
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,2,7,0.15071971736797238,0.0
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,3,7,0.179852170463027,0.14285714285714285
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,4,7,0.2007041510846706,0.14285714285714285
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,5,8,0.23234593931623215,0.125
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,6,7,0.27779148823983096,0.0
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,7,7,0.30346943566541035,0.14285714285714285
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,8,7,0.34462620579155673,0.14285714285714285
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,9,7,0.3870353213324684,0.14285714285714285
target_a_btc_eth_upside__gradient_boosting,target_a_btc_eth_upside,holdout,10,8,0.529576793225284,0.5
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,1,29,0.08855763668644015,0.2413793103448276
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,2,29,0.14303526433891262,0.3103448275862069
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,3,28,0.1752153956996543,0.21428571428571427
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,4,29,0.20529888246593803,0.3103448275862069
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,5,29,0.2388470819284176,0.3448275862068966
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,6,28,0.2751641388051212,0.2857142857142857
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,7,29,0.3164199272620267,0.3103448275862069
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,8,28,0.36551734932831353,0.21428571428571427
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,9,29,0.4172354721817477,0.3793103448275862
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,development_cpcv,10,29,0.5296804285254971,0.3103448275862069
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,1,8,0.13781854510307312,0.0
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,2,7,0.16469673812389374,0.0
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,3,7,0.18016453087329865,0.14285714285714285
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,4,7,0.2036825269460678,0.14285714285714285
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,5,8,0.23075410723686218,0.125
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,6,7,0.2623079717159271,0.14285714285714285
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,7,7,0.3034091889858246,0.14285714285714285
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,8,7,0.3408264219760895,0.0
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,9,7,0.40191611647605896,0.2857142857142857
target_a_btc_eth_upside__xgboost,target_a_btc_eth_upside,holdout,10,8,0.5319122076034546,0.375
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,1,29,0.052924819119109026,0.20689655172413793
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,2,29,0.14529279021055602,0.10344827586206896
target_b_eth_leadership__logistic_regression,target_b_eth_leadership,development_cpcv,3,28,0.2283976822223237,0.21428571428571427
