name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,multiplier,expansion_model,leadership_model,top20_model
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,10,False,0.22142653220843522,0.9209222848952784,1.1586602169124152,1.2268880897788752,0.2501914633561848,-0.1804781822018856,0.22490706319702602,0.024163568773234202,0.26022304832713755,0.013000000000000001,0.7397769516728625,8.819702602230484,-0.057686720710772965,0.22908005941445375,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,25,False,0.21823038211592505,0.702322325369045,0.6350412000420995,0.38269489638608056,0.4109402510711658,-0.5702463873355761,0.32950191570881227,0.02736726874657909,0.38122605363984674,0.125,0.6187739463601533,9.989053092501369,-0.3662132624059208,0.41075100257737485,1.2490421455938698,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,25,False,0.20536476019395344,0.8678889672328031,1.0939218603183687,1.1149820730681361,0.25023631868991075,-0.1841866027754544,0.22490706319702602,0.024163568773234202,0.26022304832713755,0.0325,0.7397769516728625,8.819702602230484,-0.05983982286898448,0.22818446959289007,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,50,False,0.1881994883285396,0.6415898314358413,0.5819529206074247,0.32398612567670976,0.4109165499066218,-0.5808874930537453,0.3278598795840175,0.02736726874657909,0.38122605363984674,0.25,0.6187739463601533,9.989053092501369,-0.36846256297192004,0.4070930459813842,1.2490421455938698,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,50,False,0.17903598853479918,0.7792704106267269,0.9836132063087782,0.9406276096869034,0.2503984252775845,-0.19033673548493113,0.22304832713754646,0.024163568773234202,0.26022304832713755,0.065,0.7397769516728625,8.819702602230484,-0.06342103525723375,0.22669181989028364,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,development,100,False,0.13022788953565412,0.5198138713219059,0.4732090820696645,0.21313755119458783,0.4110983302212516,-0.611003968121789,0.32731253420908596,0.02736726874657909,0.38122605363984674,0.5,0.6187739463601533,9.989053092501369,-0.3729452484069383,0.3997913651849516,1.2490421455938698,2.0,target_a_btc_eth_upside__logistic_regression,,
balanced_logistic_regression_m2_0,Balanced BTC/ETH expansion probability exposure multiplier.,balanced_btc_eth,holdout,100,False,0.1279934926644466,0.6015933918625072,0.7599884340099653,0.6319947282461358,0.25104925140154155,-0.20252303847477415,0.2211895910780669,0.024163568773234202,0.26022304832713755,0.13,0.7397769516728625,8.819702602230484,-0.07055615970418216,0.22370652048507056,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,,
dynamic_tilt_logistic_regression_m2_0,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,development,10,False,0.2608223330207753,0.7849698793928168,0.7211393677292316,0.47098305635014004,0.41014142629516664,-0.5537828367797455,0.32950191570881227,0.0325944170771757,0.38122605363984674,0.059550000000000006,0.6187739463601533,11.896962233169129,-0.3507357196240064,0.445999094788762,1.2490421455938698,2.0,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
dynamic_tilt_logistic_regression_m2_0,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,holdout,10,False,0.19603092766805874,0.8677853730855963,1.0694153984774668,1.1414787096375074,0.2382119931269713,-0.17173419531434897,0.23048327137546468,0.027137546468401483,0.26022304832713755,0.0146,0.7397769516728625,9.90520446096654,-0.057144844928577854,0.17623617775652267,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
dynamic_tilt_logistic_regression_m2_0,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,development,25,False,0.23854064750208992,0.7415042057359381,0.6826833656809812,0.423992573890275,0.4101166523814126,-0.5626057204573159,0.3284072249589491,0.0325944170771757,0.38122605363984674,0.14887499999999998,0.6187739463601533,11.896962233169129,-0.3521234559061437,0.44374810755721916,1.2490421455938698,2.0,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
dynamic_tilt_logistic_regression_m2_0,Expansion exposure multiplier with dynamic ETH/BTC leadership tilt.,dynamic_btc_eth_tilt,holdout,25,False,0.1783794357729911,0.8052071209391005,0.994805159667837,1.0179037393555213,0.23827295070855836,-0.17524194958349482,0.23048327137546468,0.027137546468401483,0.26022304832713755,0.036500000000000005,0.7397769516728625,9.90520446096654,-0.057847427918136574,0.17333662425394025,0.8587360594795539,2.0,target_a_btc_eth_upside__logistic_regression,target_b_eth_leadership__logistic_regression,
