config,model,feature,importance,method,target
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,downside_to_upside_volatility_ratio,0.10444611836051347,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,eth_btc_relative_strength_30d,0.10421339861106606,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,recovery_from_drawdown,0.10155593992191095,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,upside_semivariance,0.08098292157584307,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,distance_from_90d_lows,0.06989464556596063,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,stablecoin_supply_acceleration,0.06739746793631164,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,dispersion_acceleration,0.06682024171946561,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,tvl_percentile,0.05559799774218648,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,risk_appetite_recovery_score,0.041548873736383336,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,combined_crypto_liquidity_impulse,0.025791913501070594,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,top20_30d_high_pct,0.024932375431202344,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,jump_intensity,0.022745735715815982,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,market_dollar_volume_growth_30d,0.01826923480416506,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,volume_confirmation_of_price_trend,0.015631905657672102,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,tvl_acceleration,0.014307570339974962,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,stablecoin_supply_percentile,0.007761437736511273,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,eth_btc_relative_strength_14d,0.004026109988362701,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,top20_above_30dma_pct,0.0,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__gradient_boosting,gradient_boosting,falling_vix_after_high_vix,0.0,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,recovery_from_drawdown,0.06977619230747223,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,eth_btc_relative_strength_30d,0.06785501539707184,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,volatility_of_volatility,0.06274287402629852,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,distance_from_90d_lows,0.059706464409828186,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,risk_appetite_recovery_score,0.0596800372004509,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,downside_to_upside_volatility_ratio,0.05750778317451477,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,stablecoin_supply_acceleration,0.056667279452085495,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,tvl_acceleration,0.05469615384936333,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,volume_confirmation_of_price_trend,0.05463279038667679,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,tvl_percentile,0.05219504237174988,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,upside_semivariance,0.050600335001945496,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,top20_30d_high_pct,0.04921909421682358,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,combined_crypto_liquidity_impulse,0.04880313575267792,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,dispersion_acceleration,0.0486927293241024,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,market_dollar_volume_growth_30d,0.04803043603897095,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,stablecoin_supply_percentile,0.04794946685433388,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,jump_intensity,0.043660495430231094,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,eth_btc_relative_strength_14d,0.03899769484996796,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,top20_above_30dma_pct,0.028587061911821365,model_importance,target_a_btc_eth_upside
target_a_btc_eth_upside__xgboost,xgboost,falling_vix_after_high_vix,0.0,model_importance,target_a_btc_eth_upside
target_b_eth_leadership__logistic_regression,logistic_regression,eth_btc_relative_strength_30d,-0.7496294731158086,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,jump_intensity,-0.7466685169376841,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,distance_from_90d_lows,0.5362481794039383,coefficient,target_b_eth_leadership
target_b_eth_leadership__logistic_regression,logistic_regression,recovery_from_drawdown,0.5055045631170261,coefficient,target_b_eth_leadership
