feature,target,target_description,development_observations,development_auc,development_directed_auc,auc_direction,development_ic,newey_west_t_stat,p_value,median_cpcv_directed_auc,positive_cpcv_fold_fraction,cpcv_fold_count,holdout_auc_diagnostic,holdout_directed_auc_diagnostic,holdout_ic_diagnostic,holdout_sign_consistent_diagnostic
btc_transaction_growth_30d,target_a_btc_30d_upside,BTC 30-day forward return > +15%,287,0.5000618429189857,0.5000618429189857,1,9.491969905920229e-05,-0.20156166902935865,0.8402594138053668,0.5067915690866509,0.5333333333333333,15,0.46176470588235285,0.5382352941176471,-0.0334589577661345,False
btc_transaction_growth_30d,target_b_eth_30d_upside,ETH 30-day forward return > +20%,287,0.5159119496855346,0.5159119496855346,1,0.024217723787763573,0.0029026566797856045,0.997684018302073,0.5098280098280098,0.5333333333333333,15,0.6539589442815249,0.6539589442815249,0.1908119749814109,True
btc_transaction_growth_30d,target_c_btc_eth_50_50_30d_upside,BTC/ETH 50-50 30-day forward return > +15%,287,0.4861013370865587,0.5138986629134412,-1,-0.021906452115792535,-0.5484732555902211,0.5833669881811983,0.5058983666061707,0.6,15,0.5333333333333334,0.5333333333333334,0.03970612769556579,False
btc_transaction_growth_30d,target_d_eth_beats_btc_30d,ETH beats BTC over next 30 days by > +5%,287,0.5574680421619197,0.5574680421619197,1,0.09263742957881364,1.0593412087246343,0.2894444139956019,0.5551839464882944,0.8,15,0.6074561403508772,0.6074561403508772,0.1540058334742958,True
btc_transaction_growth_30d,target_e_top20_leadership,Top-20 equal-weight basket beats BTC/ETH 50-50 by > +5%,287,0.45552947313510694,0.5444705268648931,-1,-0.06647214407929829,-0.4966753574113682,0.619418002704043,0.5304169514695831,0.7333333333333333,15,0.6444444444444444,0.6444444444444444,0.17205988668078512,False
btc_transaction_growth_7d,target_a_btc_30d_upside,BTC 30-day forward return > +15%,287,0.5100185528756958,0.5100185528756958,1,0.015376991247590772,0.4959659667966205,0.6199184227532462,0.5086206896551724,0.6,15,0.5852941176470589,0.5852941176470589,0.07463921347830005,True
btc_transaction_growth_7d,target_b_eth_30d_upside,ETH 30-day forward return > +20%,287,0.48088050314465414,0.5191194968553459,-1,-0.029099557436680343,-0.6124718025906885,0.5402256484336065,0.52109375,0.6666666666666666,15,0.4941348973607038,0.5058651026392962,-0.007269027618339462,True
btc_transaction_growth_7d,target_c_btc_eth_50_50_30d_upside,BTC/ETH 50-50 30-day forward return > +15%,287,0.4797677691766362,0.5202322308233638,-1,-0.03188913915590053,-0.21358868985420484,0.8308678200644772,0.517636684303351,0.7333333333333333,15,0.4793650793650793,0.5206349206349207,-0.024579983811540727,True
btc_transaction_growth_7d,target_d_eth_beats_btc_30d,ETH beats BTC over next 30 days by > +5%,287,0.4927674366449877,0.5072325633550123,-1,-0.011658759429918985,-0.7404052755470634,0.45905411869179236,0.5061188811188811,0.5333333333333333,15,0.47807017543859653,0.5219298245614035,-0.03142976193352976,True
btc_transaction_growth_7d,target_e_top20_leadership,Top-20 equal-weight basket beats BTC/ETH 50-50 by > +5%,287,0.4765258215962442,0.5234741784037558,-1,-0.035087935291125194,-1.2393506984716012,0.21521565095714149,0.5350122850122849,0.8666666666666667,15,0.44126984126984137,0.5587301587301586,-0.06995841546361592,True
