family,candidate,fold,test_groups,fold_sharpe
relative,relative_winner_e40_b60_7d,10,"2,4",-1.0950377629901482
relative,relative_winner_e40_b60_7d,11,"2,5",-1.1102858514087364
relative,relative_winner_e40_b60_7d,12,"3,4",0.8828833927467645
relative,relative_winner_e40_b60_7d,13,"3,5",0.791029728923566
relative,relative_winner_e40_b60_7d,14,"4,5",0.4202121722271628
relative,relative_winner_e50_b40_7d,0,"0,1",1.7575909403983296
relative,relative_winner_e50_b40_7d,1,"0,2",-0.06026000304432369
relative,relative_winner_e50_b40_7d,2,"0,3",1.238179212224206
relative,relative_winner_e50_b40_7d,3,"0,4",1.056581516207819
relative,relative_winner_e50_b40_7d,4,"0,5",1.0164110342676664
relative,relative_winner_e50_b40_7d,5,"1,2",0.28850874316812686
relative,relative_winner_e50_b40_7d,6,"1,3",1.6967934724110676
relative,relative_winner_e50_b40_7d,7,"1,4",1.6876299315985646
relative,relative_winner_e50_b40_7d,8,"1,5",1.6137010599148474
relative,relative_winner_e50_b40_7d,9,"2,3",-0.31144720460322634
relative,relative_winner_e50_b40_7d,10,"2,4",-1.1136929100468478
relative,relative_winner_e50_b40_7d,11,"2,5",-1.076073225407494
relative,relative_winner_e50_b40_7d,12,"3,4",0.9310636003423118
relative,relative_winner_e50_b40_7d,13,"3,5",0.8814353687178547
relative,relative_winner_e50_b40_7d,14,"4,5",0.7292281091716379
relative,relative_winner_e50_b50_7d,0,"0,1",1.7505578598138987
relative,relative_winner_e50_b50_7d,1,"0,2",-0.04794950446927747
relative,relative_winner_e50_b50_7d,2,"0,3",1.2236619588917879
relative,relative_winner_e50_b50_7d,3,"0,4",1.0591235551378833
relative,relative_winner_e50_b50_7d,4,"0,5",0.9902622118987265
relative,relative_winner_e50_b50_7d,5,"1,2",0.29462187486042707
relative,relative_winner_e50_b50_7d,6,"1,3",1.6705225624764493
relative,relative_winner_e50_b50_7d,7,"1,4",1.6776913231839994
relative,relative_winner_e50_b50_7d,8,"1,5",1.569547433837632
relative,relative_winner_e50_b50_7d,9,"2,3",-0.30463102445192786
relative,relative_winner_e50_b50_7d,10,"2,4",-1.0709041593692912
relative,relative_winner_e50_b50_7d,11,"2,5",-1.0642474516667118
relative,relative_winner_e50_b50_7d,12,"3,4",0.9108204324622983
relative,relative_winner_e50_b50_7d,13,"3,5",0.8293114583559253
relative,relative_winner_e50_b50_7d,14,"4,5",0.6406414685195044
relative,relative_winner_e50_b60_7d,0,"0,1",1.7272616462885444
relative,relative_winner_e50_b60_7d,1,"0,2",-0.057709835628164834
relative,relative_winner_e50_b60_7d,2,"0,3",1.2334077198424571
relative,relative_winner_e50_b60_7d,3,"0,4",1.0180790028408364
relative,relative_winner_e50_b60_7d,4,"0,5",0.9470629195273139
relative,relative_winner_e50_b60_7d,5,"1,2",0.29372869936585944
relative,relative_winner_e50_b60_7d,6,"1,3",1.675646051727995
relative,relative_winner_e50_b60_7d,7,"1,4",1.6235520347547021
