config,model,feature,importance,method
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_level,0.10084376684841219,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,equity_momentum_21d,0.09735194719881732,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,dow_vol_level,0.0932098425194498,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_5d,0.08863268494595024,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.06443746338588673,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.06372359901770742,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_21d,0.043457454966694516,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.028748776122817888,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,volatility_expansion_probability,0.11307122558355331,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_level,0.09808938950300217,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,dow_vol_level,0.09605532884597778,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_change_21d,0.09598522633314133,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,volatility_4h_7d,0.09463998675346375,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,tvl_growth_30d,0.09014702588319778,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,equity_momentum_21d,0.08514329046010971,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,stablecoin_supply_change_7d,0.08512698858976364,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,cross_sectional_dispersion,0.08342093229293823,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_change_5d,0.08276649564504623,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,equity_realized_vol_21d,0.07555413246154785,model_importance
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,volatility_4h_7d,0.62420531266089,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,dow_vol_level,0.4213499983560991,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.3677135148197055,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_change_5d,-0.3415398869414772,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.30698263429853406,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,tvl_growth_30d,0.2504127381244083,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,volatility_expansion_probability,0.10183237134184388,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,equity_momentum_21d,-0.07851036398185735,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.07850978837430869,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_change_21d,0.06950077412159353,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_level,0.036698501064044854,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.5592325471924643,coefficient
