name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,overlay_type,rebalance_days,threshold,secondary_threshold,top_k
regime_transition_t40_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,100,False,0.24155906624277912,0.7100995832451772,0.7630830715344329,0.3155744480001893,0.44690802513943834,-0.7654582548541262,0.35467980295566504,0.019430760810071154,0.5,0.355,0.5,7.092227695675971,-0.40559624677076356,0.5171626168136121,1.3793103448275863,regime_transition,14,0.4,,5
regime_transition_t40_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,100,False,0.22736889176031427,0.8919063541833371,1.1532125344593085,0.919330076750885,0.26936969489096585,-0.24732019272543115,0.25464684014869887,0.020446096654275093,0.31226765799256506,0.11000000000000001,0.6877323420074349,7.462825278810409,-0.10510231927535385,0.24434147141773987,0.9888475836431226,regime_transition,14,0.4,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,10,False,0.31140941432586233,0.8340864846318278,0.8777150039430982,0.41833768778742914,0.4452259394280473,-0.7443972260134963,0.3399014778325123,0.019157088122605363,0.49233716475095785,0.035,0.5076628352490422,6.992337164750958,-0.40293548727121553,0.5171626168136121,1.318007662835249,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,10,False,0.2989585583312031,1.108508987537166,1.381551676292732,1.3193029908691352,0.2674386219529421,-0.2266034113469675,0.24535315985130113,0.02137546468401487,0.30576208178438663,0.0115,0.6942379182156133,7.802044609665428,-0.09895791942392862,0.25572006773133826,0.9368029739776952,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,25,False,0.2976565599934913,0.8102838316131932,0.8535982985710342,0.3979222993540407,0.445360525359199,-0.748026839603325,0.3399014778325123,0.019157088122605363,0.49233716475095785,0.0875,0.5076628352490422,6.992337164750958,-0.403378947187807,0.5171626168136121,1.318007662835249,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,25,False,0.2837962210593734,1.064064195269486,1.3320877949280883,1.2334231676244476,0.26761077987665516,-0.23008828479033694,0.24349442379182157,0.02137546468401487,0.30576208178438663,0.028750000000000005,0.6942379182156133,7.802044609665428,-0.09998328175657689,0.2538200387098206,0.9368029739776952,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,50,False,0.2750298644608953,0.7705723019930455,0.8133883702652278,0.36477631716922143,0.4456266973745161,-0.7539685322644114,0.3393541324575807,0.019157088122605363,0.49233716475095785,0.175,0.5076628352490422,6.992337164750958,-0.4041180470487925,0.5171626168136121,1.318007662835249,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,50,False,0.2588904416699471,0.989830145107275,1.247171813735528,1.0976082323582388,0.2679752065764596,-0.23586780240679728,0.241635687732342,0.02137546468401487,0.30576208178438663,0.05750000000000001,0.6942379182156133,7.802044609665428,-0.10169106725255161,0.25065652038736697,0.9368029739776952,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,development,100,False,0.23086225425192497,0.6910488001294498,0.731891803478201,0.30160005824997016,0.44631566416714546,-0.7654582548541262,0.33880678708264916,0.019157088122605363,0.49233716475095785,0.35,0.5076628352490422,6.992337164750958,-0.40559624677076356,0.5171626168136121,1.318007662835249,regime_transition,14,0.5,,5
regime_transition_t50_14d,Early re-entry overlay for predicted risk-off to risk-on transitions.,transition,holdout,100,False,0.21041953702994665,0.8410613302636696,1.0711402161122692,0.8507980473052166,0.2689931238325707,-0.24732019272543115,0.23977695167286245,0.02137546468401487,0.30576208178438663,0.11500000000000002,0.6942379182156133,7.802044609665428,-0.10510231927535385,0.24434147141773987,0.9368029739776952,regime_transition,14,0.5,,5
