feature,target,target_label,target_type,full_ic,mean_ic,newey_west_t,p_value,positive_fold_fraction,auc,fold_ic_std,holdout_ic,holdout_auc,holdout_sign_consistent
tvl_acceleration,btc_30d_upside,BTC 30d > +15%,binary,-0.0006769676108988643,-0.00347919059555997,-0.37640645377728543,0.7066147487871905,0.5333333333333333,0.5004335886688828,0.05791377345128014,0.06949168151427935,0.5794117647058824,False
tvl_acceleration,eth_30d_upside,ETH 30d > +20%,binary,0.051549486718516474,0.05600133212415442,2.398640222659984,0.016456074465909243,0.7333333333333333,0.5331535995336637,0.07473311082958278,0.01635531214126379,0.5131964809384164,True
tvl_acceleration,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.05444728773080894,0.053519547327511276,2.749653281808504,0.005965835284242882,0.8,0.5338601989371848,0.09504622298039615,0.02079844784053446,0.5174603174603174,True
tvl_acceleration,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.09614378788129371,0.10195349283818274,7.540736175300471,4.6629367034256575e-14,1.0,0.5592245989304813,0.04558870676725712,0.0801458929305009,0.555921052631579,True
tvl_acceleration,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.04368086068533555,0.04475704706778252,2.888872022252302,0.003866263906158629,0.7333333333333333,,0.06029509694067404,0.0472664445267185,,True
tvl_7d_30d_spread,btc_30d_upside,BTC 30d > +15%,binary,-0.06927635218198377,-0.04446125049574148,-1.1130348144430946,0.26569347760808015,0.6666666666666666,0.5443705737823384,0.11915738487700006,-0.028311425802113807,0.5323529411764706,True
tvl_7d_30d_spread,eth_30d_upside,ETH 30d > +20%,binary,-0.007364212388359497,0.0697699897672766,1.7250073722634394,0.08452614393077607,0.26666666666666666,0.5047362285048091,0.12494561261396456,-0.11812169879801626,0.5953079178885631,True
tvl_7d_30d_spread,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.013693985847788968,0.025563982112933,0.5929117454570129,0.5532402170753925,0.4666666666666667,0.50851614661398,0.13652423120951748,-0.015126143884025063,0.5126984126984127,True
tvl_7d_30d_spread,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.08735411878605127,-0.019979242758620123,-0.4454691949137662,0.6559807168718608,0.5333333333333333,0.5538101604278074,0.13456822734347504,-0.1037182143806482,0.5723684210526316,True
tvl_7d_30d_spread,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,-0.3360256747727135,-0.2925833859702269,-5.520826867935149,3.3740810589932835e-08,1.0,,0.17094305748499156,0.06818462297914354,,False
tvl_percentile,btc_30d_upside,BTC 30d > +15%,binary,0.10696461495534318,0.020033932514761894,0.6028844206267231,0.5465855808009423,0.6,0.5683986125162598,0.13479333552926562,-0.26512243656796036,0.8029411764705883,False
tvl_percentile,eth_30d_upside,ETH 30d > +20%,binary,0.16891361683602796,0.0585635321017088,1.0102997089189736,0.31235172057434735,0.6666666666666666,0.6084596327601282,0.17160870782721518,0.12994589680732088,0.6048387096774194,True
tvl_percentile,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.11806876122154068,0.024675728121350285,0.6728899618198976,0.5010172988554029,0.5333333333333333,0.573306990053141,0.1305022613981797,-0.14276619771531862,0.6198412698412699,False
tvl_percentile,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.2506395967749676,0.18617592177586378,4.594416274086158,4.339623203009069e-06,0.9333333333333333,0.654144385026738,0.13040131420810813,0.13201721997737703,0.5921052631578948,True
tvl_percentile,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.394507809719858,0.3026960142660894,6.894024970570332,5.423661519898815e-12,1.0,,0.14875517969873076,-0.08877163788842513,,False
combined_crypto_liquidity_impulse,btc_30d_upside,BTC 30d > +15%,binary,0.0347510040261417,0.03412302454330101,3.866247884185828,0.0001105226043038865,0.6,0.5222575516693163,0.05754317827604555,0.0720654474962897,0.5823529411764706,True
combined_crypto_liquidity_impulse,eth_30d_upside,ETH 30d > +20%,binary,0.07103632565386776,0.08082212666425105,3.045427463444873,0.002323498172925653,0.8666666666666667,0.5456863888079277,0.08528171329402352,0.08722833142007355,0.5703812316715542,True
combined_crypto_liquidity_impulse,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.05291356131585657,0.05566438136518612,2.7861881237808612,0.0053331910542313565,0.8,0.5329063905164192,0.09505245428123932,0.08319379136213784,0.5698412698412698,True
combined_crypto_liquidity_impulse,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.07042586719521401,0.07334023470237198,6.506179227071388,7.708633731340342e-11,0.9333333333333333,0.5433823529411763,0.04964840277729989,0.1728636906344137,0.6206140350877193,True
combined_crypto_liquidity_impulse,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.07076221137816294,0.06830003512766797,3.982025669796999,6.833039766984683e-05,0.8,,0.08303101324159312,0.11720967542885354,,True
top10_breadth_acceleration,btc_30d_upside,BTC 30d > +15%,binary,0.1686547172883443,0.15809207254239493,4.031590259187838,5.540071223286702e-05,0.8666666666666667,0.6074215927157104,0.12653347131161372,0.009048048695546722,0.5102941176470588,True
top10_breadth_acceleration,eth_30d_upside,ETH 30d > +20%,binary,0.11660515077652617,0.10494726590063802,2.318838877435208,0.02040377431879925,0.7333333333333333,0.5745773826872633,0.11893040311912706,0.21082210256786932,0.6693548387096774,True
top10_breadth_acceleration,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.15114400023376698,0.14233252123038267,4.27809481616281,1.8849973128842734e-05,0.8,0.5934732252350456,0.11977930605016454,0.07881414442740235,0.5658730158730159,True
top10_breadth_acceleration,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.14469314947501774,0.14661925663962588,17.518729157974974,0.0,1.0,0.5886363636363636,0.04414801535043767,0.19335927675262551,0.6343201754385965,True
top10_breadth_acceleration,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.11196647688189079,0.09727122908183115,2.6076752172087247,0.009115940228211494,0.8,,0.1637975424908501,0.27101706788026275,,True
top20_breadth_acceleration,btc_30d_upside,BTC 30d > +15%,binary,0.11731146545244171,0.1070071939038805,3.3159327823088,0.0009133779487620064,0.8,0.5750469721057956,0.11279788028455993,-0.03481654031705955,0.5397058823529411,False
top20_breadth_acceleration,eth_30d_upside,ETH 30d > +20%,binary,0.08444908914153676,0.070992525763878,1.4193286484979668,0.15580322362552135,0.6,0.5542480326435442,0.12884412759365543,0.2094097780976064,0.6686217008797654,True
top20_breadth_acceleration,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.09745286530377834,0.0882592509724239,2.991921856328074,0.0027722721575442755,0.8,0.5605327701321706,0.10948390900342227,0.04357615076650036,0.5365079365079366,True
top20_breadth_acceleration,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.13156760488200356,0.13203392642523648,17.29071020622387,0.0,1.0,0.5809491978609626,0.047544663997958106,0.19526102716034285,0.6359649122807017,True
top20_breadth_acceleration,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.08615152033274233,0.06899227849956249,1.8990399176303663,0.057559227772030264,0.8,,0.1529904358917842,0.25145161504711816,,True
top20_above_30dma_pct,btc_30d_upside,BTC 30d > +15%,binary,0.0372548921445828,0.01535733692725884,1.100635403535771,0.27105537055236306,0.6,0.5238112443994797,0.08329804361020328,-0.023264600639787497,0.526470588235294,False
top20_above_30dma_pct,eth_30d_upside,ETH 30d > +20%,binary,0.01220485612541662,-0.0276213258758708,-0.9056936040540023,0.3650980487903812,0.4666666666666667,0.507832993296415,0.1000228701224668,0.22175664452311514,0.6781524926686217,True
top20_above_30dma_pct,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,0.013777640190544636,-0.007412606324665631,-0.36824899635462643,0.7126875793818535,0.4,0.5085502112004361,0.09347877949665007,0.05602015319981229,0.5468253968253969,True
top20_above_30dma_pct,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.14587787719746653,0.12536220624806954,5.539202339864869,3.038524187815028e-08,0.9333333333333333,0.5896724598930481,0.0923866030449135,0.2746277254969504,0.6907894736842106,True
top20_above_30dma_pct,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.244225162066561,0.19858666016496831,3.896305571837471,9.767114686010103e-05,0.8,,0.22563990039764575,0.3662187410056508,,True
top20_positive_30d_return_pct,btc_30d_upside,BTC 30d > +15%,binary,0.030141752787069567,0.015317587003503967,0.29796959175168974,0.7657263722738727,0.4666666666666667,0.5192585633762105,0.1584167014580621,0.054263384734844454,0.5617647058823529,True
top20_positive_30d_return_pct,eth_30d_upside,ETH 30d > +20%,binary,-0.049119474336347474,-0.09818941958664176,-3.1826625060847142,0.0014592760075364808,0.8,0.5315141358204605,0.09951515699660829,0.1541670510741823,0.623900293255132,False
top20_positive_30d_return_pct,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.03926002373308992,-0.06116051146113632,-1.193189732815976,0.23279507476790795,0.6,0.5243561793159831,0.15146228990367017,0.014236985158104466,0.5119047619047619,False
top20_positive_30d_return_pct,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.11639275131929123,0.09179126563244887,4.715576153941702,2.4102771951639568e-06,0.8666666666666667,0.571524064171123,0.0762431853531546,0.17828223419949824,0.6239035087719299,True
top20_positive_30d_return_pct,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.3317195957284787,0.28891241218558067,6.223290914752572,4.868334624319459e-10,0.8666666666666667,,0.19240565107468408,0.15441086685904337,,True
top20_30d_high_pct,btc_30d_upside,BTC 30d > +15%,binary,-0.027399487387473026,-0.04881850717544712,-2.6566003197588395,0.007893296206905376,0.6666666666666666,0.5163679722503253,0.09585549856626979,-0.05484234905346232,0.5529411764705883,True
top20_30d_high_pct,eth_30d_upside,ETH 30d > +20%,binary,0.06832711230782836,0.03982908749300726,1.277052815286977,0.2015836016444501,0.6666666666666666,0.5409865928300788,0.09381956584871773,0.08927686088472365,0.560850439882698,True
top20_30d_high_pct,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.008163234219322942,-0.027269814527520513,-1.3215461549166072,0.18631932356250713,0.6,0.504734977517373,0.09346138512746291,0.016787034797267515,0.511904761904762,False
top20_30d_high_pct,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.1715496651391117,0.16448813658027908,5.623579346313857,1.870407917436978e-08,1.0,0.598562834224599,0.09851243409893971,0.14696457873968227,0.5866228070175439,True
top20_30d_high_pct,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.20304377929491216,0.15265848258716525,4.264471080634221,2.0037629342661845e-05,0.8,,0.18019288079389373,0.2769370590042751,,True
breadth_recovery_from_depressed,btc_30d_upside,BTC 30d > +15%,binary,0.022545353390230827,0.023866152158703254,0.4676156822259384,0.6400594481743018,0.6,0.5144168232403526,0.1614478464344361,0.06853332460177079,0.5779411764705883,True
breadth_recovery_from_depressed,eth_30d_upside,ETH 30d > +20%,binary,-0.060653820974422935,-0.09399765050071406,-3.199527128685166,0.0013765323163716925,0.8,0.5389463713203148,0.09897732371559144,0.18260101931717443,0.6466275659824047,False
breadth_recovery_from_depressed,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.04400091838498413,-0.04886925731132864,-0.9988970303680059,0.3178445749523582,0.6,0.5273197983376482,0.14641172815214581,0.04749688398130243,0.5396825396825397,False
breadth_recovery_from_depressed,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,0.10178711266459332,0.0850731437329426,4.432299543541506,9.323336858102493e-06,0.8666666666666667,0.5626002673796792,0.07101737992878279,0.21633088793132127,0.6502192982456141,True
breadth_recovery_from_depressed,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.28425453392743555,0.25230030496687467,6.046819864987476,1.4773275935908714e-09,0.8666666666666667,,0.18925239721661408,0.13138385242277262,,True
eth_btc_relative_strength_14d,btc_30d_upside,BTC 30d > +15%,binary,-0.03881280969153488,-0.060904691037232075,-4.536040936998407,5.732005873948509e-06,0.8666666666666667,0.524859083682613,0.04597914639569848,-0.12868829910051732,0.6470588235294118,True
eth_btc_relative_strength_14d,eth_30d_upside,ETH 30d > +20%,binary,-0.04169277167563531,-0.07929889256796248,-3.3904955239009884,0.0006976639380065208,0.8,0.5268143398426115,0.09082742475908873,0.09086284522924329,0.5733137829912023,False
eth_btc_relative_strength_14d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.0625541273527,-0.08684126667796062,-4.017694000926193,5.877044580016033e-05,0.8666666666666667,0.5389017577326611,0.0661148430880679,-0.04726919963757833,0.5396825396825398,True
eth_btc_relative_strength_14d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.009115212395066219,-0.0449658545742176,-2.0852046942114884,0.03705072398457698,0.7333333333333333,0.5056149732620321,0.08071172905170114,0.1335764882175015,0.5932017543859649,False
eth_btc_relative_strength_14d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.059355025951498705,0.05130973568674415,1.5940311545655381,0.11092905715474233,0.6,,0.13234070059331082,0.0006170554115759598,,True
eth_btc_relative_strength_30d,btc_30d_upside,BTC 30d > +15%,binary,-0.10808916187351866,-0.11527729866725818,-2.8251623482399006,0.004725666538114792,0.8666666666666667,0.5692296574649516,0.1095142102435343,-0.16214725686665185,0.6852941176470588,True
eth_btc_relative_strength_30d,eth_30d_upside,ETH 30d > +20%,binary,-0.18387871855857635,-0.19721760227563873,-6.8951072233607364,5.382361223382759e-12,1.0,0.6182599825123871,0.09807973216877329,-0.03271062428252758,0.5263929618768329,True
eth_btc_relative_strength_30d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.1816370282850729,-0.18937466599498107,-4.21773037940725,2.4677364131697743e-05,1.0,0.6129581686878322,0.12195810749779733,-0.13802606294172873,0.6158730158730159,True
eth_btc_relative_strength_30d,eth_vs_btc_leadership,ETH beats BTC by +5%,binary,-0.11285501060558177,-0.13668921027973624,-5.032626343454752,4.838055474021274e-07,1.0,0.5695187165775402,0.07866262233802233,0.08328886912385387,0.5581140350877193,False
eth_btc_relative_strength_30d,top20_leadership_payoff,Top-20 top-quintile payoff spread,continuous,0.0049952416627857535,0.003208231069032232,0.08497298788171813,0.9322828655693924,0.5333333333333333,,0.13613952735367932,-0.12467604590892264,,False
eth_btc_relative_strength_63d,btc_30d_upside,BTC 30d > +15%,binary,-0.08665185419505463,-0.11428131378105734,-3.8615153897093792,0.00011268591268964734,0.8666666666666667,0.5554993496169967,0.1009068616683921,-0.2985568539132002,0.8411764705882353,True
eth_btc_relative_strength_63d,eth_30d_upside,ETH 30d > +20%,binary,-0.23656116102914815,-0.2599513538340516,-6.346220586457177,2.2066881655291581e-10,0.9333333333333333,0.6521422325852522,0.1486387744007417,0.07814204689714922,0.563049853372434,False
eth_btc_relative_strength_63d,btc_eth_50_50_30d_upside,BTC/ETH 50-50 30d > +15%,binary,-0.16268455187173295,-0.19131092961801943,-6.086768047846203,1.1521268383773986e-09,1.0,0.6011718217740836,0.11383306021142874,-0.09075686330415039,0.5761904761904761,True
