family,candidate,overlay_type,description,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,selection_score
relative,relative_winner_e60_b60_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.6833399107209001,-1.1413677605876855,0.8,0.8376738103421416,0.31811636996632964,-0.7359960513410742,7.8613847837985755,0.4885057471264368,0.7179979705739787
relative,relative_winner_e40_b60_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.6690101768974119,-1.1435101210964844,0.8,0.8377219343559903,0.32331829997409756,-0.7399451361110976,7.751505199781061,0.4885057471264368,0.7031326466232909
relative,relative_winner_e50_b50_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.65468484484217,-1.118529979140243,0.8,0.84010253980694,0.3204399966693592,-0.7311052148076007,8.700465243568692,0.4885057471264368,0.6950523500571093
relative,relative_winner_e60_b40_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.6206061142888853,-1.1520624445258254,0.8,0.8133033630687415,0.2989381128779274,-0.7467717912283627,8.161056376573617,0.4885057471264368,0.6525905031574291
relative,relative_winner_e40_b40_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.6182151137541919,-1.1562801837820618,0.8,0.8065350374592491,0.3022407860217524,-0.7498010653917047,8.270935960591132,0.4885057471264368,0.6491450678086765
relative,relative_winner_e60_b50_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.6022216724468031,-1.1099880917389924,0.8,0.816853067309268,0.3042166619207667,-0.7397009064591007,8.370826491516146,0.4885057471264368,0.6447246495120551
relative,relative_winner_e40_b50_14d,relative_winner,ETH/BTC relative-winner tilt overlay.,0.5911986609219535,-1.118542727023668,0.8,0.8166462565961835,0.3090000075837185,-0.7443393611845917,8.360837438423644,0.4885057471264368,0.6315629791660365
transition,regime_transition_t40_7d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.8952578757094973,-1.1861500441283646,0.7333333333333333,0.6441956428824281,0.20988305844140065,-0.7398787543549096,11.38752052545156,0.5076628352490421,0.8920536980107395
transition,regime_transition_t60_7d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.879757709912453,-1.1474745641209614,0.7333333333333333,0.6281168905695268,0.20002605127253803,-0.7408840487248671,11.087848932676518,0.49808429118773945,0.8862224022155459
transition,regime_transition_t50_7d,regime_transition,Early re-entry overlay for predicted risk-off to risk-on transitions.,0.8619179378422719,-1.1593831389815512,0.7333333333333333,0.626219381482561,0.1988992273945429,-0.7398787543549096,11.287629994526545,0.5028735632183908,0.8654054864302174
