feature,target,target_type,full_sample_ic,development_ic,holdout_diagnostic_ic,newey_west_t_stat,p_value,auc,sign_stability,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy
transaction_count_growth_7d,btc_forward_30d_return,continuous,-0.03860966923986565,-0.05609735792662622,-0.0008947303467851413,-1.162300263691697,0.24511351955195765,,True,0.9333333333333333,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,eth_forward_30d_return,continuous,-0.021088755803781712,-0.02756186902528366,-0.010613353079106507,-1.054809907532073,0.2915122724677341,,True,0.6,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,btc_eth_50_50_forward_30d_return,continuous,-0.028906940751741328,-0.04063670069767631,0.008731334073799828,-1.197066187829231,0.23128075767377512,,False,0.8,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,btc_upward_expansion_30d,binary,0.0031892381679834414,0.015376991247590772,0.07463921347830005,0.4959659667966205,0.6199184227532462,0.5100185528756958,True,0.6,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,eth_upward_expansion_30d,binary,-0.04362053767805112,-0.029099557436680343,-0.007269027618339462,-0.6124718025906885,0.5402256484336065,0.5191194968553459,True,0.6666666666666666,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,eth_outperforms_btc_30d,binary,-0.013199809459102265,-0.011658759429918985,-0.03142976193352976,-0.7404052755470634,0.45905411869179236,0.5072325633550123,True,0.5333333333333333,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,frozen_macro_positive_next_period,binary,-0.0230845287960844,-0.027202203989598342,0.009687303228651608,-0.9042644380806734,0.3658551988289451,0.5161240786240786,False,0.7333333333333333,0.06337463349658472,0.06533236241959751
transaction_count_growth_7d,frozen_macro_drawdown_avoidance,binary,0.04593860410480302,0.06477000259340537,-0.008145620306699634,2.107249694448793,0.03509594139805133,0.5373967945604663,False,0.8666666666666667,0.06337463349658472,0.06533236241959751
transaction_count_growth_30d,btc_forward_30d_return,continuous,-0.008136383268617558,-0.0802221152830909,0.20640503517215847,-0.7851700414664995,0.4323538779612343,,False,0.7333333333333333,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,eth_forward_30d_return,continuous,0.05893332943850472,-0.012504264028654274,0.2445390596075528,-0.1949645783357004,0.8454206778531321,,False,0.5333333333333333,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,btc_eth_50_50_forward_30d_return,continuous,0.03272476511005793,-0.04324638775858288,0.266043440700975,-0.5127439852618025,0.6081304172018795,,False,0.6,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,btc_upward_expansion_30d,binary,-0.00259963246776328,9.491969905920229e-05,-0.0334589577661345,-0.20156166902935865,0.8402594138053668,0.5000618429189857,False,0.5333333333333333,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,eth_upward_expansion_30d,binary,0.05491565006276514,0.024217723787763573,0.1908119749814109,0.0029026566797856045,0.997684018302073,0.5159119496855346,True,0.5333333333333333,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,eth_outperforms_btc_30d,binary,0.1056494952980261,0.09263742957881364,0.1540058334742958,1.0593412087246343,0.2894444139956019,0.5574680421619197,True,0.8,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,frozen_macro_positive_next_period,binary,0.018306747802628046,0.001727124062831641,0.07196282398426909,-0.20200521924646675,0.8399126439271531,0.501023751023751,True,0.3333333333333333,0.15240596615558444,0.13412958992227286
transaction_count_growth_30d,frozen_macro_drawdown_avoidance,binary,-0.009103477492795848,-0.02237509180499458,0.014933637228949326,0.4655289083931976,0.6415527399143195,0.5129188926663429,False,0.4666666666666667,0.15240596615558444,0.13412958992227286
funding_level,btc_forward_30d_return,continuous,0.039804996392124564,-0.0181595944013521,-0.17045927942227074,-0.308177150402716,0.7579475382337426,,True,0.7333333333333333,0.31042325598312087,0.6565658488204624
funding_level,eth_forward_30d_return,continuous,0.13087193753221657,0.09841137953974244,-0.06191085965440968,0.9987092307135121,0.3179355677655587,,False,0.6,0.31042325598312087,0.6565658488204624
funding_level,btc_eth_50_50_forward_30d_return,continuous,0.1080569500280782,0.06700562771633638,-0.08361745809292312,0.5140820189761528,0.6071946482731441,,False,0.5333333333333333,0.31042325598312087,0.6565658488204624
funding_level,btc_upward_expansion_30d,binary,0.12027556773844786,0.06458451107285744,-0.18532544576472046,0.3437030527253419,0.7310696151551999,0.5419294990723562,False,0.4,0.31042325598312087,0.6565658488204624
funding_level,eth_upward_expansion_30d,binary,0.1368630442896655,0.11076038008170148,0.14720916423573427,1.6150295049217358,0.10630430554185549,0.5725157232704402,True,0.4666666666666667,0.31042325598312087,0.6565658488204624
funding_level,eth_outperforms_btc_30d,binary,0.16972724979471301,0.15967649456257543,0.15794673692195701,1.9425952120573777,0.05206508587097317,0.5987048665620094,True,0.8666666666666667,0.31042325598312087,0.6565658488204624
funding_level,frozen_macro_positive_next_period,binary,-0.0528421998581461,-0.03553200590992204,-0.22766918711359974,-0.18629573099873567,0.8522128550349883,0.520986895986896,True,0.6666666666666666,0.31042325598312087,0.6565658488204624
funding_level,frozen_macro_drawdown_avoidance,binary,0.0581416505394914,0.08935449018885375,-0.07738936233447523,-0.22267930019441234,0.8237851129312023,0.5514084507042254,False,0.7333333333333333,0.31042325598312087,0.6565658488204624
funding_change,btc_forward_30d_return,continuous,0.03982307215835631,0.02566988639772599,0.02002344810563989,-0.11621785515251364,0.9074798862740231,,True,0.7333333333333333,0.19042504851121478,0.1100288604986739
funding_change,eth_forward_30d_return,continuous,0.056545286986110894,0.05780981331538535,0.05087621868443787,0.6465374915737356,0.5179313249256885,,True,0.9333333333333333,0.19042504851121478,0.1100288604986739
funding_change,btc_eth_50_50_forward_30d_return,continuous,0.051021093965526794,0.04705731044558205,0.033752931013204986,0.36546873559051873,0.7147615405328556,,True,0.8,0.19042504851121478,0.1100288604986739
funding_change,btc_upward_expansion_30d,binary,0.009690525651896258,0.0012821475352117772,-0.046327787676186234,-1.000916362080816,0.3168672454571788,0.500834879406308,False,0.4,0.19042504851121478,0.1100288604986739
funding_change,eth_upward_expansion_30d,binary,0.032377609015338815,0.03878963600942809,0.023624339759603253,1.8885289297574133,0.05895497791253172,0.5254716981132075,True,0.6666666666666666,0.19042504851121478,0.1100288604986739
funding_change,eth_outperforms_btc_30d,binary,0.017764266671748814,0.026043718900143863,0.025143809546823808,1.7328305340337251,0.08312579402532273,0.5161471181879346,True,0.6666666666666666,0.19042504851121478,0.1100288604986739
funding_change,frozen_macro_positive_next_period,binary,-0.053739202816118936,-0.046140540432958975,-0.00691950230617972,0.4332445277672491,0.6648371331940327,0.5273341523341524,True,0.8666666666666667,0.19042504851121478,0.1100288604986739
