asset,direction,entry_time,exit_time,entry_price,exit_price,qty,notional,bars_held,exit_reason,gross_pnl,entry_cost,exit_cost,funding,net_pnl,ret_on_notional,equity_after
UNI,1,2025-09-14 04:00:00+00:00,2025-09-15 04:00:00+00:00,9.48,9.474,1373.6439212252888,13022.144373215739,24,time_stop,-8.241863527352045,25.360108013266288,27.290681905402714,0.0,-60.89265344602105,-0.004676084959652769,93651.85506300075
AVAX,1,2025-09-15 00:00:00+00:00,2025-09-15 08:00:00+00:00,29.435,28.542142857142856,524.8426712812029,15448.744029162208,8,stop,-468.6095279296452,34.517977495594366,28.369218064056593,0.0,-531.4967234892962,-0.034403879207656175,93047.56332368517
PEPE,1,2025-09-15 07:00:00+00:00,2025-09-15 08:00:00+00:00,1.1228e-05,1.085257142857143e-05,1247265954.0354002,14004.302131909473,1,stop,-468.25927531500287,18.858724665200445,18.749121345166127,0.0,-505.86712132536945,-0.03612226561241684,92560.554927025
SUI,1,2025-09-15 07:00:00+00:00,2025-09-15 08:00:00+00:00,3.6433,3.5671999999999997,6151.970850087743,22413.475398124676,1,stop,-468.164981691679,33.766438233734455,33.135589258228734,0.0,-535.0670091836422,-0.023872558792395533,92059.2543560751
NEAR,1,2025-09-15 07:00:00+00:00,2025-09-15 08:00:00+00:00,2.714,2.6494285714285715,7247.727978990193,19670.333734979384,1,stop,-467.9961495005091,54.687830422927576,44.74326720264415,0.0,-567.4272471260808,-0.02884685408855243,91546.51493937193
SHIB,1,2025-09-15 08:00:00+00:00,2025-09-15 09:00:00+00:00,1.3328e-05,1.3004e-05,1532342430.8359716,20423.05991818183,1,stop_gap,-496.47894759085574,39.78227802559946,48.53409054064737,0.0,-584.7953161571027,-0.02863406945383747,90961.71962321483
XRP,1,2025-09-15 09:00:00+00:00,2025-09-15 13:00:00+00:00,2.9591,3.0373785714285715,8710.363408019299,25774.836360669906,4,target,681.8348042034554,34.746184583496785,33.00911409220922,0.0,614.0795055277495,0.023824768349054577,91511.83720429524
ETH,1,2025-09-15 09:00:00+00:00,2025-09-16 09:00:00+00:00,4510.88,4509.2,6.294181979028731,28392.299605561122,24,time_stop,-10.5742257247701,31.94133705625626,31.94133705625626,0.0,-74.45689983728262,-0.0026224328734083574,91469.32164151421
SOL,1,2025-09-15 09:00:00+00:00,2025-09-16 09:00:00+00:00,232.0,235.2,70.7703411166456,16418.719139061777,24,time_stop,226.4650915732651,18.4710590314445,18.4710590314445,0.0,189.52297351037612,0.011543103448275815,91677.31567405602
DOGE,1,2025-09-15 09:00:00+00:00,2025-09-16 09:00:00+00:00,0.2598,0.26567,46358.83452104685,12044.02520856797,24,time_stop,272.12635863854695,13.549528359638966,13.549528359638966,0.0,245.02730191926904,0.02034430331023881,91935.89250433493
ETH,1,2025-09-17 18:00:00+00:00,2025-09-17 20:00:00+00:00,4421.36,4529.728571428571,6.362722925040973,28131.888631859158,2,target,689.5191937825099,31.64837471084155,31.64837471084155,0.0,626.2224443608268,0.022260234730619347,92562.11494869576
LTC,1,2025-09-18 07:00:00+00:00,2025-09-18 18:00:00+00:00,115.06,118.76714285714286,187.26439440487584,21546.641220225014,11,target,694.215862115218,47.81082449384575,44.78362810553654,0.0,601.6214095158357,0.027921818689361038,93163.7363582116
NEAR,1,2025-09-19 12:00:00+00:00,2025-09-20 12:00:00+00:00,3.161,3.092,3327.2762985075574,10517.520379582389,24,time_stop,-229.5820645970213,28.59271429396085,31.159466214248795,0.0,-289.33424510523093,-0.0275097394312555,92874.40211310636
ETH,1,2025-09-22 01:00:00+00:00,2025-09-22 02:00:00+00:00,4333.91,4279.82,8.580343895536856,37186.43821230614,1,stop,-464.1108013095898,41.834742988844404,41.834742988844404,0.0,-547.7802872872786,-0.014730646806232742,92230.21208664826
BTC,1,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,114336.9,113743.05714285714,0.4061436076765522,46437.20105655318,4,stop,-241.1854803929494,52.24185118862233,52.24185118862233,0.0,-345.669182770194,-0.007443798827350157,91892.8393350968
XRP,1,2025-09-22 01:00:00+00:00,2025-09-22 05:00:00+00:00,2.9149,2.8737571428571425,11275.386781814266,32866.624930310405,4,stop,-463.90162759464664,44.167887982218254,47.62307782479652,0.0,-555.6925934016614,-0.016907504028172607,91381.31462967735
NEAR,1,2025-09-22 03:00:00+00:00,2025-09-22 06:00:00+00:00,2.96,2.863714285714286,4789.402704796281,14176.632006196991,3,stop,-461.15106043324096,43.945419969901764,27.85906301506019,0.0,-532.9555434182029,-0.03759394637493824,90892.30450622905
