asset,entry_time,direction,hold,gross_ret,cost_bps,net_ret,k,z
BTC,2023-11-14 19:00:00+00:00,1.0,4,0.010493748314670537,22.5,0.008243748314670537,3,2.5
BTC,2023-11-14 20:00:00+00:00,1.0,4,0.007061630579240585,22.5,0.004811630579240585,3,2.5
BTC,2023-11-15 19:00:00+00:00,-1.0,4,-0.008316069447600105,22.5,-0.010566069447600105,3,2.5
BTC,2023-11-15 20:00:00+00:00,-1.0,4,-0.009328383071383506,22.5,-0.011578383071383506,3,2.5
BTC,2023-11-15 21:00:00+00:00,-1.0,4,-0.006212222521171373,22.5,-0.008462222521171374,3,2.5
BTC,2023-11-16 16:00:00+00:00,1.0,4,-0.013197838455600186,22.5,-0.015447838455600186,3,2.5
BTC,2023-11-22 00:00:00+00:00,1.0,4,0.018007454834448877,22.5,0.01575745483444888,3,2.5
BTC,2023-11-22 01:00:00+00:00,1.0,4,0.008597337705862573,22.5,0.006347337705862573,3,2.5
BTC,2023-11-22 19:00:00+00:00,-1.0,4,-0.006434117485802693,22.5,-0.008684117485802693,3,2.5
BTC,2023-11-22 20:00:00+00:00,-1.0,4,-0.003233608073831329,22.5,-0.005483608073831329,3,2.5
BTC,2023-11-28 18:00:00+00:00,-1.0,4,0.007148782064197889,22.5,0.004898782064197889,3,2.5
BTC,2023-12-02 20:00:00+00:00,-1.0,4,-0.0004970405798130351,22.5,-0.002747040579813035,3,2.5
BTC,2023-12-04 03:00:00+00:00,-1.0,4,-0.017473623675654082,22.5,-0.01972362367565408,3,2.5
BTC,2023-12-04 06:00:00+00:00,-1.0,4,-0.0010456168416590472,22.5,-0.003295616841659047,3,2.5
BTC,2023-12-04 07:00:00+00:00,-1.0,4,-0.0140117726909319,22.5,-0.0162617726909319,3,2.5
BTC,2023-12-05 17:00:00+00:00,-1.0,4,-0.02555836493889574,22.5,-0.027808364938895738,3,2.5
BTC,2023-12-05 18:00:00+00:00,-1.0,4,-0.01187831809467621,22.5,-0.01412831809467621,3,2.5
BTC,2023-12-05 19:00:00+00:00,-1.0,4,-0.013378186466763697,22.5,-0.015628186466763696,3,2.5
BTC,2023-12-05 20:00:00+00:00,-1.0,4,-0.005876663077400313,22.5,-0.008126663077400313,3,2.5
BTC,2023-12-07 11:00:00+00:00,1.0,4,0.00798219997218741,22.5,0.005732199972187409,3,2.5
BTC,2023-12-08 22:00:00+00:00,-1.0,4,0.009054334990188928,22.5,0.006804334990188928,3,2.5
BTC,2023-12-11 03:00:00+00:00,1.0,4,0.0040159015401042275,22.5,0.0017659015401042277,3,2.5
BTC,2023-12-11 04:00:00+00:00,1.0,4,-0.00465581255745906,22.5,-0.006905812557459061,3,2.5
BTC,2023-12-11 05:00:00+00:00,1.0,4,0.0017097138304229542,22.5,-0.0005402861695770456,3,2.5
BTC,2023-12-11 20:00:00+00:00,1.0,4,0.011337723922499432,22.5,0.009087723922499432,3,2.5
BTC,2023-12-13 20:00:00+00:00,-1.0,4,-0.003215042843838889,22.5,-0.005465042843838889,3,2.5
BTC,2023-12-13 22:00:00+00:00,-1.0,4,0.00345583002711658,22.5,0.00120583002711658,3,2.5
BTC,2023-12-18 22:00:00+00:00,-1.0,4,-0.016097816167724988,22.5,-0.018347816167724986,3,2.5
BTC,2023-12-20 14:00:00+00:00,-1.0,4,-0.005046595374943674,22.5,-0.0072965953749436745,3,2.5
BTC,2023-12-20 15:00:00+00:00,-1.0,4,-0.006332589707889635,22.5,-0.008582589707889636,3,2.5
BTC,2023-12-20 16:00:00+00:00,-1.0,4,0.007194750782457571,22.5,0.0049447507824575705,3,2.5
BTC,2023-12-29 17:00:00+00:00,1.0,4,0.0019966547693364145,22.5,-0.0002533452306635853,3,2.5
BTC,2023-12-29 18:00:00+00:00,1.0,4,0.0032423746807841436,22.5,0.0009923746807841438,3,2.5
BTC,2024-01-01 20:00:00+00:00,-1.0,4,-0.015552478130762992,22.5,-0.01780247813076299,3,2.5
BTC,2024-01-01 21:00:00+00:00,-1.0,4,-0.032867532705150415,22.5,-0.03511753270515042,3,2.5
BTC,2024-01-02 01:00:00+00:00,-1.0,4,-0.00036757297762890495,22.5,-0.0026175729776289048,3,2.5
BTC,2024-01-02 02:00:00+00:00,-1.0,4,-0.0061005477134079555,22.5,-0.008350547713407956,3,2.5
BTC,2024-01-02 03:00:00+00:00,-1.0,4,0.004655384757745962,22.5,0.002405384757745962,3,2.5
BTC,2024-01-03 12:00:00+00:00,1.0,4,-0.016663920997958992,22.5,-0.01891392099795899,3,2.5
BTC,2024-01-03 13:00:00+00:00,1.0,4,0.005732689662915069,22.5,0.0034826896629150694,3,2.5
BTC,2024-01-03 14:00:00+00:00,1.0,4,0.00901225073436196,22.5,0.006762250734361959,3,2.5
BTC,2024-01-03 15:00:00+00:00,1.0,4,0.0018210314910405145,22.5,-0.0004289685089594853,3,2.5
BTC,2024-01-08 13:00:00+00:00,-1.0,4,0.003861286282680676,22.5,0.0016112862826806761,3,2.5
BTC,2024-01-08 19:00:00+00:00,-1.0,4,-0.00034258161847477986,22.5,-0.0025925816184747797,3,2.5
BTC,2024-01-08 20:00:00+00:00,-1.0,4,0.0008955160384582772,22.5,-0.0013544839615417226,3,2.5
BTC,2024-01-08 21:00:00+00:00,-1.0,4,0.0024312291166390665,22.5,0.00018122911663906666,3,2.5
BTC,2024-01-09 22:00:00+00:00,1.0,4,0.010767758330491484,22.5,0.008517758330491483,3,2.5
BTC,2024-01-10 18:00:00+00:00,-1.0,4,0.009826315562642796,22.5,0.007576315562642795,3,2.5
BTC,2024-01-11 13:00:00+00:00,-1.0,4,0.029995089681798648,22.5,0.02774508968179865,3,2.5
BTC,2024-01-11 15:00:00+00:00,-1.0,4,0.040590033660329206,22.5,0.038340033660329204,3,2.5
BTC,2024-01-11 17:00:00+00:00,1.0,4,0.004264813873354756,22.5,0.002014813873354756,3,2.5
BTC,2024-01-11 18:00:00+00:00,1.0,4,-0.0076054866156768375,22.5,-0.009855486615676838,3,2.5
BTC,2024-01-12 16:00:00+00:00,1.0,4,-0.02218344853017229,22.5,-0.024433448530172288,3,2.5
BTC,2024-01-12 17:00:00+00:00,1.0,4,0.00017645980383163007,22.5,-0.0020735401961683698,3,2.5
BTC,2024-01-12 18:00:00+00:00,1.0,4,-0.008168677833645499,22.5,-0.0104186778336455,3,2.5
BTC,2024-01-18 19:00:00+00:00,1.0,4,-0.004195053112454827,22.5,-0.006445053112454828,3,2.5
BTC,2024-01-23 10:00:00+00:00,1.0,4,-0.002697112472926144,22.5,-0.0049471124729261445,3,2.5
BTC,2024-01-26 12:00:00+00:00,-1.0,4,-0.00320190661186448,22.5,-0.00545190661186448,3,2.5
BTC,2024-01-26 13:00:00+00:00,-1.0,4,-0.02004215050208691,22.5,-0.022292150502086907,3,2.5
BTC,2024-01-26 17:00:00+00:00,-1.0,4,-0.000307415139123135,22.5,-0.002557415139123135,3,2.5
BTC,2024-01-29 17:00:00+00:00,-1.0,4,0.00119220414238852,22.5,-0.00105779585761148,3,2.5
BTC,2024-01-29 18:00:00+00:00,-1.0,4,-0.00420991912768609,22.5,-0.006459919127686091,3,2.5
BTC,2024-01-31 21:00:00+00:00,1.0,4,-0.0018823540470611633,22.5,-0.0041323540470611635,3,2.5
BTC,2024-01-31 22:00:00+00:00,1.0,4,-0.012045867954320388,22.5,-0.014295867954320389,3,2.5
BTC,2024-02-09 03:00:00+00:00,-1.0,4,0.0020240947198563175,22.5,-0.00022590528014368233,3,2.5
BTC,2024-02-09 04:00:00+00:00,-1.0,4,-0.0031599553786521017,22.5,-0.005409955378652102,3,2.5
BTC,2024-02-09 13:00:00+00:00,-1.0,4,0.0011747554353567224,22.5,-0.0010752445646432774,3,2.5
BTC,2024-02-12 15:00:00+00:00,-1.0,4,-0.0194457022150194,22.5,-0.0216957022150194,3,2.5
BTC,2024-02-12 16:00:00+00:00,-1.0,4,0.007555247623090677,22.5,0.005305247623090677,3,2.5
