target,model,fold,auc
target_btc_eth_2w,gb_depth3,1,0.5948320413436692
target_btc_eth_2w,gb_depth3,2,0.5299667036625971
target_btc_eth_2w,gb_depth3,3,0.5130681818181819
target_btc_eth_2w,gb_depth3,4,0.484156820622986
target_btc_eth_2w,gb_depth3,5,0.5973084886128364
target_btc_eth_2w,gb_depth3,6,0.5375982042648709
target_btc_eth_2w,gb_depth3,7,0.5766129032258064
target_btc_eth_2w,gb_depth3,8,0.6013513513513514
target_btc_eth_2w,gb_depth3,9,0.5053705692803437
target_btc_eth_2w,gb_depth3,10,0.5090425531914893
target_btc_eth_2w,gb_depth3,11,0.5998890122086571
target_btc_eth_2w,gb_depth3,12,0.5169956140350878
target_btc_eth_2w,gb_depth3,13,0.5243506493506493
target_btc_eth_2w,gb_depth3,14,0.5032467532467533
target_top10_basket_1w,logistic_C0.25,0,0.5457589285714285
target_top10_basket_1w,logistic_C0.25,1,0.5771847200418628
target_top10_basket_1w,logistic_C0.25,2,0.5710470085470085
target_top10_basket_1w,logistic_C0.25,3,0.5417582417582417
target_top10_basket_1w,logistic_C0.25,4,0.5454054054054054
target_top10_basket_1w,logistic_C0.25,5,0.5259026687598116
target_top10_basket_1w,logistic_C0.25,6,0.5731837606837606
target_top10_basket_1w,logistic_C0.25,7,0.528021978021978
target_top10_basket_1w,logistic_C0.25,8,0.48486486486486485
target_top10_basket_1w,logistic_C0.25,9,0.5620360551431601
target_top10_basket_1w,logistic_C0.25,10,0.4846560846560847
target_top10_basket_1w,logistic_C0.25,11,0.6136363636363635
target_top10_basket_1w,logistic_C0.25,12,0.47564935064935066
target_top10_basket_1w,logistic_C0.25,13,0.5443722943722944
target_top10_basket_1w,logistic_C0.25,14,0.5255434782608696
target_top10_basket_1w,logistic_C1,0,0.5440848214285715
target_top10_basket_1w,logistic_C1,1,0.5735217163788592
target_top10_basket_1w,logistic_C1,2,0.5566239316239316
target_top10_basket_1w,logistic_C1,3,0.5384615384615384
target_top10_basket_1w,logistic_C1,4,0.5291891891891892
target_top10_basket_1w,logistic_C1,5,0.5060177917320774
target_top10_basket_1w,logistic_C1,6,0.5705128205128205
target_top10_basket_1w,logistic_C1,7,0.5208791208791209
target_top10_basket_1w,logistic_C1,8,0.4605405405405405
target_top10_basket_1w,logistic_C1,9,0.5625662778366913
target_top10_basket_1w,logistic_C1,10,0.4804232804232804
target_top10_basket_1w,logistic_C1,11,0.6051797040169133
target_top10_basket_1w,logistic_C1,12,0.48214285714285715
target_top10_basket_1w,logistic_C1,13,0.5265151515151515
target_top10_basket_1w,logistic_C1,14,0.5277173913043478
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,0,0.5440848214285714
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,1,0.576661433804291
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,2,0.5667735042735043
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,3,0.5346153846153846
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,4,0.547027027027027
target_top10_basket_1w,elastic_net_C0.25_l1_0.5,5,0.5599162742019885
