split,feature,target,observations,spearman_ic,bottom_quintile_target,top_quintile_target,top_minus_bottom
holdout,cross_sectional_dispersion_shock_z,target_top10_basket_1w,76,-0.11043062200956938,0.009201949183947145,-0.024681451014819646,-0.03388340019876679
holdout,cross_sectional_dispersion_shock_z,target_csm_spread_1w,76,-0.2267669172932331,0.009049478684800792,-0.011550479368564784,-0.020599958053365577
holdout,cross_sectional_dispersion_shock_z,target_reversal_spread_1w,76,0.1627887901572112,-0.01191862134546513,0.010256369628124342,0.02217499097358947
holdout,volatility_4h_7d_shock_z,target_btc_eth_1w,76,0.027231715652768287,-0.02503678171737305,-0.006180842908506106,0.018855938808866945
holdout,volatility_4h_7d_shock_z,target_btc_eth_2w,75,0.05522048364153627,-0.049597508529858295,-0.021805117438856134,0.02779239109100216
holdout,volatility_4h_7d_shock_z,target_top10_basket_1w,76,0.05249487354750513,-0.026332575932003617,-0.005502144272366616,0.020830431659637
holdout,volatility_4h_7d_shock_z,target_csm_spread_1w,76,-0.08380041011619958,0.0076044675589511295,-0.009223935520672678,-0.016828403079623806
holdout,volatility_4h_7d_shock_z,target_reversal_spread_1w,76,0.08229665071770334,-0.009877136672049222,0.007766970755979862,0.017644107428029084
holdout,market_volume_change_7d_shock_z,target_btc_eth_1w,76,0.12235133287764867,-0.0048044493479515275,-0.0050134571987434234,-0.0002090078507918959
holdout,market_volume_change_7d_shock_z,target_btc_eth_2w,75,0.05157894736842105,-0.02624283815659253,-0.01367557661235275,0.012567261544239781
holdout,market_volume_change_7d_shock_z,target_top10_basket_1w,76,0.08888585099111415,-0.004504604709626591,-0.010268722109095216,-0.005764117399468626
holdout,market_volume_change_7d_shock_z,target_csm_spread_1w,76,-0.035023923444976075,-0.021678651311342643,0.002239996540824853,0.023918647852167498
holdout,market_volume_change_7d_shock_z,target_reversal_spread_1w,76,0.10329460013670538,-0.011807108942129425,0.005567394905837025,0.01737450384796645
holdout,market_breadth_7d_shock_z,target_btc_eth_1w,76,0.03931647300068353,-0.0126902084767146,0.009928389003062206,0.022618597479776806
holdout,market_breadth_7d_shock_z,target_btc_eth_2w,75,0.10497866287339973,-0.04668392689481369,0.008531328313973923,0.05521525520878761
holdout,market_breadth_7d_shock_z,target_top10_basket_1w,76,-0.003691045796308954,-0.011843051417597127,0.006965360049421247,0.018808411467018372
holdout,market_breadth_7d_shock_z,target_csm_spread_1w,76,-0.19226247436773752,0.017673684513595626,-0.007592874718101824,-0.02526655923169745
holdout,market_breadth_7d_shock_z,target_reversal_spread_1w,76,0.13501025290498975,-0.012409270846794395,0.004231456355487885,0.016640727202282282
holdout,combined_liquidity_risk_shock_index,target_btc_eth_1w,76,0.17449077238550922,-0.009120921201191835,0.019235791142348958,0.028356712343540792
holdout,combined_liquidity_risk_shock_index,target_btc_eth_2w,75,0.15766714082503555,-0.01736180669361337,0.037790893442070456,0.055152700135683824
