feature,horizon,method,full_sample_ic,mean_ic,n_ic_observations,newey_west_t,p_value,ci_low,ci_high,ic_information_ratio,rolling_ic_stability,elastic_net_abs_coef,random_forest_importance,gradient_boosting_importance,feature_tier,tier_reason
volatility_of_volatility_30d,2w,cross_sectional,-0.10026253886259358,-0.10026253886259358,362,-5.921099832461341,3.1979565662254572e-09,-0.1334514027107132,-0.06707367501447395,-2.7481504848821277,0.9465875370919882,0.01109229386741471,0.001406793321156455,0.0021257881424381455,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
volatility_of_volatility_30d,4w,cross_sectional,-0.11825636394908838,-0.11825636394908838,360,-5.631766970522812,1.7837259225217394e-08,-0.15941262530602734,-0.07710010259214942,-3.267097718881401,0.982089552238806,0.01109229386741471,0.001406793321156455,0.0021257881424381455,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
jump_intensity_30d,1w,cross_sectional,0.02750171775925934,0.02750171775925934,355,2.2861415276941015,0.022245980204014915,0.003923402000953025,0.051080033517565654,0.7633452003871823,0.7878787878787878,0.0,0.0007167024382296286,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
jump_intensity_30d,2w,cross_sectional,0.04942842680299553,0.04942842680299553,354,3.34171035287914,0.0008326389871269324,0.02043736943909147,0.07841948416689959,1.4477079982418573,0.878419452887538,0.0,0.0007167024382296286,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
jump_intensity_30d,4w,cross_sectional,0.04779820976925258,0.04779820976925258,352,2.5105385887197498,0.012054714609304629,0.010481718571437731,0.08511470096706743,1.396190846156405,0.72782874617737,0.0,0.0007167024382296286,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
amihud_illiquidity_30d,1w,cross_sectional,-0.10872017793633329,-0.10872017793633329,363,-7.281031954272138,3.312905505481467e-13,-0.13798684646539833,-0.07945350940726825,-2.5473192206058353,0.9970414201183432,0.02391778319416439,0.001092045561935843,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
amihud_illiquidity_30d,2w,cross_sectional,-0.12433323722044791,-0.12433323722044791,362,-5.930795472604573,3.014705374226878e-09,-0.1654226907478442,-0.08324378369305163,-2.878386110068681,0.9762611275964391,0.02391778319416439,0.001092045561935843,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
amihud_illiquidity_30d,4w,cross_sectional,-0.1478936106606385,-0.1478936106606385,360,-5.425439911895382,5.781197653931258e-08,-0.20132180848461634,-0.09446541283666064,-3.5599922616849997,0.9223880597014925,0.02391778319416439,0.001092045561935843,0.0,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
turnover_30d,1w,cross_sectional,0.08345631133416104,0.08345631133416104,363,6.5171474246811245,7.165690263377655e-11,0.058357236607773505,0.10855538606054857,2.196999252220931,0.9733727810650887,0.0102996290628619,0.0029398659232796965,0.002280180622657559,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
turnover_30d,2w,cross_sectional,0.09069604870153934,0.09069604870153934,362,5.061668054340036,4.156041697456203e-07,0.055576350304368395,0.1258157470987103,2.371694068258098,0.9287833827893175,0.0102996290628619,0.0029398659232796965,0.002280180622657559,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker
