feature,horizon,bucket_type,method,mean_top_minus_bottom,positive_spread_fraction,mean_monotonicity,n_periods
momentum_consistency_63d,2w,quintile,cross_sectional,0.0048694983990999795,0.5303867403314917,0.02344827586206896,362
momentum_consistency_63d,2w,decile,cross_sectional,-0.019871264499391507,0.5197368421052632,0.0056476418318523675,152
momentum_consistency_63d,4w,quintile,cross_sectional,-22.72009240602879,0.5222222222222223,-0.003103448275862067,360
momentum_consistency_63d,4w,decile,cross_sectional,-0.061776763962911006,0.5394736842105263,0.028295169742538172,152
distance_to_50dma,1w,quintile,cross_sectional,0.01368444256426732,0.5785123966942148,0.10578512396694212,363
distance_to_50dma,1w,decile,cross_sectional,0.01498707298004233,0.5316804407713499,0.05217463895149845,363
distance_to_50dma,2w,quintile,cross_sectional,0.017158832056402628,0.5580110497237569,0.124585635359116,362
distance_to_50dma,2w,decile,cross_sectional,0.024436576061267347,0.5386740331491713,0.08093085551649086,362
distance_to_50dma,4w,quintile,cross_sectional,-39.75331481014582,0.5722222222222222,0.10027777777777776,360
distance_to_50dma,4w,decile,cross_sectional,-79.50568459373972,0.5361111111111111,0.07235690235690234,360
distance_to_200dma,1w,quintile,cross_sectional,0.006871393609251881,0.5555555555555556,0.06305555555555555,360
distance_to_200dma,1w,decile,cross_sectional,0.012675058705744606,0.5277777777777778,0.02538720538720539,360
distance_to_200dma,2w,quintile,cross_sectional,0.016602012232090485,0.5710306406685237,0.08523676880222841,359
distance_to_200dma,2w,decile,cross_sectional,0.01731990201202732,0.5682451253481894,0.03378070397569004,359
distance_to_200dma,4w,quintile,cross_sectional,-40.08037485240062,0.5546218487394958,0.056582633053221275,357
distance_to_200dma,4w,decile,cross_sectional,-80.19084841611972,0.5294117647058824,0.021339444868856625,357
trend_slope_63d,1w,quintile,cross_sectional,0.004608475624851824,0.559228650137741,0.07327823691460053,363
trend_slope_63d,1w,decile,cross_sectional,-0.0009861344008156685,0.5344352617079889,0.032874196510560144,363
trend_slope_63d,2w,quintile,cross_sectional,0.00870792958571466,0.5607734806629834,0.06850828729281767,362
trend_slope_63d,2w,decile,cross_sectional,0.0029926795845770762,0.5220994475138122,0.015770969362129586,362
trend_slope_63d,4w,quintile,cross_sectional,-39.75675956200048,0.5444444444444444,0.0611111111111111,360
trend_slope_63d,4w,decile,cross_sectional,-79.54189689891695,0.5333333333333333,0.015117845117845115,360
