feature,horizon,regime,method,full_period_ic,mean_ic,newey_west_t,p_value,n_ic_observations,sign_consistent_with_development,feature_tier,tier_reason,primary_ic,primary_t_stat,holdout_ic,stable_across_regimes,holdout_sign_consistent
momentum_7d,4w,2023_2024_recovery,cross_sectional,0.03399363794100635,0.03399363794100635,1.4219478541215127,0.15504138955898372,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_7d,4w,2025_2026_holdout,cross_sectional,0.025460912555361013,0.025460912555361013,0.5991085013070973,0.5491005329477276,73,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0125322122320051,0.8858569702561736,0.04341115947764147,True,True
momentum_21d,1w,2020_2021_bull,cross_sectional,0.045427855352667364,0.045427855352667364,1.892581976638424,0.058413482474320766,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,1w,2022_bear,cross_sectional,0.04422594948910738,0.04422594948910738,1.1037337939744587,0.2697086316371995,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,1w,2023_2024_recovery,cross_sectional,0.014358010410641994,0.014358010410641994,0.7016344838367681,0.48290714060214723,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,1w,2025_2026_holdout,cross_sectional,7.669303788529043e-18,7.669303788529043e-18,1.9098065485165801e-16,0.9999999999999998,76,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,2w,2020_2021_bull,cross_sectional,0.06986036519871106,0.06986036519871106,2.3862498203441174,0.017021184079400786,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,2w,2022_bear,cross_sectional,0.06448332369385001,0.06448332369385001,1.2364252928769814,0.21630051929080762,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,2w,2023_2024_recovery,cross_sectional,0.043001735106998264,0.043001735106998264,1.5169356509643426,0.12928293146460668,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,2w,2025_2026_holdout,cross_sectional,0.009303258145363407,0.009303258145363407,0.17601196983334627,0.8602845386906268,75,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,4w,2020_2021_bull,cross_sectional,0.038152524167561756,0.038152524167561756,1.024022019835595,0.3058248744170675,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,4w,2022_bear,cross_sectional,0.01176980913823019,0.01176980913823019,0.19916516797686692,0.8421335454826753,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,4w,2023_2024_recovery,cross_sectional,0.04660208212839793,0.04660208212839793,1.5265650569426628,0.1268692016302655,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_21d,4w,2025_2026_holdout,cross_sectional,0.04274384591616026,0.04274384591616026,0.8740882303917662,0.38207020654253476,73,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0142833282363257,0.9365123351643927,7.669303788529043e-18,True,False
momentum_63d,1w,2020_2021_bull,cross_sectional,-0.007862513426423202,-0.007862513426423202,-0.32728588038360545,0.7434516707337804,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,1w,2022_bear,cross_sectional,0.0030026990553306265,0.0030026990553306265,0.0623737975991136,0.9502651608069084,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,1w,2023_2024_recovery,cross_sectional,-0.0056535569693464405,-0.0056535569693464405,-0.16163283524591063,0.871594998505909,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,1w,2025_2026_holdout,cross_sectional,0.04916897506925207,0.04916897506925207,1.5339379995771545,0.12504490644084632,76,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,2w,2020_2021_bull,cross_sectional,-0.007060508413891872,-0.007060508413891872,-0.22745225757613846,0.8200720892512181,105,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,2w,2022_bear,cross_sectional,0.003995565837671093,0.003995565837671093,0.06739271657316148,0.9462690673409855,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,2w,2023_2024_recovery,cross_sectional,0.006550028918449964,0.006550028918449964,0.15052397594345973,0.8803512361645207,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,2w,2025_2026_holdout,cross_sectional,0.07252130325814535,0.07252130325814535,1.7207240054906117,0.08530091815984742,75,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,4w,2020_2021_bull,cross_sectional,-0.01721446473326172,-0.01721446473326172,-0.3940250076634228,0.6935625762477611,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,4w,2022_bear,cross_sectional,-0.01720647773279352,-0.01720647773279352,-0.24301440505967384,0.8079942382776575,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,4w,2023_2024_recovery,cross_sectional,0.02152978600347022,0.02152978600347022,0.3935739830484253,0.6938955925803678,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_63d,4w,2025_2026_holdout,cross_sectional,0.06449685858481821,0.06449685858481821,1.1899898878230921,0.23405036657023226,73,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.001748364997731736,0.10655439329841285,0.04916897506925207,False,True
momentum_126d,1w,2020_2021_bull,cross_sectional,-0.04002864303616183,-0.04002864303616183,-1.3778065830062427,0.16826301300300317,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,1w,2022_bear,cross_sectional,0.04154135338345863,0.04154135338345863,1.073739547880128,0.2829394309257318,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,1w,2023_2024_recovery,cross_sectional,-0.01194331983805667,-0.01194331983805667,-0.43284654775593195,0.6651262544596477,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,1w,2025_2026_holdout,cross_sectional,0.01681836169370795,0.01681836169370795,0.43530672501150247,0.6633398041530687,76,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,2w,2020_2021_bull,cross_sectional,-0.042277121374865737,-0.042277121374865737,-1.2259230931790739,0.22022761756759746,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,2w,2022_bear,cross_sectional,0.035367264314632725,0.035367264314632725,0.6291823792514063,0.5292296633889544,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,2w,2023_2024_recovery,cross_sectional,0.0022990167727009844,0.0022990167727009844,0.061685958030788114,0.9508129225406821,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,2w,2025_2026_holdout,cross_sectional,-0.00453132832080201,-0.00453132832080201,-0.08264747856271143,0.9341318479495988,75,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,4w,2020_2021_bull,cross_sectional,-0.056770497672753294,-0.056770497672753294,-1.31647237205261,0.18801554550089206,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,4w,2022_bear,cross_sectional,0.016946211683053793,0.016946211683053793,0.22754054682969682,0.8200034441523254,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,4w,2023_2024_recovery,cross_sectional,0.00018796992481203616,0.00018796992481203616,0.00404275848337114,0.996774354209669,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_126d,4w,2025_2026_holdout,cross_sectional,-0.01174168297455969,-0.01174168297455969,-0.18105606079811673,0.8563235729243404,73,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",-0.008000322065900449,-0.4989657798317238,0.01681836169370795,True,False
momentum_acceleration,1w,2020_2021_bull,cross_sectional,0.02321518080916577,0.02321518080916577,0.9132573839117045,0.36110718999512326,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,1w,2022_bear,cross_sectional,0.014767688451898967,0.014767688451898967,0.4462467666886097,0.6554190045071269,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,1w,2023_2024_recovery,cross_sectional,0.0007229612492770334,0.0007229612492770334,0.021487975087808454,0.9828563957395198,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,1w,2025_2026_holdout,cross_sectional,-0.050534230312623656,-0.050534230312623656,-1.5113414248997425,0.13070148481189903,76,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,2w,2020_2021_bull,cross_sectional,0.027239527389903324,0.027239527389903324,0.746129552154552,0.45558915900993213,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,2w,2022_bear,cross_sectional,0.02444090996722575,0.02444090996722575,0.6408083777337824,0.5216471891754897,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,2w,2023_2024_recovery,cross_sectional,-0.0007374204742625794,-0.0007374204742625794,-0.018011916550477496,0.9856293469212036,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,2w,2025_2026_holdout,cross_sectional,-0.054796992481203004,-0.054796992481203004,-1.141837021598804,0.2535217705579349,75,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,4w,2020_2021_bull,cross_sectional,0.03276763336913713,0.03276763336913713,0.6890576902740426,0.49078696396697086,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,4w,2022_bear,cross_sectional,-0.00031328320802004637,-0.00031328320802004637,-0.0054063018143293866,0.995686416264292,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,4w,2023_2024_recovery,cross_sectional,-0.002486986697513016,-0.002486986697513016,-0.04804666568729732,0.9616790516874065,104,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_acceleration,4w,2025_2026_holdout,cross_sectional,-0.05959419095684416,-0.05959419095684416,-1.188029338313761,0.23482185128439603,73,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.0020913773657933515,0.13374807870502486,-0.050534230312623656,True,False
momentum_consistency_63d,1w,2020_2021_bull,cross_sectional,0.033538331434847406,0.033538331434847406,1.4311264579185898,0.15239397572179803,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,1w,2022_bear,cross_sectional,0.011601278747902604,0.011601278747902604,0.29266636879046887,0.7697771786422629,52,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,1w,2023_2024_recovery,cross_sectional,0.03486244721533271,0.03486244721533271,1.1685435944093947,0.2425875653285101,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,1w,2025_2026_holdout,cross_sectional,0.05124501411463871,0.05124501411463871,1.4210462105347348,0.155303325789939,76,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,2w,2020_2021_bull,cross_sectional,0.0447620886149847,0.0447620886149847,1.5403819566101817,0.12346727694117332,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,2w,2022_bear,cross_sectional,0.017519592853008803,0.017519592853008803,0.31376870961439496,0.75369671117516,52,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,2w,2023_2024_recovery,cross_sectional,0.05025465106053682,0.05025465106053682,1.4042346183070589,0.1602489963657967,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,2w,2025_2026_holdout,cross_sectional,0.04165927910240582,0.04165927910240582,0.9231665803595365,0.35592040188956986,75,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,4w,2020_2021_bull,cross_sectional,0.05158555249250645,0.05158555249250645,1.6090521523046393,0.1076049384189035,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,4w,2022_bear,cross_sectional,0.002844473290595943,0.002844473290595943,0.045167674656249004,0.9639736598298851,52,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,4w,2023_2024_recovery,cross_sectional,0.03522474591551673,0.03522474591551673,0.7696879984678221,0.44148499095150706,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
momentum_consistency_63d,4w,2025_2026_holdout,cross_sectional,0.008189721778127,0.008189721778127,0.14179426782320745,0.8872425119356147,73,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.02971137785555397,2.0026151189051826,0.05124501411463871,True,True
distance_to_50dma,1w,2020_2021_bull,cross_sectional,0.03278195488721804,0.03278195488721804,1.2651339965524728,0.20582329788606857,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,1w,2022_bear,cross_sectional,0.040389435126277226,0.040389435126277226,1.0539875251862985,0.2918886285609843,52,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,1w,2023_2024_recovery,cross_sectional,0.015962984384037014,0.015962984384037014,0.7597480692723199,0.44740518957642883,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,1w,2025_2026_holdout,cross_sectional,0.06224772457459437,0.06224772457459437,2.01341583732022,0.0440709008686091,76,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,2w,2020_2021_bull,cross_sectional,0.04446831364124597,0.04446831364124597,1.3884702721030995,0.1649938910052553,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,2w,2022_bear,cross_sectional,0.03186331212647002,0.03186331212647002,0.5846965499290655,0.5587517742969488,52,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,2w,2023_2024_recovery,cross_sectional,0.036075766338924224,0.036075766338924224,1.2340063203973795,0.21720054908266095,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,2w,2025_2026_holdout,cross_sectional,0.08994486215538844,0.08994486215538844,2.1993083543925076,0.02785600406890576,75,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,4w,2020_2021_bull,cross_sectional,0.02898675259577515,0.02898675259577515,0.7464907473703827,0.45537101884788167,105,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,4w,2022_bear,cross_sectional,-0.019809138230190856,-0.019809138230190856,-0.2808238099964701,0.7788455404529306,52,False,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,4w,2023_2024_recovery,cross_sectional,0.0417727009832273,0.0417727009832273,1.1076348311394075,0.26801955443355774,104,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_50dma,4w,2025_2026_holdout,cross_sectional,0.09737357091358534,0.09737357091358534,1.8679643622857185,0.06176703851662557,73,True,Tier 2,development/full-sample evidence exists but holdout or stability evidence is weaker,0.0296157059314954,2.201237617423708,0.06224772457459437,True,True
distance_to_200dma,1w,2020_2021_bull,cross_sectional,-0.021681093490027583,-0.021681093490027583,-0.7841500154407741,0.43295209065860796,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,1w,2022_bear,cross_sectional,0.036968552603227525,0.036968552603227525,0.9673877958365985,0.33335020867398946,52,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,1w,2023_2024_recovery,cross_sectional,-0.006938301636444049,-0.006938301636444049,-0.2448121425329583,0.8066018915830511,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,1w,2025_2026_holdout,cross_sectional,0.04987468671679198,0.04987468671679198,1.3133934667460079,0.1890503978492335,76,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,2w,2020_2021_bull,cross_sectional,-0.02214099674957702,-0.02214099674957702,-0.6466615530798258,0.5178510111920596,105,False,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,2w,2022_bear,cross_sectional,0.028967214416130815,0.028967214416130815,0.48686685540953195,0.6263526885878774,52,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,2w,2023_2024_recovery,cross_sectional,0.017061318454507316,0.017061318454507316,0.44284336942371527,0.6578790312713538,104,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,2w,2025_2026_holdout,cross_sectional,0.05442940685045947,0.05442940685045947,0.9922880025698408,0.32105705411707275,75,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
distance_to_200dma,4w,2020_2021_bull,cross_sectional,-0.03860063323575045,-0.03860063323575045,-0.8890827277010434,0.3739586208725567,105,True,Tier 3,"unstable, insignificant, redundant, or no holdout support",0.007050755974904581,0.43375430496356465,0.04987468671679198,False,True
