candidate,universe_size,rebalance_days,momentum_signal,top_k,threshold_set,risk_on_votes,neutral_policy,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure
u20_r14_volatility_adjusted_momentum_k5_balanced_v3_btc_eth,20,14,volatility_adjusted_momentum,5,balanced,3,btc_eth,1.2095944008035093,-0.8091480229895174,0.8,1.1265937557928278,0.6918986911358234,-0.7128553182856431,14.43997585521581,0.6014606645056509
u30_r14_momentum_21d_k5_balanced_v3_btc_eth,30,14,momentum_21d,5,balanced,3,btc_eth,1.2088019639169183,-0.9316501088916197,0.8,1.3456556957547117,0.9553280915403282,-0.8027283597047512,14.891191067736953,0.5886515802971858
u20_r7_volatility_adjusted_momentum_k5_balanced_v3_reduced_momentum,20,7,volatility_adjusted_momentum,5,balanced,3,reduced_momentum,1.2080058814583718,-0.5462801183748329,0.8666666666666667,1.1697739561191753,0.7579746322981709,-0.696233514141404,25.706045259186173,0.6188377988798337
u30_r7_momentum_21d_k3_strict_v3_btc_eth,30,7,momentum_21d,3,strict,3,btc_eth,1.2070400828774368,-0.4066473223452331,0.8,1.3588076831647162,0.6525117646255378,-0.6792672613597226,19.542369301790107,0.3245450044424967
u30_r7_volatility_adjusted_momentum_k10_strict_v3_reduced_momentum,30,7,volatility_adjusted_momentum,10,strict,3,reduced_momentum,1.2065183128031618,-0.38449063193209326,0.8,1.2087083899817501,0.6613474073531425,-0.5679715997472958,20.532099393564504,0.43177528761687417
u30_r7_momentum_126d_k10_balanced_v4_reduced_momentum,30,7,momentum_126d,10,balanced,4,reduced_momentum,1.2056127507051275,-0.5178558077462793,0.8,1.1501933652554557,0.45880652567780555,-0.5706069214544662,14.081933335687506,0.2912903667214012
u20_r7_volatility_adjusted_momentum_k10_strict_v3_reduced_momentum,20,7,volatility_adjusted_momentum,10,strict,3,reduced_momentum,1.2034097228549026,-0.714867803672607,0.8,1.1486294160040948,0.6009544275843961,-0.6548347996572427,18.8583420840818,0.43942909179502326
u20_r7_momentum_126d_k5_balanced_v3_btc_eth,20,7,momentum_126d,5,balanced,3,btc_eth,1.2019493693323728,-0.45691450425611935,0.8666666666666667,1.229579455415018,0.841203806711871,-0.7628775239358015,24.462020902761967,0.6226456867558232
u20_r7_momentum_63d_k5_balanced_v4_btc_eth,20,7,momentum_63d,5,balanced,4,btc_eth,1.2018286905351678,-0.5550101342837226,0.8666666666666667,1.3350243248134046,0.4897262711971422,-0.43455713931714157,13.757173501009857,0.2920028133014716
u30_r7_volatility_adjusted_momentum_k5_balanced_v4_reduced_momentum,30,7,volatility_adjusted_momentum,5,balanced,4,reduced_momentum,1.200939940506348,-0.856351098371047,0.8,1.1352408175361504,0.4665893395525307,-0.5604600665713327,16.47486340355688,0.28796356332089007
u20_r7_momentum_126d_k5_balanced_v4_reduced_momentum,20,7,momentum_126d,5,balanced,4,reduced_momentum,1.2003457417103434,-0.6577384305594886,0.8,1.1239925748884507,0.468450937245505,-0.6567346589215262,14.236614590525868,0.29706882747274316
u20_r14_momentum_21d_k5_balanced_v3_btc_eth,20,14,momentum_21d,5,balanced,3,btc_eth,1.1996793237590058,-0.946162450846764,0.7333333333333333,1.0972719270402727,0.6470786591118733,-0.8042994118300995,15.249510461440227,0.5970515356877649
u50_r7_momentum_126d_k3_balanced_v4_btc_eth,50,7,momentum_126d,3,balanced,4,btc_eth,1.1995245840279425,-0.2037102123803317,0.8666666666666667,1.191324452637412,0.3790960410087143,-0.38881465237065904,12.426836094939542,0.2438572921331542
u30_r14_volatility_adjusted_momentum_k5_balanced_v3_reduced_momentum,30,14,volatility_adjusted_momentum,5,balanced,3,reduced_momentum,1.1994560002278036,-0.8812461621998526,0.8,1.1622692408185544,0.757202999756847,-0.7558589063954593,15.124484089720701,0.6043132317727855
u10_r14_momentum_21d_k5_balanced_v4_btc_eth,10,14,momentum_21d,5,balanced,4,btc_eth,1.1993879886738699,-0.5849630519186846,0.8,1.0775769798763914,0.36127369787711117,-0.3808486323505289,7.466723491396245,0.2857559169045071
u10_r7_momentum_21d_k5_strict_v3_btc_eth,10,7,momentum_21d,5,strict,3,btc_eth,1.1987717304939411,-0.6886201567326369,0.8,1.2229657605785915,0.6611718530009536,-0.75259233943582,20.15416520348635,0.43322091245568006
u20_r14_momentum_21d_k5_strict_v3_btc_eth,20,14,momentum_21d,5,strict,3,btc_eth,1.1984836228167448,-0.7665904647690351,0.8,1.2117249837577906,0.6641368743761951,-0.703657606530987,11.721286235391855,0.427595934783144
u20_r14_momentum_126d_k5_strict_v3_reduced_momentum,20,14,momentum_126d,5,strict,3,reduced_momentum,1.1980142218296843,-0.4867540782818564,0.8,1.0725702042043654,0.5872535309199869,-0.7048119359735379,10.924036484368454,0.4397934003588429
u50_r14_volatility_adjusted_momentum_k5_strict_v4_reduced_momentum,50,14,volatility_adjusted_momentum,5,strict,4,reduced_momentum,1.1979476691400903,-0.6323330505087755,0.7333333333333333,1.1229759073594934,0.3650304805502984,-0.4029243113807405,6.389777100056918,0.15656501390259053
u10_r14_volatility_adjusted_momentum_k3_balanced_v4_btc_eth,10,14,volatility_adjusted_momentum,3,balanced,4,btc_eth,1.1974976429346054,-0.7033065562958668,0.8,1.0776330745943032,0.2968972043936793,-0.40821473277855913,6.9373973727422005,0.248810767776285
u20_r14_momentum_21d_k3_strict_v4_btc_eth,20,14,momentum_21d,3,strict,4,btc_eth,1.1964728274186676,-0.9346765722040176,0.6,0.858934193619547,0.19465247537584007,-0.3568419964381204,5.251517639448674,0.16634323530875256
u50_r14_volatility_adjusted_momentum_k10_strict_v3_reduced_momentum,50,14,volatility_adjusted_momentum,10,strict,3,reduced_momentum,1.1952515280715827,-0.6398010751934029,0.8,1.2616726107292995,0.7314543933567521,-0.6479691214053356,12.218356264490877,0.41969182831954766
u30_r7_momentum_21d_k10_strict_v3_reduced_momentum,30,7,momentum_21d,10,strict,3,reduced_momentum,1.1937061279154675,-0.5371059091530315,0.8,1.2832291535514893,0.7398293263524522,-0.6315826539202969,23.11492483900134,0.4281302294228959
u20_r7_momentum_63d_k5_strict_v4_btc_eth,20,7,momentum_63d,5,strict,4,btc_eth,1.193621782927843,-0.7459728925967919,0.6,0.9338699628441296,0.2084783721090746,-0.2591626349684215,8.293496825675046,0.16412038413219035
u50_r14_momentum_21d_k10_balanced_v4_reduced_momentum,50,14,momentum_21d,10,balanced,4,reduced_momentum,1.1922925285861605,-1.0723955786288255,0.8,1.0190502428057078,0.4153929383893782,-0.6391776630019926,10.373517612391923,0.2755431582330873
u30_r7_momentum_126d_k5_balanced_v4_reduced_momentum,30,7,momentum_126d,5,balanced,4,reduced_momentum,1.1886452984911586,-0.5289896761458143,0.7333333333333333,1.1004225525946494,0.4752545011922804,-0.664118749251366,15.052396242547571,0.2908670343659472
u20_r14_volatility_adjusted_momentum_k5_strict_v4_btc_eth,20,14,volatility_adjusted_momentum,5,strict,4,btc_eth,1.1878838800531915,-0.9106129318337012,0.6,0.8054808174359275,0.19017050131283098,-0.3009658727369703,5.413777517841558,0.18155493155493155
u50_r7_volatility_adjusted_momentum_k3_strict_v3_btc_eth,50,7,volatility_adjusted_momentum,3,strict,3,btc_eth,1.1875597046136044,-0.4645472763422756,0.8,1.3153611739771438,0.5514301202247709,-0.4453515909701937,19.657990441166678,0.32049074054046095
u10_r7_volatility_adjusted_momentum_k3_balanced_v3_reduced_momentum,10,7,volatility_adjusted_momentum,3,balanced,3,reduced_momentum,1.1866433656075073,-0.6553257973364556,0.8666666666666667,1.1243173436170018,0.543416707135197,-0.7783220220474061,16.63568215892054,0.43051076984103387
u30_r7_momentum_126d_k3_strict_v3_reduced_momentum,30,7,momentum_126d,3,strict,3,reduced_momentum,1.1860498885679482,-0.33579363510787197,0.8,0.8237732737581541,0.32983288811238465,-0.7131313428110947,14.84105467107716,0.32506841817186644
