candidate,target,model,feature_set,refit_date,split,parameters,cpcv_brier,train_rows,max_train_label_end
drawdown_5__elastic_net__price_only,drawdown_5,elastic_net,price_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2728091369313244,1448,2020-12-31
drawdown_5__elastic_net__price_only,drawdown_5,elastic_net,price_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25700139370706737,2178,2021-12-31
drawdown_5__elastic_net__price_only,drawdown_5,elastic_net,price_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2502884190014704,2908,2022-12-31
drawdown_5__elastic_net__price_only,drawdown_5,elastic_net,price_only,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.24740441884588035,3638,2023-12-31
drawdown_5__elastic_net__price_only,drawdown_5,elastic_net,price_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2476875147069038,4370,2024-12-31
drawdown_5__logistic__derivatives_only,drawdown_5,logistic,derivatives_only,2021-01-01,development,"{""C"": 0.1}",0.2528992018790545,1448,2020-12-31
drawdown_5__logistic__derivatives_only,drawdown_5,logistic,derivatives_only,2022-01-01,development,"{""C"": 0.1}",0.2484027781566337,2178,2021-12-31
drawdown_5__logistic__derivatives_only,drawdown_5,logistic,derivatives_only,2023-01-01,development,"{""C"": 0.1}",0.2603240823072177,2908,2022-12-31
drawdown_5__logistic__derivatives_only,drawdown_5,logistic,derivatives_only,2024-01-01,development,"{""C"": 0.1}",0.2619128445093736,3638,2023-12-31
drawdown_5__logistic__derivatives_only,drawdown_5,logistic,derivatives_only,2025-01-01,holdout,"{""C"": 0.1}",0.2544605118963509,4370,2024-12-31
drawdown_5__elastic_net__derivatives_only,drawdown_5,elastic_net,derivatives_only,2021-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.252961016526122,1448,2020-12-31
drawdown_5__elastic_net__derivatives_only,drawdown_5,elastic_net,derivatives_only,2022-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2482317518406934,2178,2021-12-31
drawdown_5__elastic_net__derivatives_only,drawdown_5,elastic_net,derivatives_only,2023-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25852472817803673,2908,2022-12-31
drawdown_5__elastic_net__derivatives_only,drawdown_5,elastic_net,derivatives_only,2024-01-01,development,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.2603022887265312,3638,2023-12-31
drawdown_5__elastic_net__derivatives_only,drawdown_5,elastic_net,derivatives_only,2025-01-01,holdout,"{""C"": 0.1, ""l1_ratio"": 0.25}",0.25360371451512537,4370,2024-12-31
drawdown_5__random_forest__derivatives_only,drawdown_5,random_forest,derivatives_only,2021-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.27127240631308935,1448,2020-12-31
drawdown_5__random_forest__derivatives_only,drawdown_5,random_forest,derivatives_only,2022-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.26112195013353656,2178,2021-12-31
drawdown_5__random_forest__derivatives_only,drawdown_5,random_forest,derivatives_only,2023-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.25879679448080206,2908,2022-12-31
drawdown_5__random_forest__derivatives_only,drawdown_5,random_forest,derivatives_only,2024-01-01,development,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.2646088854960217,3638,2023-12-31
drawdown_5__random_forest__derivatives_only,drawdown_5,random_forest,derivatives_only,2025-01-01,holdout,"{""max_depth"": 4, ""min_samples_leaf"": 20}",0.24997581513285067,4370,2024-12-31
drawdown_5__gradient_boosting__derivatives_only,drawdown_5,gradient_boosting,derivatives_only,2021-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.250498446106827,1448,2020-12-31
drawdown_5__gradient_boosting__derivatives_only,drawdown_5,gradient_boosting,derivatives_only,2022-01-01,development,"{""n_estimators"": 75, ""max_depth"": 2}",0.2472504176575063,2178,2021-12-31
