strategy,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month
funding_crowding_avoidance,strategy,development,25,0.39567205392046656,0.909296141236097,0.8726593072626996,0.7950263995428016,0.5101660594954461,-0.49768417017096156,0.23408624229979466,0.03559206023271732,0.458590006844627,0.13,0.5414099931553731,12.991101984941821,-0.1436463373888789
funding_crowding_avoidance,strategy,holdout,25,-0.07775975619998676,-0.15908660853631526,-0.13331642886627967,-0.24081565886195455,0.27340024198830076,-0.3229015777772236,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.0525,0.6579925650557621,14.247211895910782,-0.1434625344038668
funding_crowding_avoidance,strategy,development,50,0.3508733205118122,0.8451115125123522,0.8139515130745281,0.6994899396218581,0.5104820700453707,-0.5016131049740231,0.2327173169062286,0.03559206023271732,0.458590006844627,0.26,0.5414099931553731,12.991101984941821,-0.15231292865586787
funding_crowding_avoidance,strategy,holdout,50,-0.11000836616072562,-0.2895855573970453,-0.24427435005793813,-0.32563362359762527,0.27319161812422227,-0.33782864602661344,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.105,0.6579925650557621,14.247211895910782,-0.14778598364310658
funding_crowding_avoidance,strategy,development,100,0.2652310115292056,0.7163368741090884,0.6947358866883777,0.4412862113834236,0.5115732243402061,-0.6010407864268217,0.2299794661190965,0.03559206023271732,0.458590006844627,0.52,0.5414099931553731,12.991101984941821,-0.16944870849947946
funding_crowding_avoidance,strategy,holdout,100,-0.1713842050218639,-0.5492879066962137,-0.46707350781983115,-0.46723104261692683,0.27371512217436905,-0.3668082584195467,0.17843866171003717,0.03903345724907063,0.3420074349442379,0.21,0.6579925650557621,14.247211895910782,-0.1564000669638107
funding_mean_reversion,strategy,development,10,0.4148080767465401,0.9245699845363503,0.9189380251676933,0.8334765331275207,0.5244841947053459,-0.49768417017096156,0.24914442162902123,0.03216974674880219,0.48494182067077346,0.047,0.5150581793292266,11.741957563312798,-0.14071232582714377
funding_mean_reversion,strategy,holdout,10,-0.06016430472152534,-0.08834873976463523,-0.07490377958369128,-0.19024886588504214,0.27466499696205654,-0.31624001773487376,0.18587360594795538,0.040892193308550186,0.34851301115241634,0.022000000000000002,0.6514869888475836,14.925650557620818,-0.14086321443507888
funding_mean_reversion,strategy,development,25,0.38998572800692166,0.8906778929510535,0.8865750832691313,0.7836008283585872,0.5246671228079904,-0.49768417017096167,0.24914442162902123,0.03216974674880219,0.48494182067077346,0.11750000000000001,0.5150581793292266,11.741957563312798,-0.14657251776188973
funding_mean_reversion,strategy,holdout,25,-0.08091827669230711,-0.17003394897126983,-0.1448437609493477,-0.24797454217880835,0.2743851004917226,-0.3263168710034715,0.18587360594795538,0.040892193308550186,0.34851301115241634,0.055,0.6514869888475836,14.925650557620818,-0.1434625344038668
funding_mean_reversion,strategy,development,50,0.34949889783923105,0.8340717213261641,0.8327863076398728,0.7022503804353937,0.5250801607788455,-0.49768417017096167,0.24777549623545517,0.03216974674880219,0.48494182067077346,0.23500000000000001,0.5150581793292266,11.741957563312798,-0.1562736064120046
funding_mean_reversion,strategy,holdout,50,-0.1145592121581196,-0.30626200769302564,-0.26263428381124243,-0.3341737239547856,0.27417344123761705,-0.34281334511393147,0.18587360594795538,0.040892193308550186,0.34851301115241634,0.11,0.6514869888475836,14.925650557620818,-0.14778598364310658
funding_mean_reversion,strategy,development,100,0.2717433641290481,0.7205721503615027,0.7237829386471961,0.46887163698019807,0.5263105513142632,-0.5795687832158734,0.24503764544832307,0.03216974674880219,0.48494182067077346,0.47000000000000003,0.5150581793292266,11.741957563312798,-0.17543032030564987
funding_mean_reversion,strategy,holdout,100,-0.1784176153145942,-0.5773320548111318,-0.49899088304612704,-0.47614300716413155,0.27470700792722463,-0.3747143455434425,0.18401486988847585,0.040892193308550186,0.34851301115241634,0.22,0.6514869888475836,14.925650557620818,-0.1564000669638107
btc_eth_relative_value,strategy,development,10,0.4708523113258445,0.9624950345053105,1.007416422209511,0.9181938450353322,0.5655592979606046,-0.5128027310047216,0.243668720054757,0.05475701574264202,0.487337440109514,0.08,0.5126625598904859,19.98631074606434,-0.146921293596174
