target,model,feature_set,split,observations,positive_rate,auc,brier,precision,recall
drawdown_5,gradient_boosting,derivatives_only,development,2922,0.34770704996577684,0.47732218398592086,0.23757782750581183,0.4845360824742268,0.13877952755905512
drawdown_5,gradient_boosting,derivatives_only,holdout,1062,0.3370998116760829,0.4135962893600813,0.23021672656084735,0.0,0.0
drawdown_5,gradient_boosting,price_derivatives,development,2922,0.34770704996577684,0.5638245573448124,0.22802127345748008,0.4329896907216495,0.08267716535433071
drawdown_5,gradient_boosting,price_derivatives,holdout,1062,0.3370998116760829,0.548612874555612,0.22760182936086368,0.1,0.002793296089385475
drawdown_5,logistic,derivatives_only,development,2922,0.34770704996577684,0.5273075699614148,0.25674871213049294,0.4114339268978444,0.43208661417322836
drawdown_5,logistic,derivatives_only,holdout,1062,0.3370998116760829,0.4227875825292026,0.2483204794777755,0.2809917355371901,0.18994413407821228
drawdown_5,logistic,price_derivatives,development,2922,0.34770704996577684,0.5441668869958936,0.2560782148525728,0.4427645788336933,0.4035433070866142
drawdown_5,logistic,price_derivatives,holdout,1062,0.3370998116760829,0.5176683913153886,0.23791254714553045,0.35454545454545455,0.21787709497206703
drawdown_5,logistic,price_only,development,2922,0.34770704996577684,0.5757037453214466,0.2412019926460637,0.4440344403444034,0.35531496062992124
drawdown_5,logistic,price_only,holdout,1062,0.3370998116760829,0.537447625698324,0.23949480670984427,0.38028169014084506,0.3016759776536313
drawdown_5,random_forest,derivatives_only,development,2922,0.34770704996577684,0.5020663610975701,0.2491115458648352,0.37037037037037035,0.3937007874015748
drawdown_5,random_forest,derivatives_only,holdout,1062,0.3370998116760829,0.43709727336211274,0.24127042014070518,0.20689655172413793,0.0335195530726257
drawdown_5,random_forest,price_derivatives,development,2922,0.34770704996577684,0.5663272735910634,0.2378929202766292,0.4372146118721461,0.37696850393700787
drawdown_5,random_forest,price_derivatives,holdout,1062,0.3370998116760829,0.5618334179786695,0.23314617597300413,0.38920454545454547,0.38268156424581007
eth_outperforms_btc,boosted_tree,derivatives_only,development,1461,0.4620123203285421,0.48216944680049006,0.26366215531575143,0.45734265734265733,0.48444444444444446
eth_outperforms_btc,boosted_tree,derivatives_only,holdout,531,0.4312617702448211,0.49227855056537206,0.24735754075705912,0.39285714285714285,0.048034934497816595
eth_outperforms_btc,boosted_tree,price_derivatives,development,1461,0.4620123203285421,0.49167750447648667,0.26785837864083456,0.4700139470013947,0.49925925925925924
eth_outperforms_btc,boosted_tree,price_derivatives,holdout,531,0.4312617702448211,0.46359061858353334,0.25195010709583,0.4838709677419355,0.13100436681222707
eth_outperforms_btc,elastic_net,derivatives_only,development,1461,0.4620123203285421,0.46556403731976254,0.27786251644425536,0.4444444444444444,0.48
eth_outperforms_btc,elastic_net,derivatives_only,holdout,531,0.4312617702448211,0.4875936261893057,0.24951113798236665,0.4375,0.18340611353711792
eth_outperforms_btc,elastic_net,price_derivatives,development,1461,0.4620123203285421,0.46993120346809913,0.29273698816329846,0.4496551724137931,0.482962962962963
eth_outperforms_btc,elastic_net,price_derivatives,holdout,531,0.4312617702448211,0.5206628300413545,0.25071958241149733,0.5194805194805194,0.34934497816593885
eth_outperforms_btc,elastic_net,price_only,development,1461,0.4620123203285421,0.4623070398642918,0.26839886004273494,0.4607218683651805,0.3214814814814815
