candidate,overlay_type,fold,test_groups,fold_sharpe
expansion_sizing_t50_7d,expansion_probability_sizing,12,"3,4",0.8624863105978258
expansion_sizing_t50_7d,expansion_probability_sizing,13,"3,5",0.7298317368718131
expansion_sizing_t50_7d,expansion_probability_sizing,14,"4,5",0.1429958302293012
expansion_filter_t50_7d,expansion_threshold_filter,0,"0,1",0.24595866433669228
expansion_filter_t50_7d,expansion_threshold_filter,1,"0,2",-0.5821782721562053
expansion_filter_t50_7d,expansion_threshold_filter,2,"0,3",0.48404455979877486
expansion_filter_t50_7d,expansion_threshold_filter,3,"0,4",-0.21604959579156596
expansion_filter_t50_7d,expansion_threshold_filter,4,"0,5",-0.13203300571283724
expansion_filter_t50_7d,expansion_threshold_filter,5,"1,2",0.011248965694325524
expansion_filter_t50_7d,expansion_threshold_filter,6,"1,3",1.4016995416353581
expansion_filter_t50_7d,expansion_threshold_filter,7,"1,4",1.338381236042057
expansion_filter_t50_7d,expansion_threshold_filter,8,"1,5",1.5627747368223859
expansion_filter_t50_7d,expansion_threshold_filter,9,"2,3",0.3976724720484839
expansion_filter_t50_7d,expansion_threshold_filter,10,"2,4",-1.0662629439495714
expansion_filter_t50_7d,expansion_threshold_filter,11,"2,5",-0.859471038850417
expansion_filter_t50_7d,expansion_threshold_filter,12,"3,4",0.9378979811174896
expansion_filter_t50_7d,expansion_threshold_filter,13,"3,5",1.0317431778231516
expansion_filter_t50_7d,expansion_threshold_filter,14,"4,5",0.3801802832146447
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,0,"0,1",1.4127630025851197
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,1,"0,2",-0.21091956793344957
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,2,"0,3",1.1031176372850036
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,3,"0,4",0.8406672544303067
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,4,"0,5",0.6935733599143363
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,5,"1,2",-0.09471678939420898
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,6,"1,3",1.446911358929124
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,7,"1,4",1.4216028727721497
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,8,"1,5",1.190708945592875
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,9,"2,3",-0.25910263487796104
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,10,"2,4",-1.1728947383831632
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,11,"2,5",-1.313638539306791
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,12,"3,4",0.8572991894073405
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,13,"3,5",0.6973518084403886
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,14,"4,5",0.04681613076370213
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,0,"0,1",1.4019782062624495
