candidate,overlay_type,description,rebalance_days,expansion_threshold,leadership_threshold,median_fold_sharpe,worst_fold_sharpe,positive_fold_fraction,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,turnover_penalty,exposure_penalty,selection_score
expansion_sizing_eth_tilt_e50_l60_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.5,0.6,0.7480604137934486,-1.2527469153241346,0.6666666666666666,0.46082082561485493,0.10250076357081106,-0.7317788559819035,11.627257799671593,0.46551724137931033,0.0,0.0,0.7015403516290816
expansion_sizing_eth_tilt_e50_l50_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.5,0.5,0.737899967890729,-1.2736211823442574,0.6666666666666666,0.4728388144288173,0.10903084895378501,-0.7274230282032341,11.966885604816639,0.46551724137931033,0.0,0.0,0.6861613389713312
eth_leadership_tilt_l40_14d,eth_leadership_tilt,Macro gate plus ETH leadership tilt.,14,0.4,0.4,0.6705249917890322,-1.217513680753229,0.8,0.8218985558725206,0.3161437364296129,-0.7558769248154439,7.491789819376026,0.4885057471264368,0.0,0.0,0.6861465716007251
expansion_sizing_t50_7d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,7,0.5,0.4,0.7298317368718131,-1.2730689735296978,0.6666666666666666,0.45531433630396523,0.10064710140730115,-0.7349075081637717,10.888067870826491,0.46551724137931033,0.0,0.0,0.6782311601560553
expansion_sizing_eth_tilt_e50_l40_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.5,0.4,0.6973518084403886,-1.313638539306791,0.6666666666666666,0.4597373059414035,0.10156828336339552,-0.735659247517487,11.767104542966612,0.46551724137931033,0.0,0.0,0.6356088402803575
expansion_sizing_eth_tilt_e60_l50_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.6,0.5,0.5500282654254992,-0.9502765045558133,0.8,0.42831645455944156,0.08747120958863008,-0.6023287776901807,11.017925561029008,0.39272030651340994,0.0,0.0,0.632459139286546
expansion_sizing_t60_7d,expansion_probability_sizing,Macro gate plus expansion probability sizing.,7,0.6,0.4,0.5409722041078471,-0.9477290446289917,0.8,0.41397891405408266,0.08151966894759122,-0.6212536324998009,10.188834154351396,0.39272030651340994,0.0,0.0,0.6240399429505992
expansion_sizing_eth_tilt_e60_l40_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.6,0.4,0.5415883769799889,-0.9986707205853786,0.8,0.413228292808514,0.08026236828619071,-0.6199022809775034,10.768199233716475,0.39272030651340994,0.0,0.0,0.6119206968336443
expansion_sizing_eth_tilt_e60_l60_7d,expansion_sizing_eth_tilt,Macro gate plus expansion sizing and ETH leadership tilt.,7,0.6,0.6,0.5393449790558649,-0.9224136141738526,0.7333333333333333,0.4207676108650016,0.08395881686181261,-0.6130889611990691,10.778188286808977,0.39272030651340994,0.0,0.0,0.6020749088457351
expansion_filter_t50_14d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,14,0.5,0.4,0.4290935703428207,-1.1204977639919682,0.7333333333333333,0.5891355088002609,0.1277559195075506,-0.4171249728930079,5.194307608100711,0.22413793103448276,0.0,0.0,0.442302462678162
expansion_filter_t50_7d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,7,0.5,0.4,0.3801802832146447,-1.0662629439495714,0.6666666666666666,0.27909024376820385,0.031699752021240535,-0.5180075505076529,8.69047619047619,0.19827586206896552,0.0,0.0,0.3802812138939185
expansion_filter_t40_7d,expansion_threshold_filter,Macro gate plus expansion threshold filter.,7,0.4,0.4,0.1479569298327198,-0.7572531649785373,0.6666666666666666,0.18142808140948075,-0.011464443579957573,-0.5837214701449961,9.689381499726327,0.32471264367816094,0.0,0.0,0.22531030525475212
