config,model,feature,importance,method
eth_30d_gt_20__xgboost,xgboost,dow_vol_level,0.11030086129903793,model_importance
eth_30d_gt_20__xgboost,xgboost,equity_realized_vol_21d,0.09300075471401215,model_importance
eth_30d_gt_20__xgboost,xgboost,stablecoin_supply_change_7d,0.0914316475391388,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_change_5d,0.08911126106977463,model_importance
eth_30d_gt_20__xgboost,xgboost,cross_sectional_dispersion,0.08675617724657059,model_importance
eth_30d_gt_20__xgboost,xgboost,tvl_growth_30d,0.08114337921142578,model_importance
eth_30d_gt_20__xgboost,xgboost,equity_momentum_21d,0.07708249241113663,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_change_21d,0.07648265361785889,model_importance
eth_30d_gt_20__xgboost,xgboost,vix_level,0.07628504186868668,model_importance
eth_30d_gt_20__xgboost,xgboost,volatility_4h_7d,0.07278250902891159,model_importance
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.785487208810076,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_level,0.5769496742585487,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.5180108441159519,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,equity_momentum_21d,-0.44964415051904205,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,dow_vol_level,0.39141409295596613,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,volatility_4h_7d,0.3691973764717835,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_change_5d,-0.2843484515106481,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,volatility_expansion_probability,0.27080820268311456,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.22710285160313237,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,vix_change_21d,-0.14614678823470878,coefficient
btc_eth_50_50_30d_gt_15__logistic_regression,logistic_regression,tvl_growth_30d,0.05994777362092987,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.6072704086386115,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.44663581451071005,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_level,0.43629161446950515,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.3815066723802824,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.3384266203902135,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.2968627189174171,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.23924957586877174,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.22979886115040693,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.21830698584205968,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.049911231325234444,coefficient
btc_eth_50_50_30d_gt_15__elastic_net_logistic,elastic_net_logistic,vix_change_21d,-0.02949560339133366,coefficient
btc_eth_50_50_30d_gt_15__random_forest,random_forest,volatility_expansion_probability,0.14347962488284502,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,dow_vol_level,0.11535807979040687,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,cross_sectional_dispersion,0.11030031983511651,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_level,0.10163484802988812,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,equity_momentum_21d,0.09477986919704179,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_change_21d,0.08514262583865077,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,stablecoin_supply_change_7d,0.08241267055977629,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,volatility_4h_7d,0.07383629630599892,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,tvl_growth_30d,0.06764477944869694,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,equity_realized_vol_21d,0.06279659985971013,model_importance
btc_eth_50_50_30d_gt_15__random_forest,random_forest,vix_change_5d,0.06261428625186878,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.1592843962328409,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.1291616352620053,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,tvl_growth_30d,0.12730305011716536,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,equity_momentum_21d,0.10286006928702408,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,volatility_4h_7d,0.1020925515459401,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_5d,0.09331229690556336,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,dow_vol_level,0.08292171160777245,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_level,0.07423370326766787,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.061748400417184074,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,vix_change_21d,0.04729283516501649,model_importance
btc_eth_50_50_30d_gt_15__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.01978935019182004,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,volatility_expansion_probability,0.10313476622104645,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_change_21d,0.10203082114458084,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_level,0.09784553945064545,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,dow_vol_level,0.09591870754957199,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,stablecoin_supply_change_7d,0.09247413277626038,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,cross_sectional_dispersion,0.08981207013130188,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,equity_momentum_21d,0.08639099448919296,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,tvl_growth_30d,0.08611986041069031,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,volatility_4h_7d,0.08519149571657181,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,vix_change_5d,0.08359032869338989,model_importance
btc_eth_50_50_30d_gt_15__xgboost,xgboost,equity_realized_vol_21d,0.07749135047197342,model_importance
top10_30d_gt_20__logistic_regression,logistic_regression,vix_change_21d,0.3955986410123762,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.3862286875494631,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,dow_vol_level,0.28194480440379144,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.2710167011060732,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,vix_level,0.22638551514002223,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,vix_change_5d,-0.19610821138787984,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,tvl_growth_30d,0.1788598513974106,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.13431396015756752,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,volatility_4h_7d,0.10721364617102057,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,equity_momentum_21d,-0.06635501656007728,coefficient
top10_30d_gt_20__logistic_regression,logistic_regression,volatility_expansion_probability,-0.0012091436312963858,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_21d,0.3834087818483503,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_realized_vol_21d,-0.263290205313794,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.2584617791127707,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,cross_sectional_dispersion,-0.22334702725291727,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,tvl_growth_30d,0.17726222415895454,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_level,0.1431230685728392,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,vix_change_5d,-0.14266719130003716,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,stablecoin_supply_change_7d,0.12000681780367464,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.07362862183829669,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,equity_momentum_21d,-0.046047512704294684,coefficient
top10_30d_gt_20__elastic_net_logistic,elastic_net_logistic,volatility_expansion_probability,0.0,coefficient
top10_30d_gt_20__random_forest,random_forest,volatility_expansion_probability,0.12371687923454988,model_importance
top10_30d_gt_20__random_forest,random_forest,dow_vol_level,0.11522101711809551,model_importance
top10_30d_gt_20__random_forest,random_forest,equity_momentum_21d,0.1047635084560778,model_importance
top10_30d_gt_20__random_forest,random_forest,cross_sectional_dispersion,0.10381289417556624,model_importance
top10_30d_gt_20__random_forest,random_forest,vix_level,0.09488829399707085,model_importance
top10_30d_gt_20__random_forest,random_forest,vix_change_21d,0.08599988139476859,model_importance
top10_30d_gt_20__random_forest,random_forest,stablecoin_supply_change_7d,0.083537190915135,model_importance
top10_30d_gt_20__random_forest,random_forest,volatility_4h_7d,0.07885430008249973,model_importance
top10_30d_gt_20__random_forest,random_forest,tvl_growth_30d,0.07588873688053765,model_importance
top10_30d_gt_20__random_forest,random_forest,equity_realized_vol_21d,0.06903781531355724,model_importance
top10_30d_gt_20__random_forest,random_forest,vix_change_5d,0.06427948243214157,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,volatility_expansion_probability,0.13951702339215524,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,equity_realized_vol_21d,0.1153297111081435,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,vix_change_5d,0.11413713913866609,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,dow_vol_level,0.11046844194721447,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,cross_sectional_dispersion,0.10831290636355936,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,volatility_4h_7d,0.10542639229170558,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,equity_momentum_21d,0.08297256644909892,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,stablecoin_supply_change_7d,0.06325302416730508,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,vix_change_21d,0.060483054924828535,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,vix_level,0.05419040947492018,model_importance
top10_30d_gt_20__gradient_boosting,gradient_boosting,tvl_growth_30d,0.045909330742403026,model_importance
top10_30d_gt_20__xgboost,xgboost,dow_vol_level,0.10982415080070496,model_importance
top10_30d_gt_20__xgboost,xgboost,volatility_expansion_probability,0.10944419354200363,model_importance
top10_30d_gt_20__xgboost,xgboost,volatility_4h_7d,0.09309984743595123,model_importance
top10_30d_gt_20__xgboost,xgboost,vix_change_21d,0.0904696062207222,model_importance
top10_30d_gt_20__xgboost,xgboost,equity_momentum_21d,0.08966638892889023,model_importance
top10_30d_gt_20__xgboost,xgboost,vix_change_5d,0.08775395900011063,model_importance
top10_30d_gt_20__xgboost,xgboost,equity_realized_vol_21d,0.0871289074420929,model_importance
top10_30d_gt_20__xgboost,xgboost,cross_sectional_dispersion,0.08575132489204407,model_importance
top10_30d_gt_20__xgboost,xgboost,tvl_growth_30d,0.08573780208826065,model_importance
top10_30d_gt_20__xgboost,xgboost,stablecoin_supply_change_7d,0.08186288177967072,model_importance
top10_30d_gt_20__xgboost,xgboost,vix_level,0.07926099747419357,model_importance
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,volatility_4h_7d,0.6717843971737717,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,dow_vol_level,0.3931782971178752,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,cross_sectional_dispersion,-0.36694986836960186,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,equity_realized_vol_21d,-0.36213975326701936,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_change_5d,-0.3381680451865055,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,tvl_growth_30d,0.2623579306737693,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,volatility_expansion_probability,0.12355131991002459,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,stablecoin_supply_change_7d,0.07857923581733033,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,equity_momentum_21d,-0.07835559381676192,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_level,0.06275389403264132,coefficient
eth_leads_btc_30d_gt_5__logistic_regression,logistic_regression,vix_change_21d,0.06262181550645005,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,volatility_4h_7d,0.6027608256488539,coefficient
eth_leads_btc_30d_gt_5__elastic_net_logistic,elastic_net_logistic,dow_vol_level,0.34889730798735286,coefficient
