name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,expansion_threshold,leadership_threshold,rebalance_days
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,100,False,0.09668042571200863,0.45665796231137196,0.4452930077853938,0.1228162232883937,0.546707004382164,-0.7871958860433796,0.3344280240831965,0.033880678708264916,0.5268199233716475,0.619,0.4731800766283525,12.366447728516693,-0.4246596331223875,0.4485550225350663,1.2873563218390804,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l50_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,100,False,0.1382372619902239,0.5870348759841214,0.7318080898993101,0.606365926035527,0.29088281064764476,-0.22797663268124435,0.22862453531598512,0.03317843866171004,0.3187732342007435,0.1785,0.6812267657992566,12.110130111524166,-0.10342227710286545,0.2300741533714854,0.8847583643122676,0.4,0.5,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,10,False,0.21892412936621852,0.6511644243462396,0.6246518475461349,0.2935318299709343,0.5415416877505076,-0.745827562850327,0.3393541324575807,0.03281335522714833,0.5268199233716475,0.05995,0.4731800766283525,11.976874657909141,-0.4292457635143534,0.4523541674450511,1.2873563218390804,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,10,False,0.2802184654603823,1.0058011851482238,1.2385526780361178,1.4302829598235907,0.28504630575824713,-0.19591820173467223,0.23234200743494424,0.032620817843866175,0.3187732342007435,0.01755,0.6812267657992566,11.906598513011154,-0.07544016561272882,0.246415793598165,0.8847583643122676,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,25,False,0.19724084521654173,0.6180215086720994,0.5940066095860023,0.26183051746622815,0.5415141134744056,-0.7533149578027418,0.33825944170771755,0.03281335522714833,0.5268199233716475,0.149875,0.4731800766283525,11.976874657909141,-0.42979061604930535,0.4498273212350108,1.2873563218390804,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,25,False,0.25753393230030386,0.9428380418139337,1.165274328855143,1.2866983245807448,0.2851391251322737,-0.20015098129875797,0.23048327137546468,0.032620817843866175,0.3187732342007435,0.043875,0.6812267657992566,11.906598513011154,-0.07823750178835176,0.2445206579453003,0.8847583643122676,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,50,False,0.1619174234495071,0.5627161051159585,0.5420800152113109,0.21156750806815655,0.5415256111589684,-0.7653227328146501,0.337712096332786,0.03281335522714833,0.5268199233716475,0.29975,0.4731800766283525,11.976874657909141,-0.43069815400605926,0.4456224240869664,1.2873563218390804,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,50,False,0.22057235336827286,0.8376433013576567,1.0404702602062381,1.0647224208915755,0.2854120813886193,-0.20716418574483508,0.22676579925650558,0.032620817843866175,0.3187732342007435,0.08775,0.6812267657992566,11.906598513011154,-0.08288620878603448,0.24136530232033437,0.8847583643122676,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,development,100,False,0.0942303387842427,0.4519325852103382,0.4374439030736786,0.11931352291266013,0.5417640096219536,-0.7897708196347633,0.33607006020799124,0.03281335522714833,0.5268199233716475,0.5995,0.4731800766283525,11.976874657909141,-0.4325111689139478,0.4431568401158341,1.2873563218390804,0.4,0.6,7
expansion_sizing_eth_tilt_e40_l60_7d,Macro gate plus expansion sizing and ETH leadership tilt.,expansion_sizing_eth_tilt,holdout,100,False,0.14972132567718743,0.6268880784633746,0.7864124118994914,0.6773606507837872,0.28639964884442615,-0.22103634969634267,0.22676579925650558,0.032620817843866175,0.3187732342007435,0.1755,0.6812267657992566,11.906598513011154,-0.09213306274782218,0.23506660530718304,0.8847583643122676,0.4,0.6,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,10,False,0.11877573235160055,0.489543425710303,0.4438232756953682,0.1633073843179958,0.4772390241857746,-0.7273139108046565,0.33607006020799124,0.02983032293377121,0.46551724137931033,0.05450000000000001,0.5344827586206897,10.888067870826491,-0.4320897947253527,0.3834956561868905,1.2720306513409962,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,10,False,0.24122207367343051,0.963007425957663,1.187663559642581,1.35494291188765,0.2580257870132947,-0.17803117131877533,0.2211895910780669,0.03066914498141264,0.27648698884758366,0.0165,0.7235130111524164,11.194237918215613,-0.0630167516279091,0.24050014415354593,0.8587360594795539,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,25,False,0.10064710140730115,0.45531433630396523,0.41362657016873117,0.13695206578958,0.4772463936458179,-0.7349075081637717,0.33497536945812806,0.02983032293377121,0.46551724137931033,0.13625,0.5344827586206897,10.888067870826491,-0.4329294666098096,0.3834956561868905,1.2720306513409962,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,25,False,0.22050861509074005,0.8973433550962043,1.1099366791651768,1.2131300772125406,0.25819480446279147,-0.1817683191875119,0.2211895910780669,0.03066914498141264,0.27648698884758366,0.04125,0.7235130111524164,11.194237918215613,-0.06372047641001821,0.23768720997373638,0.8587360594795539,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,development,50,False,0.07105364218333743,0.39822299434446534,0.36257421004582396,0.09510488898129131,0.4773128573655957,-0.7471081975324617,0.3344280240831965,0.02983032293377121,0.46551724137931033,0.2725,0.5344827586206897,10.888067870826491,-0.43432753933400514,0.3834956561868905,1.2720306513409962,0.5,0.4,7
expansion_sizing_t50_7d,Macro gate plus expansion probability sizing.,expansion_probability_sizing,holdout,50,False,0.18671294398574645,0.7877345078189127,0.9775221537273391,0.9933362201274476,0.258594482389159,-0.18796550473291984,0.2174721189591078,0.03066914498141264,0.27648698884758366,0.0825,0.7235130111524164,11.194237918215613,-0.06489276357861584,0.2330060815649102,0.8587360594795539,0.5,0.4,7
