target,model,fold,test_groups,fold_start,fold_end,positive_rate,model_config
target_c_forward_vol_top20,random_forest,0,0-1,2019-07-05,2021-04-30,0.2916666666666667,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,1,0-2,2019-07-05,2022-04-01,0.2708333333333333,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,2,0-3,2019-07-05,2023-03-03,0.2708333333333333,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,3,0-4,2019-07-05,2024-02-02,0.125,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,4,0-5,2019-07-05,2024-12-27,0.1368421052631579,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,5,1-2,2020-06-05,2022-04-01,0.3125,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,6,1-3,2020-06-05,2023-03-03,0.3125,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,7,1-4,2020-06-05,2024-02-02,0.1666666666666666,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,8,1-5,2020-06-05,2024-12-27,0.1789473684210526,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,9,2-3,2021-05-07,2023-03-03,0.2916666666666667,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,10,2-4,2021-05-07,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,11,2-5,2021-05-07,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,12,3-4,2022-04-08,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,13,3-5,2022-04-08,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,random_forest,14,4-5,2023-03-10,2024-12-27,0.0105263157894736,target_c_forward_vol_top20__random_forest
target_c_forward_vol_top20,gradient_boosting,0,0-1,2019-07-05,2021-04-30,0.2916666666666667,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,1,0-2,2019-07-05,2022-04-01,0.2708333333333333,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,2,0-3,2019-07-05,2023-03-03,0.2708333333333333,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,3,0-4,2019-07-05,2024-02-02,0.125,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,4,0-5,2019-07-05,2024-12-27,0.1368421052631579,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,5,1-2,2020-06-05,2022-04-01,0.3125,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,6,1-3,2020-06-05,2023-03-03,0.3125,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,7,1-4,2020-06-05,2024-02-02,0.1666666666666666,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,8,1-5,2020-06-05,2024-12-27,0.1789473684210526,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,9,2-3,2021-05-07,2023-03-03,0.2916666666666667,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,10,2-4,2021-05-07,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,11,2-5,2021-05-07,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,12,3-4,2022-04-08,2024-02-02,0.1458333333333333,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,13,3-5,2022-04-08,2024-12-27,0.1578947368421052,target_c_forward_vol_top20__gradient_boosting
target_c_forward_vol_top20,gradient_boosting,14,4-5,2023-03-10,2024-12-27,0.0105263157894736,target_c_forward_vol_top20__gradient_boosting
target_d_future_drawdown_gt_25,logistic_regression,0,0-1,2019-07-05,2021-04-30,0.4375,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,1,0-2,2019-07-05,2022-04-01,0.7604166666666666,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,2,0-3,2019-07-05,2023-03-03,0.8020833333333334,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,3,0-4,2019-07-05,2024-02-02,0.4166666666666667,target_d_future_drawdown_gt_25__logistic_regression
target_d_future_drawdown_gt_25,logistic_regression,4,0-5,2019-07-05,2024-12-27,0.5263157894736842,target_d_future_drawdown_gt_25__logistic_regression
