probability_bin,observations,average_probability,observed_crisis_rate,model_config,target,model,split
"(0.6, 0.8]",32,0.706518751224061,0.5,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof
"(0.8, 1.0]",108,0.9349206064258904,0.7314814814814815,target_d_future_drawdown_gt_25__gradient_boosting,target_d_future_drawdown_gt_25,gradient_boosting,development_oof
"(-0.001, 0.2]",138,0.037646521788581,0.2028985507246377,target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof
"(0.2, 0.4]",22,0.3126071268150788,0.0454545454545454,target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof
"(0.4, 0.6]",24,0.5214415654677818,0.2916666666666667,target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof
"(0.6, 0.8]",21,0.7168375720423578,0.0476190476190476,target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof
"(0.8, 1.0]",82,0.9305405386860996,0.024390243902439,target_e_frozen_future_dd_gt_20__logistic_regression,target_e_frozen_future_dd_gt_20,logistic_regression,development_oof
"(-0.001, 0.2]",113,0.035255002906826,0.2212389380530973,target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof
"(0.2, 0.4]",26,0.2828254234831221,0.1153846153846153,target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof
"(0.4, 0.6]",35,0.4910139759266759,0.1714285714285714,target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof
"(0.6, 0.8]",43,0.7103467733523112,0.0465116279069767,target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof
"(0.8, 1.0]",70,0.9187157169995444,0.0428571428571428,target_e_frozen_future_dd_gt_20__elastic_net_logistic,target_e_frozen_future_dd_gt_20,elastic_net_logistic,development_oof
"(-0.001, 0.2]",50,0.1182261886673597,0.36,target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof
"(0.2, 0.4]",85,0.3092796955178939,0.1647058823529411,target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof
"(0.4, 0.6]",128,0.4919238582458964,0.0546875,target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof
"(0.6, 0.8]",24,0.6423267427318271,0.0,target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof
"(0.8, 1.0]",0,,,target_e_frozen_future_dd_gt_20__random_forest,target_e_frozen_future_dd_gt_20,random_forest,development_oof
"(-0.001, 0.2]",136,0.0738894718903331,0.1985294117647058,target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof
"(0.2, 0.4]",65,0.2821244472258702,0.123076923076923,target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof
"(0.4, 0.6]",36,0.4988600979540867,0.0555555555555555,target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof
"(0.6, 0.8]",38,0.7020308644974097,0.0263157894736842,target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof
"(0.8, 1.0]",12,0.8643804108442742,0.0833333333333333,target_e_frozen_future_dd_gt_20__gradient_boosting,target_e_frozen_future_dd_gt_20,gradient_boosting,development_oof
