feature,importance,abs_importance,target,model,model_config
volatility_4h_7d_btc_eth_avg,0.0336527111084987,0.0336527111084987,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_downside_semivariance_21d,0.031329806330921,0.031329806330921,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
stablecoin_supply_z_90,0.0299099050163838,0.0299099050163838,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
stablecoin_supply_change_30d,0.0273690989110901,0.0273690989110901,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
trend_4h_7d_btc_eth_avg,0.0217485787635798,0.0217485787635798,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_downside_semivariance_21d,0.021118243164569,0.021118243164569,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_momentum_126d,0.0210642269807825,0.0210642269807825,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_rv_acceleration,0.0201128980939925,0.0201128980939925,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
drawdown_4h_30d_btc_eth_avg,0.0177429501431864,0.0177429501431864,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
ETH_momentum_63d,0.0169573886969764,0.0169573886969764,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
vix_level,0.0166043331705559,0.0166043331705559,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
BTC_momentum_63d,0.0144577248699571,0.0144577248699571,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
volatility_4h_30d_btc_eth_avg,0.014245875826818,0.014245875826818,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
credit_spread_level,0.0133856950285882,0.0133856950285882,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
rates_10y_change_21d,0.0127654893553338,0.0127654893553338,target_a_30d_loss_gt_20,random_forest,target_a_30d_loss_gt_20__random_forest
cross_sectional_dispersion,0.2975152495384057,0.2975152495384057,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_rv_percentile,0.0927803854354324,0.0927803854354324,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
stablecoin_supply_z_90,0.0765999361822032,0.0765999361822032,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
eth_btc_relative_weakness_63d,0.0621227805778662,0.0621227805778662,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
equity_realized_vol_21d,0.0539738252500678,0.0539738252500678,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
BTC_rv_percentile,0.0538258265222087,0.0538258265222087,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_momentum_63d,0.0409058104872711,0.0409058104872711,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
stablecoin_supply_change_30d,0.0397578066886224,0.0397578066886224,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_momentum_126d,0.0375240120722155,0.0375240120722155,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
BTC_rv_21d,0.0334085113784436,0.0334085113784436,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
BTC_momentum_63d,0.0262758969521106,0.0262758969521106,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_rv_63d,0.0253218077652268,0.0253218077652268,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
funding_change,0.0227725446883016,0.0227725446883016,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
usd_trend_63d,0.0198427238074674,0.0198427238074674,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
yield_curve_slope_change_21d,0.0162642484071924,0.0162642484071924,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
rates_10y_change_21d,0.0145990000628322,0.0145990000628322,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
funding_level,0.0136186570932324,0.0136186570932324,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
volatility_4h_30d_btc_eth_avg,0.0117290515124546,0.0117290515124546,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
BTC_momentum_126d,0.0104729180357486,0.0104729180357486,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
tvl_change_90d,0.0099774741529341,0.0099774741529341,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
funding_sum_7d,0.0059093839810877,0.0059093839810877,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
vix_change_21d,0.0048951920554828,0.0048951920554828,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
ETH_rv_21d,0.0045942631734714,0.0045942631734714,target_a_30d_loss_gt_20,gradient_boosting,target_a_30d_loss_gt_20__gradient_boosting
