fee_scenario,capital_eur,leverage,volume_multiple,duration_months,total_cost_eur,breakeven_airdrop_eur,breakeven_as_multiple_of_capital
cheap_pair (Variational+Extended),2000.0,2,10,6,318.28,318.28,0.159
cheap_pair (Variational+Extended),2000.0,2,10,12,620.56,620.56,0.31
cheap_pair (Variational+Extended),2000.0,2,25,1,91.88,91.88,0.046
cheap_pair (Variational+Extended),2000.0,2,25,3,243.64,243.64,0.122
cheap_pair (Variational+Extended),2000.0,2,25,6,471.28,471.28,0.236
cheap_pair (Variational+Extended),2000.0,2,25,12,926.56,926.56,0.463
cheap_pair (Variational+Extended),2000.0,2,50,1,134.38,134.38,0.067
cheap_pair (Variational+Extended),2000.0,2,50,3,371.14,371.14,0.186
cheap_pair (Variational+Extended),2000.0,2,50,6,726.28,726.28,0.363
cheap_pair (Variational+Extended),2000.0,2,50,12,1436.56,1436.56,0.718
cheap_pair (Variational+Extended),2000.0,2,100,1,219.38,219.38,0.11
cheap_pair (Variational+Extended),2000.0,2,100,3,626.14,626.14,0.313
cheap_pair (Variational+Extended),2000.0,2,100,6,1236.28,1236.28,0.618
cheap_pair (Variational+Extended),2000.0,2,100,12,2456.56,2456.56,1.228
cheap_pair (Variational+Extended),2000.0,2,250,1,474.38,474.38,0.237
cheap_pair (Variational+Extended),2000.0,2,250,3,1391.14,1391.14,0.696
cheap_pair (Variational+Extended),2000.0,2,250,6,2766.28,2766.28,1.383
cheap_pair (Variational+Extended),2000.0,2,250,12,5516.56,5516.56,2.758
cheap_pair (Variational+Extended),2000.0,3,10,1,68.4,68.4,0.034
cheap_pair (Variational+Extended),2000.0,3,10,3,173.2,173.2,0.087
cheap_pair (Variational+Extended),2000.0,3,10,6,330.4,330.4,0.165
cheap_pair (Variational+Extended),2000.0,3,10,12,644.8,644.8,0.322
cheap_pair (Variational+Extended),2000.0,3,25,1,93.9,93.9,0.047
cheap_pair (Variational+Extended),2000.0,3,25,3,249.7,249.7,0.125
cheap_pair (Variational+Extended),2000.0,3,25,6,483.4,483.4,0.242
cheap_pair (Variational+Extended),2000.0,3,25,12,950.8,950.8,0.475
cheap_pair (Variational+Extended),2000.0,3,50,1,136.4,136.4,0.068
cheap_pair (Variational+Extended),2000.0,3,50,3,377.2,377.2,0.189
cheap_pair (Variational+Extended),2000.0,3,50,6,738.4,738.4,0.369
cheap_pair (Variational+Extended),2000.0,3,50,12,1460.8,1460.8,0.73
cheap_pair (Variational+Extended),2000.0,3,100,1,221.4,221.4,0.111
cheap_pair (Variational+Extended),2000.0,3,100,3,632.2,632.2,0.316
cheap_pair (Variational+Extended),2000.0,3,100,6,1248.4,1248.4,0.624
cheap_pair (Variational+Extended),2000.0,3,100,12,2480.8,2480.8,1.24
cheap_pair (Variational+Extended),2000.0,3,250,1,476.4,476.4,0.238
cheap_pair (Variational+Extended),2000.0,3,250,3,1397.2,1397.2,0.699
cheap_pair (Variational+Extended),2000.0,3,250,6,2778.4,2778.4,1.389
cheap_pair (Variational+Extended),2000.0,3,250,12,5540.8,5540.8,2.77
typical_pair (Pacifica+StandX),500.0,1,10,1,45.84,45.84,0.092
typical_pair (Pacifica+StandX),500.0,1,10,3,111.52,111.52,0.223
typical_pair (Pacifica+StandX),500.0,1,10,6,210.04,210.04,0.42
typical_pair (Pacifica+StandX),500.0,1,10,12,407.08,407.08,0.814
typical_pair (Pacifica+StandX),500.0,1,25,1,56.34,56.34,0.113
typical_pair (Pacifica+StandX),500.0,1,25,3,143.02,143.02,0.286
typical_pair (Pacifica+StandX),500.0,1,25,6,273.04,273.04,0.546
typical_pair (Pacifica+StandX),500.0,1,25,12,533.08,533.08,1.066
typical_pair (Pacifica+StandX),500.0,1,50,1,73.84,73.84,0.148
typical_pair (Pacifica+StandX),500.0,1,50,3,195.52,195.52,0.391
typical_pair (Pacifica+StandX),500.0,1,50,6,378.04,378.04,0.756
typical_pair (Pacifica+StandX),500.0,1,50,12,743.08,743.08,1.486
typical_pair (Pacifica+StandX),500.0,1,100,1,108.84,108.84,0.218
typical_pair (Pacifica+StandX),500.0,1,100,3,300.52,300.52,0.601
typical_pair (Pacifica+StandX),500.0,1,100,6,588.04,588.04,1.176
typical_pair (Pacifica+StandX),500.0,1,100,12,1163.08,1163.08,2.326
typical_pair (Pacifica+StandX),500.0,1,250,1,213.84,213.84,0.428
typical_pair (Pacifica+StandX),500.0,1,250,3,615.52,615.52,1.231
typical_pair (Pacifica+StandX),500.0,1,250,6,1218.04,1218.04,2.436
typical_pair (Pacifica+StandX),500.0,1,250,12,2423.08,2423.08,4.846
typical_pair (Pacifica+StandX),500.0,2,10,1,46.35,46.35,0.093
typical_pair (Pacifica+StandX),500.0,2,10,3,113.05,113.05,0.226
typical_pair (Pacifica+StandX),500.0,2,10,6,213.1,213.1,0.426
typical_pair (Pacifica+StandX),500.0,2,10,12,413.2,413.2,0.826
typical_pair (Pacifica+StandX),500.0,2,25,1,56.85,56.85,0.114
typical_pair (Pacifica+StandX),500.0,2,25,3,144.55,144.55,0.289
typical_pair (Pacifica+StandX),500.0,2,25,6,276.1,276.1,0.552
typical_pair (Pacifica+StandX),500.0,2,25,12,539.2,539.2,1.078
typical_pair (Pacifica+StandX),500.0,2,50,1,74.35,74.35,0.149
typical_pair (Pacifica+StandX),500.0,2,50,3,197.05,197.05,0.394
typical_pair (Pacifica+StandX),500.0,2,50,6,381.1,381.1,0.762
typical_pair (Pacifica+StandX),500.0,2,50,12,749.2,749.2,1.498
typical_pair (Pacifica+StandX),500.0,2,100,1,109.35,109.35,0.219
