date,forward_btc_7d,forward_eth_7d,forward_btc_eth_50_50_7d,target_btc_weight,target_eth_weight,target_exposure,target_cash_weight,macro_regime,selected_forward_return_7d
2020-07-24,0.18847742666023604,0.2406591438294825,0.21456828524485927,0.5,0.5,1.0,0.0,risk_on,0.18774075192416473
2020-07-31,0.022828363383576855,0.09531371813010714,0.059071040756842,0.5,0.5,1.0,0.0,risk_on,0.11870674480277077
2020-08-07,0.014344203970423353,0.1549269784362315,0.08463559120332742,0.5,0.5,1.0,0.0,risk_on,0.03873044343729459
2020-08-14,-0.019488901019851235,-0.11444614366255046,-0.06696752234120085,0.5,0.5,1.0,0.0,risk_on,-0.006665774832857796
2020-08-21,-0.0003841704433309445,0.018403484805526116,0.009009657181097586,0.5,0.5,1.0,0.0,risk_on,-0.06105565365751864
2020-08-28,-0.09375105730850675,-0.024929766394168773,-0.05934041185133776,0.25,0.25,0.5,0.5,neutral,-0.014284763381826826
2020-09-04,-0.005586693789637498,-0.03018740590769864,-0.01788704984866807,0.5,0.5,1.0,0.0,risk_on,-0.017189186559575687
2020-09-11,0.052513070508062754,0.028798544014131622,0.04065580726109719,0.5,0.5,1.0,0.0,risk_on,0.05959946800031446
2020-09-18,-0.02256573670197437,-0.08447150029917527,-0.05351861850057482,0.5,0.5,1.0,0.0,risk_on,-0.06148817251297156
2020-09-25,-0.010879909270146815,-0.017958626960672852,-0.014419268115409833,0.5,0.5,1.0,0.0,risk_on,7.62133032383705e-05
2020-10-02,0.04543252857034741,0.056192129629629495,0.05081232909998845,0.5,0.5,1.0,0.0,risk_on,0.011689238801735113
2020-10-09,0.024313523922596447,0.0013149964385512636,0.012814260180573855,0.5,0.5,1.0,0.0,risk_on,0.06466507184318537
2020-10-16,0.14168253923380547,0.1193160054719562,0.13049927235288084,0.5,0.5,1.0,0.0,risk_on,0.11225837934823102
2020-10-23,0.04929401450274584,-0.06506807460096309,-0.007887030049108623,0.5,0.5,1.0,0.0,risk_on,-0.014715722124623909
2020-10-30,0.1489531788113656,0.19195273079034747,0.17045295480085654,0.25,0.25,0.5,0.5,neutral,0.05561735373868015
2020-11-06,0.04754709908651655,0.04500888333223663,0.04627799120937659,0.5,0.5,1.0,0.0,risk_on,0.05287421209588583
2020-11-13,0.14306800566152167,0.07071343114413442,0.10689071840282804,0.5,0.5,1.0,0.0,risk_on,0.055637515595771125
2020-11-20,-0.08127019828288118,0.016780365404218456,-0.03224491643933136,0.5,0.5,1.0,0.0,risk_on,0.033263995492334164
2020-11-27,0.08815882825189969,0.09362227192103045,0.09089055008646507,0.5,0.5,1.0,0.0,risk_on,0.15867808896025903
2020-12-04,-0.03292079791877123,-0.04021225583527266,-0.03656652687702194,0.5,0.5,1.0,0.0,risk_on,-0.07598015279971937
2020-12-11,0.2811438785620073,0.2009808423488788,0.24106236045544305,0.5,0.5,1.0,0.0,risk_on,0.19891872873783467
2020-12-18,0.06946176093448897,-0.04133975682495983,0.014061002054764571,0.5,0.5,1.0,0.0,risk_on,-0.0035374216807139147
2020-12-25,0.18691858806505368,0.16286972336555938,0.17489415571530653,0.0,0.0,0.0,1.0,risk_off,0.07364738273993288
2021-01-01,0.38358239842300246,0.6695202425539506,0.5265513204884765,0.25,0.25,0.5,0.5,neutral,0.23584041669293598
2021-01-08,-0.09463588154689129,-0.039772213685257185,-0.06720404761607424,0.5,0.5,1.0,0.0,risk_on,-0.006198317040457146
2021-01-15,-0.10334296621162253,0.05484668771875767,-0.024248139246432432,0.25,0.25,0.5,0.5,neutral,-0.10430907675735612
2021-01-22,0.039672886799491325,0.1191608119290617,0.07941684936427651,0.5,0.5,1.0,0.0,risk_on,0.09293251022674043
2021-01-29,0.11789140551555821,0.24624139180862636,0.1820663986620923,0.0,0.0,0.0,1.0,risk_off,0.06070795963455877
2021-02-05,0.23497789515030454,0.07042269906176735,0.15270029710603594,0.5,0.5,1.0,0.0,risk_on,0.15694799171503293
2021-02-12,0.1822549674756173,0.06234988534228858,0.12230242640895295,0.5,0.5,1.0,0.0,risk_on,0.08152667065202768
2021-02-19,-0.17223786355668436,-0.26107928388746804,-0.2166585737220762,0.5,0.5,1.0,0.0,risk_on,-0.16389908748550408
2021-02-26,0.05347898420960617,0.057954160003876654,0.05571657210674141,0.0,0.0,0.0,1.0,risk_off,-0.008200592365331882
2021-03-05,0.17373770068783223,0.1555901616818578,0.164663931184845,0.25,0.25,0.5,0.5,neutral,0.09196326827672796
2021-03-12,0.014125580286646455,0.024347432195232388,0.01923650624093942,0.5,0.5,1.0,0.0,risk_on,-0.005079731181966807
2021-03-19,-0.05177355647534798,-0.0609474324249627,-0.05636049445015534,0.5,0.5,1.0,0.0,risk_on,-0.10858692067312348
2021-03-26,0.07131990770112617,0.2559687786960516,0.1636443431985889,0.5,0.5,1.0,0.0,risk_on,0.19262415690319545
2021-04-02,-0.013697537964794226,-0.031316639249375555,-0.02250708860708489,0.25,0.25,0.5,0.5,neutral,0.033656133023714396
2021-04-09,0.05490403412028444,0.17214435353940982,0.11352419382984713,0.25,0.25,0.5,0.5,neutral,0.07189484370489785
2021-04-16,-0.16645786731186862,-0.02281780019565194,-0.09463783375376028,0.0,0.0,0.0,1.0,risk_off,-0.017560405481311214
2021-04-23,0.12849118848378693,0.17108714660448854,0.14978916754413774,0.0,0.0,0.0,1.0,risk_off,0.0
2021-04-30,-0.006578122922778928,0.2550515434169427,0.12423671024708188,0.0,0.0,0.0,1.0,risk_off,0.0
2021-05-07,-0.13039051901997312,0.1711380560018163,0.020373768490921595,0.0,0.0,0.0,1.0,risk_off,0.0
2021-05-14,-0.25258976213573237,-0.4034419547436694,-0.3280158584397009,0.25,0.25,0.5,0.5,neutral,-0.12820164846491955
2021-05-21,-0.04264253123522743,-0.0077664151905816325,-0.025204473212904532,0.25,0.25,0.5,0.5,neutral,-0.006845694895535326
2021-05-28,0.03268076119302976,0.11500766966543696,0.07384421542923336,0.25,0.25,0.5,0.5,neutral,0.018794570346346795
2021-06-04,0.013657172337017132,-0.12474391245989047,-0.05554337006143667,0.0,0.0,0.0,1.0,risk_off,-0.031327895492267
2021-06-11,-0.04050521831416409,-0.05094285920620556,-0.045724038760184826,0.25,0.25,0.5,0.5,neutral,0.007535866400846691
2021-06-18,-0.11824145501487437,-0.19035490960525325,-0.15429818231006381,0.0,0.0,0.0,1.0,risk_off,-0.030830501288625523
2021-06-25,0.0697210177793186,0.19090346192545438,0.1303122398523865,0.25,0.25,0.5,0.5,neutral,0.05516929940684956
2021-07-02,0.0008660250898655519,-0.003314563187922892,-0.00122426904902867,0.0,0.0,0.0,1.0,risk_off,0.006516803115089953
2021-07-09,-0.07191724817474432,-0.12609746668591837,-0.09900735743033134,0.0,0.0,0.0,1.0,risk_off,0.0
2021-07-16,0.07169988914687697,0.13217251340432568,0.10193620127560132,0.0,0.0,0.0,1.0,risk_off,0.0
2021-07-23,0.25486879532046225,0.15890784982935147,0.20688832257490686,0.0,0.0,0.0,1.0,risk_off,0.0
2021-07-30,0.01493850335861624,0.17457480471685471,0.09475665403773548,0.0,0.0,0.0,1.0,risk_off,0.0
2021-08-06,0.1158611728634702,0.14896354242317367,0.13241235764332193,0.0,0.0,0.0,1.0,risk_off,0.0
2021-08-13,0.031850836820083606,-0.01128729321678823,0.010281771801647688,0.25,0.25,0.5,0.5,neutral,-0.0164781211556706
2021-08-20,-0.005120789773910395,-0.003461376879098532,-0.0042910833265044634,0.0,0.0,0.0,1.0,risk_off,0.020353044341498316
2021-08-27,0.018937067326405765,0.20304571629320756,0.11099139180980666,0.0,0.0,0.0,1.0,risk_off,0.0
2021-09-03,-0.10296637102158146,-0.1851776613654773,-0.14407201619352938,0.0,0.0,0.0,1.0,risk_off,0.0
2021-09-10,0.054604689180219435,0.059507114676240036,0.057055901928229735,0.0,0.0,0.0,1.0,risk_off,0.0
2021-09-17,-0.09491357078797924,-0.13861951109032555,-0.1167665409391524,0.0,0.0,0.0,1.0,risk_off,0.0
2021-09-24,0.12452625601574563,0.13022915933932722,0.12737770767753642,0.0,0.0,0.0,1.0,risk_off,0.0
2021-10-01,0.1206818799786713,0.07650359073207436,0.09859273535537283,0.0,0.0,0.0,1.0,risk_off,0.0
2021-10-08,0.1431100158049563,0.08584025842447507,0.11447513711471569,0.5,0.5,1.0,0.0,risk_on,0.04614546428907462
2021-10-15,-0.015958511114044116,0.026676212654982212,0.005358850770469048,0.25,0.25,0.5,0.5,neutral,0.050721951394863574
2021-10-22,0.025795615689502727,0.11245405568702505,0.06912483568826389,0.25,0.25,0.5,0.5,neutral,0.008954477679819606
2021-10-29,-0.021148779727344746,0.012525770046323714,-0.004311504840510516,0.0,0.0,0.0,1.0,risk_off,0.013424651749968541
2021-11-05,0.05226879773773363,0.0427379845515663,0.047503391144649965,0.25,0.25,0.5,0.5,neutral,0.028361452561721956
2021-11-12,-0.09466280258811965,-0.0794562594042173,-0.08705953099616848,0.0,0.0,0.0,1.0,risk_off,-0.006602953486307905
2021-11-19,-0.07451409282398058,-0.05903938753271443,-0.0667767401783475,0.0,0.0,0.0,1.0,risk_off,0.0
2021-11-26,-0.0023355314404260863,0.0431876670295952,0.020426067794584557,0.0,0.0,0.0,1.0,risk_off,0.0
2021-12-03,-0.12052954186531795,-0.07538196231732097,-0.09795575209131946,0.5,0.5,1.0,0.0,risk_on,-0.053862208904321585
2021-12-10,-0.021411294821824356,-0.0057774106322826535,-0.013594352727053505,0.5,0.5,1.0,0.0,risk_on,-0.009959007701567324
2021-12-17,0.10164053829078812,0.044108767565838036,0.07287465292831308,0.25,0.25,0.5,0.5,neutral,0.011706629421405434
2021-12-24,-0.0905759543486816,-0.09147233563004775,-0.09102414498936467,0.5,0.5,1.0,0.0,risk_on,-0.08281471723528955
2021-12-31,-0.10062221787557069,-0.12974977082500283,-0.11518599435028676,0.5,0.5,1.0,0.0,risk_on,-0.08336796660673629
2022-01-07,0.03592991275662505,0.0338142808917119,0.034872096824168475,0.5,0.5,1.0,0.0,risk_on,-0.0301193516121806
2022-01-14,-0.15361486633986654,-0.22351863385962467,-0.1885667500997456,0.0,0.0,0.0,1.0,risk_off,-0.004796746737189106
2022-01-21,0.034881031331603474,-0.00901816482682094,0.012931433252391267,0.0,0.0,0.0,1.0,risk_off,-0.031686217668261185
2022-01-28,0.10228106699020278,0.1768179835677155,0.13954952527895914,0.0,0.0,0.0,1.0,risk_off,0.0
2022-02-04,0.019230172522655353,-0.022520943308658725,-0.001645385393001686,0.5,0.5,1.0,0.0,risk_on,0.025514337474284554
2022-02-11,-0.056622109972381485,-0.050574885398662395,-0.05359849768552194,0.5,0.5,1.0,0.0,risk_on,-0.05515279570146592
2022-02-18,-0.018893823152994815,-0.0039539770028926835,-0.01142390007794375,0.5,0.5,1.0,0.0,risk_on,-0.07825512715924043
2022-02-25,-0.0017978452884136464,-0.0528772002066108,-0.027337522747512222,0.25,0.25,0.5,0.5,neutral,0.0733834322467013
2022-03-04,-0.010705091821789137,-0.024880820716219776,-0.017792956269004456,0.25,0.25,0.5,0.5,neutral,-0.0366175980432073
2022-03-11,0.07818160645728844,0.14942546717458138,0.11380353681593491,0.5,0.5,1.0,0.0,risk_on,0.06686120547562147
2022-03-18,0.061202164592668584,0.05553740829964737,0.05836978644615798,0.5,0.5,1.0,0.0,risk_on,0.09073111534352174
2022-03-25,0.04446376651992301,0.11381497933684503,0.07913937292838402,0.5,0.5,1.0,0.0,risk_on,0.04471442110314494
2022-04-01,-0.08710406237731849,-0.07606484121080925,-0.08158445179406387,0.5,0.5,1.0,0.0,risk_on,-0.030842506464498376
2022-04-08,-0.04023737568934593,-0.04755997857404637,-0.04389867713169615,0.5,0.5,1.0,0.0,risk_on,-0.07208267771200871
2022-04-15,-0.020781270421361242,-0.025709079906333088,-0.023245175163847165,0.0,0.0,0.0,1.0,risk_off,0.0064222354187948305
2022-04-22,-0.0280305460853133,-0.049034732091318034,-0.03853263908831567,0.25,0.25,0.5,0.5,neutral,-0.005102440366640204
2022-04-29,-0.06690674267432661,-0.04411582000120695,-0.05551128133776678,0.25,0.25,0.5,0.5,neutral,-0.03535440660464906
2022-05-06,-0.18678188926069106,-0.25369404162875764,-0.22023796544472435,0.5,0.5,1.0,0.0,risk_on,-0.24098177482801542
2022-05-13,-0.0029378172263850866,-0.025182988421099783,-0.014060402823742435,0.25,0.25,0.5,0.5,neutral,0.0277636831143111
2022-05-20,-0.019561309694424933,-0.11832594891479675,-0.06894362930461084,0.5,0.5,1.0,0.0,risk_on,-0.06008033898499954
2022-05-27,0.03738796638467612,0.02770267532001358,0.03254532085234485,0.5,0.5,1.0,0.0,risk_on,0.03337537717849459
2022-06-03,-0.02048234675781746,-0.06321262787867854,-0.041847487318248,0.5,0.5,1.0,0.0,risk_on,-0.017850467471906772
2022-06-10,-0.29640813862837323,-0.346362701529247,-0.3213854200788101,0.5,0.5,1.0,0.0,risk_on,-0.36325043470213625
2022-06-17,0.03756349294365413,0.12703553094007014,0.08229951194186214,0.25,0.25,0.5,0.5,neutral,0.033634905004775506
2022-06-24,-0.09218940477989834,-0.1349284093320925,-0.11355890705599542,0.5,0.5,1.0,0.0,risk_on,-0.0775825149485847
2022-07-01,0.12007126629944298,0.14561256169024173,0.13284191399484235,0.0,0.0,0.0,1.0,risk_off,0.010432558500545586
2022-07-08,-0.035411847787077844,0.014175809693255603,-0.01061801904691112,0.5,0.5,1.0,0.0,risk_on,-0.03567889930261636
2022-07-15,0.08904399607489966,0.24691979695431465,0.16798189651460715,0.5,0.5,1.0,0.0,risk_on,0.22156616942899965
2022-07-22,0.04800212300466877,0.1214183824343602,0.08471025271951449,0.5,0.5,1.0,0.0,risk_on,0.06244594305758033
2022-07-29,-0.019405016036595057,0.008787928070256967,-0.005308543983169045,0.5,0.5,1.0,0.0,risk_on,-0.05929246794861287
