date,feature,value,threshold,rule,favorable
2019-02-01,equity_realized_vol_21d,0.1256133535258095,0.1406289261638587,>=,False
2019-02-01,equity_momentum_21d,0.041384250415922,0.0157027249562728,>=,True
2019-02-01,dow_vol_level,17.11,17.84,>=,False
2019-02-01,vix_level,16.57,19.54,>=,False
2019-02-01,vix_change_5d,-0.8500000000000014,-0.1600000000000001,<=,True
2019-02-01,vix_change_21d,-2.93,-0.1799999999999997,<=,True
2019-02-02,equity_realized_vol_21d,0.1251637174184276,0.1406289261638587,>=,False
2019-02-02,equity_momentum_21d,0.0424726337115697,0.0157027249562728,>=,True
2019-02-02,dow_vol_level,16.73,17.84,>=,False
2019-02-02,vix_level,16.14,19.54,>=,False
2019-02-02,vix_change_5d,-1.2800000000000011,-0.1600000000000001,<=,True
2019-02-02,vix_change_21d,-2.0500000000000007,-0.1799999999999997,<=,True
2019-02-03,equity_realized_vol_21d,0.1247072062953861,0.1406289261638587,>=,False
2019-02-03,equity_momentum_21d,0.0424726337115697,0.0157027249562728,>=,True
2019-02-03,dow_vol_level,16.73,17.84,>=,False
2019-02-03,vix_level,16.14,19.54,>=,False
2019-02-03,vix_change_5d,-2.7300000000000004,-0.1600000000000001,<=,True
2019-02-03,vix_change_21d,-2.0500000000000007,-0.1799999999999997,<=,True
2019-02-04,equity_realized_vol_21d,0.1242437443737108,0.1406289261638587,>=,False
2019-02-04,equity_momentum_21d,0.0424726337115697,0.0157027249562728,>=,True
2019-02-04,dow_vol_level,16.73,17.84,>=,False
2019-02-04,vix_level,16.14,19.54,>=,False
2019-02-04,vix_change_5d,-2.9899999999999984,-0.1600000000000001,<=,True
2019-02-04,vix_change_21d,-2.0500000000000007,-0.1799999999999997,<=,True
2019-02-05,equity_realized_vol_21d,0.1188670878048251,0.1406289261638587,>=,False
2019-02-05,equity_momentum_21d,0.0550838105637319,0.0157027249562728,>=,True
2019-02-05,dow_vol_level,16.26,17.84,>=,False
2019-02-05,vix_level,15.73,19.54,>=,False
2019-02-05,vix_change_5d,-1.93,-0.1600000000000001,<=,True
2019-02-05,vix_change_21d,-3.34,-0.1799999999999997,<=,True
2019-02-06,equity_realized_vol_21d,0.1172609983037838,0.1406289261638587,>=,False
2019-02-06,equity_momentum_21d,0.0488066505765618,0.0157027249562728,>=,True
2019-02-06,dow_vol_level,15.85,17.84,>=,False
2019-02-06,vix_level,15.57,19.54,>=,False
2019-02-06,vix_change_5d,-1.0,-0.1600000000000001,<=,True
2019-02-06,vix_change_21d,-3.030000000000001,-0.1799999999999997,<=,True
2019-02-07,equity_realized_vol_21d,0.1196092318109267,0.1406289261638587,>=,False
2019-02-07,equity_momentum_21d,0.0441535109514164,0.0157027249562728,>=,True
2019-02-07,dow_vol_level,15.54,17.84,>=,False
2019-02-07,vix_level,15.38,19.54,>=,False
2019-02-07,vix_change_5d,-0.7599999999999998,-0.1600000000000001,<=,True
2019-02-07,vix_change_21d,-3.6599999999999984,-0.1799999999999997,<=,True
2019-02-08,equity_realized_vol_21d,0.1287859731492525,0.1406289261638587,>=,False
2019-02-08,equity_momentum_21d,0.0265899330794094,0.0157027249562728,>=,True
2019-02-08,dow_vol_level,16.36,17.84,>=,False
2019-02-08,vix_level,16.37,19.54,>=,False
2019-02-08,vix_change_5d,0.2300000000000004,-0.1600000000000001,<=,False
2019-02-08,vix_change_21d,-1.6899999999999975,-0.1799999999999997,<=,True
