split,portfolio,category,cost_bps,start,end,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs
development,eth_buy_hold,benchmark,25,2021-07-29,2024-12-31,0.09200527446920104,0.4751697953391274,0.681688918997368,0.11601807559763143,0.6993566721934013,-0.7930253453633338,0.5039936102236422,0.0007987220447284345,0.9992012779552716,0.0025
holdout,eth_buy_hold,benchmark,25,2025-01-01,2026-06-15,-0.3468518268780637,-0.22524363439923337,-0.3355286368816391,-0.5137391435402022,0.7266606592515051,-0.6751516430846409,0.4934086629001883,0.0,1.0,0.0
development,eth_buy_hold,benchmark,50,2021-07-29,2024-12-31,0.09120667995343301,0.47412435172055906,0.6802833990527635,0.11501105290858724,0.6993615318978748,-0.7930253453633335,0.5039936102236422,0.0007987220447284345,0.9992012779552716,0.005
holdout,eth_buy_hold,benchmark,50,2025-01-01,2026-06-15,-0.3468518268780637,-0.22524363439923337,-0.3355286368816391,-0.5137391435402022,0.7266606592515051,-0.6751516430846409,0.4934086629001883,0.0,1.0,0.0
development,eth_buy_hold,benchmark,100,2021-07-29,2024-12-31,0.08960521633541907,0.4720282329278701,0.6774397928418622,0.11299161730368833,0.699379067116508,-0.7930253453633337,0.5039936102236422,0.0007987220447284345,0.9992012779552716,0.01
holdout,eth_buy_hold,benchmark,100,2025-01-01,2026-06-15,-0.3468518268780637,-0.22524363439923337,-0.3355286368816391,-0.5137391435402022,0.7266606592515051,-0.6751516430846409,0.4934086629001883,0.0,1.0,0.0
development,btc_eth_50_50,benchmark,10,2021-07-29,2024-12-31,0.19419970522199947,0.5965171083340076,0.8351569044383279,0.2546758100165351,0.6042893773142154,-0.7625369100009571,0.5063897763578274,0.0007987220447284345,0.9992012779552716,0.001
holdout,btc_eth_50_50,benchmark,10,2025-01-01,2026-06-15,-0.2660206977741112,-0.2668616589508165,-0.3827766135732891,-0.44927424835959123,0.5638280973493016,-0.5921120534849638,0.504708097928437,0.0,1.0,0.0
development,btc_eth_50_50,benchmark,25,2021-07-29,2024-12-31,0.19367668028533158,0.5957914935353378,0.8342222131945558,0.2539899088754781,0.6042913595435393,-0.7625369100009564,0.5063897763578274,0.0007987220447284345,0.9992012779552716,0.0025
holdout,btc_eth_50_50,benchmark,25,2025-01-01,2026-06-15,-0.2660206977741112,-0.2668616589508165,-0.3827766135732891,-0.44927424835959123,0.5638280973493016,-0.5921120534849638,0.504708097928437,0.0,1.0,0.0
development,btc_eth_50_50,benchmark,50,2021-07-29,2024-12-31,0.19280373244088178,0.5945797727339477,0.8326507931421222,0.25284511465896126,0.6042970754201976,-0.7625369100009561,0.5063897763578274,0.0007987220447284345,0.9992012779552716,0.005
holdout,btc_eth_50_50,benchmark,50,2025-01-01,2026-06-15,-0.2660206977741112,-0.2668616589508165,-0.3827766135732891,-0.44927424835959123,0.5638280973493016,-0.5921120534849638,0.504708097928437,0.0,1.0,0.0
development,btc_eth_50_50,benchmark,100,2021-07-29,2024-12-31,0.19105316417913243,0.5921475366829012,0.8294572376023307,0.2505493985581534,0.6043175524128361,-0.7625369100009567,0.5063897763578274,0.0007987220447284345,0.9992012779552716,0.01
holdout,btc_eth_50_50,benchmark,100,2025-01-01,2026-06-15,-0.2660206977741112,-0.2668616589508165,-0.3827766135732891,-0.44927424835959123,0.5638280973493016,-0.5921120534849638,0.504708097928437,0.0,1.0,0.0
development,equal_weight_top10,benchmark,10,2021-07-29,2024-12-31,-0.08114725834956082,0.2575664241603483,0.3382468416682576,-0.08965262934367205,0.7321281263413493,-0.9051297094532839,0.5223642172523961,0.011821086261980831,0.9992012779552716,0.0148
holdout,equal_weight_top10,benchmark,10,2025-01-01,2026-06-15,-0.39090061050859115,-0.40881015107735363,-0.6013182530836939,-0.6111009904624212,0.6675077080883485,-0.6396661380188502,0.4915254237288136,0.004519774011299436,1.0,0.0024000000000000002
development,equal_weight_top10,benchmark,25,2021-07-29,2024-12-31,-0.0870647573379626,0.24873409521961873,0.32665680507845146,-0.09610297970338672,0.7321054181966425,-0.9059527353540984,0.5223642172523961,0.011821086261980831,0.9992012779552716,0.037
holdout,equal_weight_top10,benchmark,25,2025-01-01,2026-06-15,-0.39244632398684554,-0.41246691609105196,-0.6064925675276807,-0.612754625459111,0.6675893084217618,-0.6404624423565994,0.4915254237288136,0.004519774011299436,1.0,0.006
development,equal_weight_top10,benchmark,50,2021-07-29,2024-12-31,-0.09684794316444822,0.23400989330172278,0.3073492492358959,-0.1067017215842928,0.732075192075667,-0.907651176817609,0.5215654952076677,0.011821086261980831,0.9992012779552716,0.074
holdout,equal_weight_top10,benchmark,50,2025-01-01,2026-06-15,-0.3950148579010847,-0.4185580356412724,-0.6151006491948366,-0.615492849394039,0.6677277061882175,-0.6417862665504273,0.4915254237288136,0.004519774011299436,1.0,0.012
development,equal_weight_top10,benchmark,100,2021-07-29,2024-12-31,-0.11612025257657155,0.2045498548343617,0.26872946287853694,-0.12743788942628748,0.7320433215638522,-0.9111909581940913,0.5199680511182109,0.011821086261980831,0.9992012779552716,0.148
holdout,equal_weight_top10,benchmark,100,2025-01-01,2026-06-15,-0.40012332888199786,-0.43072691089286286,-0.6322568899740225,-0.6200058680440959,0.6680134845059252,-0.6453540998640039,0.4915254237288136,0.004519774011299436,1.0,0.024
