date,standalone_volatility_breakout__cost_10,standalone_volatility_breakout__cost_25,standalone_volatility_breakout__cost_50,standalone_volatility_breakout__cost_100,standalone_trend_following__cost_10,standalone_trend_following__cost_25,standalone_trend_following__cost_50,standalone_trend_following__cost_100,breakout_risk_off_sizing__cost_10,breakout_risk_off_sizing__cost_25,breakout_risk_off_sizing__cost_50,breakout_risk_off_sizing__cost_100,trend_risk_off_sizing__cost_10,trend_risk_off_sizing__cost_25,trend_risk_off_sizing__cost_50,trend_risk_off_sizing__cost_100,breakout_activation__cost_10,breakout_activation__cost_25,breakout_activation__cost_50,breakout_activation__cost_100,breakout_volatility_targeted__cost_10,breakout_volatility_targeted__cost_25,breakout_volatility_targeted__cost_50,breakout_volatility_targeted__cost_100,trend_volatility_targeted__cost_10,trend_volatility_targeted__cost_25,trend_volatility_targeted__cost_50,trend_volatility_targeted__cost_100,volatility_regime_switching__cost_10,volatility_regime_switching__cost_25,volatility_regime_switching__cost_50,volatility_regime_switching__cost_100,btc_buy_hold__cost_10,btc_buy_hold__cost_25,btc_buy_hold__cost_50,btc_buy_hold__cost_100,eth_buy_hold__cost_10,eth_buy_hold__cost_25,eth_buy_hold__cost_50,eth_buy_hold__cost_100,btc_eth_50_50__cost_10,btc_eth_50_50__cost_25,btc_eth_50_50__cost_50,btc_eth_50_50__cost_100,equal_weight_top10__cost_10,equal_weight_top10__cost_25,equal_weight_top10__cost_50,equal_weight_top10__cost_100
2024-05-02,0.0,0.0,0.0,0.0,-0.0004627981488073863,-0.0004627981488073863,-0.0004627981488073863,-0.0004627981488073863,0.0,0.0,0.0,0.0,-0.00032094403604554544,-0.00032094403604554544,-0.00032094403604554544,-0.00032094403604554544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00045296281306796057,-0.00045296281306796057,-0.00045296281306796057,-0.00045296281306796057,-0.00023139907440369314,-0.00023139907440369314,-0.00023139907440369314,-0.00023139907440369314,0.011918793070569533,0.011918793070569533,0.011918793070569533,0.011918793070569533,0.004619069726758296,0.004619069726758296,0.004619069726758296,0.004619069726758296,0.008268931398663915,0.008268931398663915,0.008268931398663915,0.008268931398663915,0.012481790077722765,0.012481790077722765,0.012481790077722765,0.012481790077722765
2024-05-03,0.0,0.0,0.0,0.0,0.009255842997323805,0.008955842997323805,0.008455842997323805,0.007455842997323806,0.0,0.0,0.0,0.0,0.006406002476310601,0.006178764115495948,0.005800033514138192,0.00504257231142268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009050638075976147,0.008744262508724135,0.008233636563304118,0.007212384672464081,0.004427921498661903,0.003977921498661903,0.0032279214986619025,0.0017279214986619025,0.06470302287768459,0.06470302287768459,0.06470302287768459,0.06470302287768459,0.03898613283146757,0.03898613283146757,0.03898613283146757,0.03898613283146757,0.05184457785457608,0.05184457785457608,0.05184457785457608,0.05184457785457608,0.06212021499293686,0.061820214992936856,0.061320214992936856,0.060320214992936855
2024-05-04,0.0,0.0,0.0,0.0,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.0,0.0,0.0,0.0,0.010273453594153197,0.010273453594153197,0.010273453594153197,0.010273453594153197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.014161030242717644,0.016062304624168355,0.016062304624168355,0.016062304624168355,0.016062304624168355,0.0047121616961203205,0.0047121616961203205,0.0047121616961203205,0.0047121616961203205,0.010387233160144338,0.010387233160144338,0.010387233160144338,0.010387233160144338,0.021652533728843175,0.021652533728843175,0.021652533728843175,0.021652533728843175
2024-05-05,0.0,0.0,0.0,0.0,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,0.0,0.0,0.0,0.0,-0.0007822456259197095,-0.0007822456259197095,-0.0007822456259197095,-0.0007822456259197095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,-0.0010782551227161764,0.0018775421789631874,0.0018775421789631874,0.0018775421789631874,0.0018775421789631874,0.006152898566996967,0.006152898566996967,0.006152898566996967,0.006152898566996967,0.004015220372980077,0.004015220372980077,0.004015220372980077,0.004015220372980077,0.02120320510411048,0.02120320510411048,0.02120320510411048,0.02120320510411048
2024-05-06,0.0,0.0,0.0,0.0,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,0.0,0.0,0.0,0.0,-0.0039931390057431,-0.0039931390057431,-0.0039931390057431,-0.0039931390057431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.005504182376984246,-0.013228925826407556,-0.013228925826407556,-0.013228925826407556,-0.013228925826407556,-0.02353327530520566,-0.02353327530520566,-0.02353327530520566,-0.02353327530520566,-0.018381100565806607,-0.018381100565806607,-0.018381100565806607,-0.018381100565806607,-0.003721700943299178,-0.003721700943299178,-0.003721700943299178,-0.003721700943299178
2024-05-07,0.0,0.0,0.0,0.0,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,0.0,0.0,0.0,0.0,-0.010879349211620268,-0.010879349211620268,-0.010879349211620268,-0.010879349211620268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.014996202766177948,-0.013506014942723965,-0.013506014942723965,-0.013506014942723965,-0.013506014942723965,-0.018582250375497877,-0.018582250375497877,-0.018582250375497877,-0.018582250375497877,-0.01604413265911092,-0.01604413265911092,-0.01604413265911092,-0.01604413265911092,-0.028937195585293285,-0.028937195585293285,-0.028937195585293285,-0.028937195585293285
2024-05-08,0.0,0.0,0.0,0.0,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.0,0.0,0.0,0.0,0.004332632072930762,0.004332632072930762,0.004332632072930762,0.004332632072930762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,0.005972142985126138,-0.01795879707433945,-0.01795879707433945,-0.01795879707433945,-0.01795879707433945,-0.01047346865445209,-0.01047346865445209,-0.01047346865445209,-0.01047346865445209,-0.01421613286439577,-0.01421613286439577,-0.01421613286439577,-0.01421613286439577,-0.024956046506756934,-0.024956046506756934,-0.024956046506756934,-0.024956046506756934
2024-05-09,0.0,0.0,0.0,0.0,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.0,0.0,0.0,0.0,0.012411315697027496,0.012411315697027496,0.012411315697027496,0.012411315697027496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.017107880551244126,0.030738468090238502,0.030738468090238502,0.030738468090238502,0.030738468090238502,0.02085259615158308,0.02085259615158308,0.02085259615158308,0.02085259615158308,0.02579553212091079,0.02579553212091079,0.02579553212091079,0.02579553212091079,0.046786520440556825,0.046786520440556825,0.046786520440556825,0.046786520440556825
2024-05-10,0.0,0.0,0.0,0.0,-0.006766950268567906,-0.007066950268567906,-0.007566950268567906,-0.008566950268567906,0.0,0.0,0.0,0.0,-0.004941747868200108,-0.005208146088998652,-0.005652143123662892,-0.006540137192991371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006829665221371969,-0.007223737650578064,-0.007880525032588221,-0.009194099796608537,-0.006866950268567906,-0.007316950268567906,-0.008066950268567906,-0.009566950268567907,-0.03605320162773862,-0.03605320162773862,-0.03605320162773862,-0.03605320162773862,-0.04157787782875477,-0.04157787782875477,-0.04157787782875477,-0.04157787782875477,-0.038815539728246695,-0.038815539728246695,-0.038815539728246695,-0.038815539728246695,-0.03489969154303957,-0.03489969154303957,-0.03489969154303957,-0.03489969154303957
2024-05-11,0.0,0.0,0.0,0.0,-0.001527321046263231,-0.001527321046263231,-0.001527321046263231,-0.001527321046263231,0.0,0.0,0.0,0.0,-0.0008598101654532923,-0.0008598101654532923,-0.0008598101654532923,-0.0008598101654532923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010483917095979772,-0.0010483917095979772,-0.0010483917095979772,-0.0010483917095979772,-0.0007636605231316155,-0.0007636605231316155,-0.0007636605231316155,-0.0007636605231316155,0.0004276316492815013,0.0004276316492815013,0.0004276316492815013,0.0004276316492815013,0.000845363729772286,0.000845363729772286,0.000845363729772286,0.000845363729772286,0.0006364976895268937,0.0006364976895268937,0.0006364976895268937,0.0006364976895268937,0.005472204113069589,0.005472204113069589,0.005472204113069589,0.005472204113069589
