name,candidate,model,target,feature_set,category,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Average Holdings,Best Month,Worst Month
ensemble__forward_rank,ensemble__forward_rank,ensemble,forward_rank,all_features,model,development,25,0.6347241024162396,1.0440814983768991,1.376796931437568,0.7763307861374992,0.7252141846269805,-0.8175949141141247,0.5432525951557093,0.09284890426758939,1.0,0.4025,5.217416378316032,0.6417885377753263,-0.32060552354300187
ensemble__forward_rank,ensemble__forward_rank,ensemble,forward_rank,all_features,model,holdout,25,-0.13963960525492003,-0.040527534879146,-0.054689191412527864,-0.2596340970845506,0.5090640744025471,-0.5378323063994402,0.5177570093457944,0.03214953271028037,1.0,0.043,5.022429906542056,0.2847348384238855,-0.21628356325014497
elastic_net__residual_rank,elastic_net__residual_rank,elastic_net,residual_rank,all_features,model,development,25,0.36871518054379715,0.801841169336457,1.0258051706979587,0.4442880202630001,0.7035058433213833,-0.8299012436246492,0.544405997693195,0.07531718569780853,1.0,0.3265,5.168973471741638,0.6096246300154926,-0.3214095871426039
elastic_net__residual_rank,elastic_net__residual_rank,elastic_net,residual_rank,all_features,model,holdout,25,-0.12619619359379108,-0.03763054086511321,-0.05157731469966494,-0.2575780501095975,0.482578927729399,-0.4899338027448207,0.5233644859813084,0.015700934579439253,1.0,0.021,5.003738317757009,0.3004755416874638,-0.2015288244310911
random_forest__residual_rank,random_forest__residual_rank,random_forest,residual_rank,all_features,model,development,25,1.1259760281626736,1.3750629026762389,1.8521756388496362,1.3943213267205787,0.7605334964072478,-0.8075441482423217,0.5461361014994233,0.10046136101499423,1.0,0.4355,5.2520184544405994,0.9392628232747167,-0.34041253173615116
random_forest__residual_rank,random_forest__residual_rank,random_forest,residual_rank,all_features,model,holdout,25,-0.21125881010394176,-0.16817963667039687,-0.2320262329367238,-0.3879137187077489,0.5407655200139801,-0.5446025750460826,0.5009345794392523,0.029906542056074768,1.0,0.04,5.007476635514019,0.2748536761831146,-0.2639006149524843
gradient_boosting__residual_rank,gradient_boosting__residual_rank,gradient_boosting,residual_rank,all_features,model,development,25,0.8470336839966972,1.184817819685936,1.5904583574031086,1.0050717011525172,0.7732792339477347,-0.8427594598727657,0.5426758938869666,0.12422145328719723,1.0,0.5385,5.3898500576701265,0.7057452224452614,-0.3366853349052925
gradient_boosting__residual_rank,gradient_boosting__residual_rank,gradient_boosting,residual_rank,all_features,model,holdout,25,-0.19958850225621172,-0.14946802135630236,-0.20525830548267643,-0.3554382082517862,0.5340071529034176,-0.5615279888954052,0.5046728971962616,0.044859813084112146,1.0,0.06,5.018691588785047,0.2945033703676685,-0.2639006149524843
boosted_tree__residual_rank,boosted_tree__residual_rank,boosted_tree,residual_rank,all_features,model,development,25,0.8405228145816932,1.1930086104365405,1.5880221129023384,1.0355089404634448,0.7498904191256976,-0.811700200488385,0.5438292964244521,0.10761245674740486,1.0,0.4665,5.286620530565167,0.7016574871565413,-0.3158811849792146
boosted_tree__residual_rank,boosted_tree__residual_rank,boosted_tree,residual_rank,all_features,model,holdout,25,-0.18964228295918928,-0.12917902294568015,-0.17987829949422757,-0.3319462501809795,0.5319997547322647,-0.5713041881202,0.49906542056074765,0.03514018691588785,1.0,0.047,5.005607476635514,0.2833401922421046,-0.2568427832660255
ensemble__residual_rank,ensemble__residual_rank,ensemble,residual_rank,all_features,model,development,25,0.6347241024162396,1.0440814983768991,1.376796931437568,0.7763307861374992,0.7252141846269805,-0.8175949141141247,0.5432525951557093,0.09284890426758939,1.0,0.4025,5.217416378316032,0.6417885377753263,-0.32060552354300187
ensemble__residual_rank,ensemble__residual_rank,ensemble,residual_rank,all_features,model,holdout,25,-0.13963960525492003,-0.040527534879146,-0.054689191412527864,-0.2596340970845506,0.5090640744025471,-0.5378323063994402,0.5177570093457944,0.03214953271028037,1.0,0.043,5.022429906542056,0.2847348384238855,-0.21628356325014497
elastic_net__risk_adjusted_rank,elastic_net__risk_adjusted_rank,elastic_net,risk_adjusted_rank,all_features,model,development,25,0.3983875489142059,0.8287581879313687,1.069580726638235,0.47158132947139175,0.7496233210394975,-0.8447907582786818,0.5397923875432526,0.10069204152249137,1.0,0.43650000000000005,5.291810841983852,0.6881193174590008,-0.30779510523796216
elastic_net__risk_adjusted_rank,elastic_net__risk_adjusted_rank,elastic_net,risk_adjusted_rank,all_features,model,holdout,25,-0.21655032964065923,-0.24584358098076348,-0.332230796592878,-0.4303325004627335,0.4939919554145643,-0.503216302296025,0.5121495327102804,0.002990654205607477,1.0,0.004,5.0,0.2526740601859394,-0.2577376925939113
random_forest__risk_adjusted_rank,random_forest__risk_adjusted_rank,random_forest,risk_adjusted_rank,all_features,model,development,25,0.9070881799807056,1.214075789668057,1.6331413885173576,1.0744823549055065,0.793908682333106,-0.8442094705784888,0.5409457900807382,0.12099192618223761,1.0,0.5245000000000001,5.377739331026528,0.8294749031547906,-0.3287491388002821
random_forest__risk_adjusted_rank,random_forest__risk_adjusted_rank,random_forest,risk_adjusted_rank,all_features,model,holdout,25,-0.2731163090754465,-0.3638325511174202,-0.4920616132281845,-0.5037056998028836,0.5131040520051144,-0.5422140531312745,0.5009345794392523,0.035140186915887855,1.0,0.047,5.011214953271028,0.2526740601859394,-0.27290501139943746
gradient_boosting__risk_adjusted_rank,gradient_boosting__risk_adjusted_rank,gradient_boosting,risk_adjusted_rank,all_features,model,development,25,0.5446112994484498,0.94739850333425,1.251966708526788,0.6047102478502848,0.8185858384001313,-0.9006152969699391,0.5299884659746251,0.14659746251441752,1.0,0.6355000000000002,5.4988465974625145,0.8301585763550501,-0.34948410032162935
gradient_boosting__risk_adjusted_rank,gradient_boosting__risk_adjusted_rank,gradient_boosting,risk_adjusted_rank,all_features,model,holdout,25,-0.38303958190764975,-0.6506426532847307,-0.8920155244410645,-0.6208112476800143,0.5271041231391511,-0.6169984570013468,0.491588785046729,0.06654205607476638,1.0,0.08900000000000001,5.095327102803738,0.22215876757610964,-0.2326153516295254
boosted_tree__risk_adjusted_rank,boosted_tree__risk_adjusted_rank,boosted_tree,risk_adjusted_rank,all_features,model,development,25,0.5710077271764382,0.967667021911306,1.2846462951036839,0.6728161511591103,0.8131524611609973,-0.8486831450058397,0.5357554786620531,0.13021914648212227,1.0,0.5645,5.421568627450981,0.5866351904035778,-0.33769820134589734
boosted_tree__risk_adjusted_rank,boosted_tree__risk_adjusted_rank,boosted_tree,risk_adjusted_rank,all_features,model,holdout,25,-0.22623813388363223,-0.25627743924503116,-0.3519571739415889,-0.3987353413135957,0.503847534981579,-0.5673892189699368,0.5065420560747663,0.04485981308411215,1.0,0.060000000000000005,5.050467289719626,0.2526740601859394,-0.2019946977391659
ensemble__risk_adjusted_rank,ensemble__risk_adjusted_rank,ensemble,risk_adjusted_rank,all_features,model,development,25,0.2519560044385951,0.6832611841276512,0.898984264720989,0.28671428331046445,0.7784806024946708,-0.8787703267847601,0.5213379469434832,0.11314878892733565,1.0,0.49050000000000005,5.3166089965397925,0.6199278363176355,-0.31025795854384675
ensemble__risk_adjusted_rank,ensemble__risk_adjusted_rank,ensemble,risk_adjusted_rank,all_features,model,holdout,25,-0.22182024396887956,-0.2382178230553575,-0.3225216122733825,-0.42500173301857297,0.5081286047896091,-0.5219278575487263,0.5177570093457944,0.03514018691588785,1.0,0.047,5.0336448598130845,0.23770735199242243,-0.20239508732924227
logistic__top_quintile,logistic__top_quintile,logistic,top_quintile,all_features,model,development,25,0.0022306218001910683,0.48984751267763293,0.6631433095216303,0.002280538338310127,0.9503992257301533,-0.9781119495864092,0.5167243367935409,0.12583621683967705,1.0,0.5455000000000001,5.331603229527105,0.5978027649740989,-0.7018764602528473
