refit_date,split,candidate,feature,importance
2020-04-01,development,elastic_net__residual_rank,log_dollar_volume_30,0.0
2020-04-01,development,elastic_net__residual_rank,volume_growth_7_30,0.0011246428011915
2020-04-01,development,elastic_net__residual_rank,amihud_illiquidity_30,0.0062192193091129
2020-04-01,development,elastic_net__residual_rank,market_btc_trend_30,0.0
2020-04-01,development,elastic_net__residual_rank,market_eth_trend_30,0.0
2020-04-01,development,elastic_net__residual_rank,market_breadth_30,0.0
2020-04-01,development,elastic_net__residual_rank,market_dispersion_7,0.0
2020-04-01,development,elastic_net__residual_rank,market_average_correlation_30,0.0
2020-04-01,development,elastic_net__residual_rank,market_realized_volatility_30,0.0
2020-04-01,development,elastic_net__residual_rank,market_drawdown,0.0022833938935457
2020-04-01,development,elastic_net__residual_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,elastic_net__residual_rank,funding_rate,0.0055249463644912
2020-04-01,development,elastic_net__residual_rank,funding_rate_abs,0.0
2020-04-01,development,elastic_net__residual_rank,funding_rate_change_7,0.0019260451247882
2020-04-01,development,elastic_net__residual_rank,funding_coverage_flag,0.0
2020-04-01,development,random_forest__residual_rank,momentum_7,0.0293543923560782
2020-04-01,development,random_forest__residual_rank,momentum_14,0.0625222580390766
2020-04-01,development,random_forest__residual_rank,momentum_30,0.0128756218554362
2020-04-01,development,random_forest__residual_rank,momentum_90,0.0454688356783684
2020-04-01,development,random_forest__residual_rank,momentum_30_ex_7,0.0219685326955125
2020-04-01,development,random_forest__residual_rank,momentum_90_ex_7,0.0587801538750453
2020-04-01,development,random_forest__residual_rank,realized_volatility_30,0.1517481007853392
2020-04-01,development,random_forest__residual_rank,downside_volatility_30,0.0226011834261775
2020-04-01,development,random_forest__residual_rank,max_drawdown_90,0.0415468072900094
2020-04-01,development,random_forest__residual_rank,volatility_adjusted_momentum,0.0215763996898194
2020-04-01,development,random_forest__residual_rank,distance_ma_20,0.0479288948061384
2020-04-01,development,random_forest__residual_rank,distance_ma_100,0.0234092866703307
2020-04-01,development,random_forest__residual_rank,breakout_strength_20,0.0398529579058869
2020-04-01,development,random_forest__residual_rank,reversal_7,0.0270466879787647
2020-04-01,development,random_forest__residual_rank,asset_age_days,0.0618810310787497
2020-04-01,development,random_forest__residual_rank,recent_listing_flag,0.0
2020-04-01,development,random_forest__residual_rank,log_dollar_volume_30,0.0413002555003442
2020-04-01,development,random_forest__residual_rank,volume_growth_7_30,0.0413046413044567
2020-04-01,development,random_forest__residual_rank,amihud_illiquidity_30,0.038843228265888
2020-04-01,development,random_forest__residual_rank,market_btc_trend_30,0.060187385056424
2020-04-01,development,random_forest__residual_rank,market_eth_trend_30,0.0123883361195214
2020-04-01,development,random_forest__residual_rank,market_breadth_30,0.0073639259569146
2020-04-01,development,random_forest__residual_rank,market_dispersion_7,0.0444511537823293
2020-04-01,development,random_forest__residual_rank,market_average_correlation_30,0.0058008756209902
2020-04-01,development,random_forest__residual_rank,market_realized_volatility_30,0.0450279296324391
2020-04-01,development,random_forest__residual_rank,market_drawdown,0.027061240869574
2020-04-01,development,random_forest__residual_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,random_forest__residual_rank,funding_rate,0.0010598351044794
2020-04-01,development,random_forest__residual_rank,funding_rate_abs,0.0007097857190427
2020-04-01,development,random_forest__residual_rank,funding_rate_change_7,0.0059402629368617
2020-04-01,development,random_forest__residual_rank,funding_coverage_flag,0.0
2020-04-01,development,gradient_boosting__residual_rank,momentum_7,0.0390799646123205
2020-04-01,development,gradient_boosting__residual_rank,momentum_14,0.082044075238918
2020-04-01,development,gradient_boosting__residual_rank,momentum_30,0.0217624590611676
2020-04-01,development,gradient_boosting__residual_rank,momentum_90,0.0232494454756399
2020-04-01,development,gradient_boosting__residual_rank,momentum_30_ex_7,0.0938205225014516
2020-04-01,development,gradient_boosting__residual_rank,momentum_90_ex_7,0.0660870931961031
2020-04-01,development,gradient_boosting__residual_rank,realized_volatility_30,0.1594253355453447
2020-04-01,development,gradient_boosting__residual_rank,downside_volatility_30,0.0363806533158569
2020-04-01,development,gradient_boosting__residual_rank,max_drawdown_90,0.015254430609468
2020-04-01,development,gradient_boosting__residual_rank,volatility_adjusted_momentum,0.0210877749274218
2020-04-01,development,gradient_boosting__residual_rank,distance_ma_20,0.0504043638663958
2020-04-01,development,gradient_boosting__residual_rank,distance_ma_100,0.1665529439325855
2020-04-01,development,gradient_boosting__residual_rank,breakout_strength_20,0.0162341020735982
2020-04-01,development,gradient_boosting__residual_rank,reversal_7,0.0056169489332703
2020-04-01,development,gradient_boosting__residual_rank,asset_age_days,0.032593058781734
2020-04-01,development,gradient_boosting__residual_rank,recent_listing_flag,0.0
2020-04-01,development,gradient_boosting__residual_rank,log_dollar_volume_30,0.0213687589439906
2020-04-01,development,gradient_boosting__residual_rank,volume_growth_7_30,0.0197748318912326
2020-04-01,development,gradient_boosting__residual_rank,amihud_illiquidity_30,0.0073131803236973
2020-04-01,development,gradient_boosting__residual_rank,market_btc_trend_30,0.0582548265215238
2020-04-01,development,gradient_boosting__residual_rank,market_eth_trend_30,0.0
2020-04-01,development,gradient_boosting__residual_rank,market_breadth_30,0.0
2020-04-01,development,gradient_boosting__residual_rank,market_dispersion_7,0.0390314792431233
2020-04-01,development,gradient_boosting__residual_rank,market_average_correlation_30,0.0
2020-04-01,development,gradient_boosting__residual_rank,market_realized_volatility_30,0.0124168882851797
2020-04-01,development,gradient_boosting__residual_rank,market_drawdown,0.0
2020-04-01,development,gradient_boosting__residual_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,gradient_boosting__residual_rank,funding_rate,0.0
2020-04-01,development,gradient_boosting__residual_rank,funding_rate_abs,0.0
2020-04-01,development,gradient_boosting__residual_rank,funding_rate_change_7,0.0122468627199759
2020-04-01,development,gradient_boosting__residual_rank,funding_coverage_flag,0.0
2020-04-01,development,boosted_tree__residual_rank,momentum_7,0.0255144108086824
2020-04-01,development,boosted_tree__residual_rank,momentum_14,0.0332245528697967
2020-04-01,development,boosted_tree__residual_rank,momentum_30,0.0362410061061382
2020-04-01,development,boosted_tree__residual_rank,momentum_90,0.0360518842935562
2020-04-01,development,boosted_tree__residual_rank,momentum_30_ex_7,0.0312541387975215
2020-04-01,development,boosted_tree__residual_rank,momentum_90_ex_7,0.0353637970983982
2020-04-01,development,boosted_tree__residual_rank,realized_volatility_30,0.0352145805954933
2020-04-01,development,boosted_tree__residual_rank,downside_volatility_30,0.0300990771502256
2020-04-01,development,boosted_tree__residual_rank,max_drawdown_90,0.0343499220907688
2020-04-01,development,boosted_tree__residual_rank,volatility_adjusted_momentum,0.0384461283683776
2020-04-01,development,boosted_tree__residual_rank,distance_ma_20,0.0435997657477855
2020-04-01,development,boosted_tree__residual_rank,distance_ma_100,0.0456861443817615
2020-04-01,development,boosted_tree__residual_rank,breakout_strength_20,0.0382292494177818
2020-04-01,development,boosted_tree__residual_rank,reversal_7,0.0396739058196544
2020-04-01,development,boosted_tree__residual_rank,asset_age_days,0.0327700302004814
2020-04-01,development,boosted_tree__residual_rank,recent_listing_flag,0.0
2020-04-01,development,boosted_tree__residual_rank,log_dollar_volume_30,0.0366361774504184
2020-04-01,development,boosted_tree__residual_rank,volume_growth_7_30,0.0351553782820701
2020-04-01,development,boosted_tree__residual_rank,amihud_illiquidity_30,0.0358555167913436
2020-04-01,development,boosted_tree__residual_rank,market_btc_trend_30,0.0559195950627327
2020-04-01,development,boosted_tree__residual_rank,market_eth_trend_30,0.0322251096367836
2020-04-01,development,boosted_tree__residual_rank,market_breadth_30,0.0281273704022169
2020-04-01,development,boosted_tree__residual_rank,market_dispersion_7,0.0436371229588985
2020-04-01,development,boosted_tree__residual_rank,market_average_correlation_30,0.0372631065547466
2020-04-01,development,boosted_tree__residual_rank,market_realized_volatility_30,0.0454231612384319
2020-04-01,development,boosted_tree__residual_rank,market_drawdown,0.0371833592653274
2020-04-01,development,boosted_tree__residual_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,boosted_tree__residual_rank,funding_rate,0.0176477152854204
2020-04-01,development,boosted_tree__residual_rank,funding_rate_abs,0.0291929244995117
2020-04-01,development,boosted_tree__residual_rank,funding_rate_change_7,0.0300149172544479
2020-04-01,development,boosted_tree__residual_rank,funding_coverage_flag,0.0
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_7,0.0084436045362487
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_14,0.0041516204544767
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_30,0.0114042958085789
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_90,0.0073440376239392
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_30_ex_7,0.0212615379749632
2020-04-01,development,elastic_net__risk_adjusted_rank,momentum_90_ex_7,0.0120541859854349
2020-04-01,development,elastic_net__risk_adjusted_rank,realized_volatility_30,0.0487151634655598
2020-04-01,development,elastic_net__risk_adjusted_rank,downside_volatility_30,0.0521745050033136
2020-04-01,development,elastic_net__risk_adjusted_rank,max_drawdown_90,0.0036271695419985
2020-04-01,development,elastic_net__risk_adjusted_rank,volatility_adjusted_momentum,0.0056805830909549
2020-04-01,development,elastic_net__risk_adjusted_rank,distance_ma_20,0.0164910781891479
2020-04-01,development,elastic_net__risk_adjusted_rank,distance_ma_100,0.0595234400994399
2020-04-01,development,elastic_net__risk_adjusted_rank,breakout_strength_20,0.0208782851507725
2020-04-01,development,elastic_net__risk_adjusted_rank,reversal_7,0.0099836173665117
2020-04-01,development,elastic_net__risk_adjusted_rank,asset_age_days,0.0226649564778476
2020-04-01,development,elastic_net__risk_adjusted_rank,recent_listing_flag,0.0072368209923493
2020-04-01,development,elastic_net__risk_adjusted_rank,log_dollar_volume_30,0.0
2020-04-01,development,elastic_net__risk_adjusted_rank,volume_growth_7_30,0.0120157505994491
2020-04-01,development,elastic_net__risk_adjusted_rank,amihud_illiquidity_30,0.0084742673127539
2020-04-01,development,elastic_net__risk_adjusted_rank,market_btc_trend_30,0.0068821812322278
2020-04-01,development,elastic_net__risk_adjusted_rank,market_eth_trend_30,0.0086301400354784
2020-04-01,development,elastic_net__risk_adjusted_rank,market_breadth_30,0.0143019331222529
2020-04-01,development,elastic_net__risk_adjusted_rank,market_dispersion_7,0.0034051864404728
2020-04-01,development,elastic_net__risk_adjusted_rank,market_average_correlation_30,0.0026640668289885
2020-04-01,development,elastic_net__risk_adjusted_rank,market_realized_volatility_30,0.0059879580223652
2020-04-01,development,elastic_net__risk_adjusted_rank,market_drawdown,0.0199841384053438
2020-04-01,development,elastic_net__risk_adjusted_rank,market_volatility_expansion_probability,0.0
2020-04-01,development,elastic_net__risk_adjusted_rank,funding_rate,0.0134032286142123
2020-04-01,development,elastic_net__risk_adjusted_rank,funding_rate_abs,0.0107354158199328
2020-04-01,development,elastic_net__risk_adjusted_rank,funding_rate_change_7,0.0086303482077252
2020-04-01,development,elastic_net__risk_adjusted_rank,funding_coverage_flag,0.0119455188786232
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_7,0.0158901327723921
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_14,0.0410571488122697
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_30,0.0171458385111092
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_90,0.0683769881646286
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_30_ex_7,0.0609320240655297
2020-04-01,development,random_forest__risk_adjusted_rank,momentum_90_ex_7,0.1140411351661507
2020-04-01,development,random_forest__risk_adjusted_rank,realized_volatility_30,0.0957290690454636
2020-04-01,development,random_forest__risk_adjusted_rank,downside_volatility_30,0.0437305343385635
2020-04-01,development,random_forest__risk_adjusted_rank,max_drawdown_90,0.0467176764795588
2020-04-01,development,random_forest__risk_adjusted_rank,volatility_adjusted_momentum,0.0335191871413774
