name,family,benchmark_group,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,25,False,0.4683860804451503,0.9748578450886479,1.2286341718181992,0.6572459186760233,0.5499915413530776,-0.7126496599456742,0.43946188340807174,0.013452914798206279,0.7488789237668162,0.0675,0.2511210762331838,4.910313901345291,-0.4105176007687238,0.5171626168136121,1.6791230692575985
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,25,False,-0.12894175144546094,-0.09472356210495977,-0.12434765317741114,-0.2887975906883097,0.44043049916687677,-0.44647793334475494,0.4144981412639405,0.020910780669144983,0.6789033457249071,0.028124999999999997,0.32109665427509293,7.632434944237919,-0.19839173388641196,0.25013806817888184,1.6356877323420074
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,50,False,0.45037313560165426,0.9523076001374501,1.2010227534565696,0.630692377677506,0.5501245437834029,-0.7140931958939023,0.4389636273044345,0.013452914798206279,0.7488789237668162,0.135,0.2511210762331838,4.910313901345291,-0.4105176007687238,0.5171626168136121,1.6791230692575985
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,50,False,-0.14548771989208265,-0.1379830854193683,-0.1816760147966587,-0.3209010799090859,0.44063540771362214,-0.4533724845466416,0.41263940520446096,0.020910780669144983,0.6789033457249071,0.056249999999999994,0.32109665427509293,7.632434944237919,-0.19839173388641196,0.2469953042575399,1.6356877323420074
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,development,100,False,0.4149192481614059,0.9070598153034758,1.145556637111678,0.5787159366865703,0.5504997643328432,-0.7169653051841289,0.43746885899352267,0.013452914798206279,0.7488789237668162,0.27,0.2511210762331838,4.910313901345291,-0.4105176007687238,0.5171626168136121,1.6791230692575985
pure_trend_scanning_biweekly,Long BTC/ETH when the trend-scanning model predicts an upward BTC/ETH trend; cash otherwise.,pure_trend_scanning,holdout,100,False,-0.17772435810878395,-0.22427221365181693,-0.2969422462611875,-0.38061468884481847,0.4412602266287688,-0.46694035547651835,0.40892193308550184,0.020910780669144983,0.6789033457249071,0.11249999999999999,0.32109665427509293,7.632434944237919,-0.19839173388641196,0.24071868065112656,1.6356877323420074
trend_scanning_meta_model_weekly,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",trend_scanning_meta_model,development,10,False,0.6212091335371854,1.2140236082976543,1.5412093117012609,1.0078596457933244,0.5014161643931039,-0.6163647251182561,0.3966118584952666,0.0229197807673144,0.6765072247135028,0.046,0.3234927752864972,8.365719980069755,-0.28054595257220794,0.5171626168136121,1.5117090184354758
trend_scanning_meta_model_weekly,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",trend_scanning_meta_model,holdout,10,False,-0.02720629301480526,0.12504319800090252,0.1540399399766492,-0.06732560272166888,0.3942180659895594,-0.40410025183553033,0.34572490706319703,0.03717472118959108,0.5599442379182156,0.02,0.44005576208178443,13.568773234200744,-0.18191866850553196,0.2811017817731227,1.3605947955390334
trend_scanning_meta_model_weekly,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",trend_scanning_meta_model,development,25,False,0.6009985337950794,1.1889514374610195,1.5114521926860731,0.970306803371932,0.5014355190640217,-0.6193902090622654,0.39561534628799205,0.0229197807673144,0.6765072247135028,0.11500000000000002,0.3234927752864972,8.365719980069755,-0.28165217164849765,0.5171626168136121,1.5117090184354758
trend_scanning_meta_model_weekly,"Primary trend model proposes trades; meta-model decides take, reduce, or skip.",trend_scanning_meta_model,holdout,25,False,-0.046846277983602524,0.07339788245895032,0.09066051145390407,-0.11347736242056665,0.3943046701102087,-0.4128248752379541,0.34386617100371747,0.03717472118959108,0.5599442379182156,0.05,0.44005576208178443,13.568773234200744,-0.18322116801987665,0.279658536584944,1.3605947955390334
