config,target,split,bin,observations,mean_probability,event_rate
eth_vs_btc_relative_trend__t1_0__random_forest,eth_vs_btc_relative_trend,holdout,10,8,0.618611786510358,0.625
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,1,29,0.07947951766526831,0.6206896551724138
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,2,29,0.2051036362839661,0.3448275862068966
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,3,28,0.30365485329576225,0.5357142857142857
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,4,29,0.38374432440883566,0.4827586206896552
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,5,29,0.4457983648226172,0.4827586206896552
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,6,28,0.5143550157280748,0.4642857142857143
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,7,29,0.5759253677918149,0.6206896551724138
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,8,28,0.6510215760468995,0.7142857142857143
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,9,29,0.7375884461189979,0.5517241379310345
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,development_cpcv,10,29,0.8561328327725424,0.6206896551724138
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,1,8,0.23640999357792286,0.375
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,2,8,0.36295223876056626,0.125
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,3,7,0.4446122346933484,0.2857142857142857
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,4,8,0.5033466856606377,0.125
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,5,7,0.5544681145322997,0.5714285714285714
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,6,8,0.6069501287505519,0.125
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,7,7,0.6568356078182476,0.14285714285714285
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,8,8,0.7117924780310286,0.625
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,9,7,0.7892722096581098,0.5714285714285714
top20_upward_trend__t1_0__elastic_net_logistic,top20_upward_trend,holdout,10,8,0.8716941269252922,0.75
