candidate,family,fold,test_groups,fold_sharpe
relative_btc_eth_trend_weekly,relative_btc_eth_trend,6,"1,3",1.4021824429202077
relative_btc_eth_trend_weekly,relative_btc_eth_trend,7,"1,4",2.433571807810033
relative_btc_eth_trend_weekly,relative_btc_eth_trend,8,"1,5",2.3901826846841834
relative_btc_eth_trend_weekly,relative_btc_eth_trend,9,"2,3",-0.08986778119763675
relative_btc_eth_trend_weekly,relative_btc_eth_trend,10,"2,4",0.8348820159197611
relative_btc_eth_trend_weekly,relative_btc_eth_trend,11,"2,5",0.8163718026856919
relative_btc_eth_trend_weekly,relative_btc_eth_trend,12,"3,4",0.13445497742994433
relative_btc_eth_trend_weekly,relative_btc_eth_trend,13,"3,5",0.12969703969026655
relative_btc_eth_trend_weekly,relative_btc_eth_trend,14,"4,5",1.3275918588583047
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,0,"0,1",1.7531101145923464
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,1,"0,2",0.3542937491284204
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,2,"0,3",-0.39702211036898755
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,3,"0,4",0.5469482630013158
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,4,"0,5",0.5899590035753062
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,5,"1,2",1.995724372649999
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,6,"1,3",1.366555010184928
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,7,"1,4",2.4136942360991167
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,8,"1,5",2.4308977981002937
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,9,"2,3",-0.09706090108013697
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,10,"2,4",0.8582896620547258
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,11,"2,5",0.8955642516472875
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,12,"3,4",0.017285060259904894
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,13,"3,5",0.07231762093485329
relative_btc_eth_trend_biweekly,relative_btc_eth_trend,14,"4,5",1.287247671203278
