date,chosen_action,q_cash,q_btc,q_eth,q_btc_eth_50_50
2022-08-12,eth,-0.015090054107562728,0.012275538791988852,0.02283890228000876,0.018088899413380682
2022-08-26,eth,0.01454534813811581,0.041910941037667376,0.052474304525687285,0.04772430165905921
2022-09-09,eth,-0.026767101477247368,0.0005984914223041704,0.011161854910324079,0.006411852043696001
2022-09-23,eth,0.0588653381961556,0.08623093109570716,0.09679429458372707,0.09204429171709899
2022-10-07,eth,0.09089903886132078,0.11826463176087236,0.12882799524889227,0.12407799238226419
2022-10-21,eth,0.05033992467687944,0.07770551757643102,0.08826888106445092,0.08351887819782285
2022-11-04,eth,0.022082804513425952,0.04944839741297752,0.06001176090099744,0.05526175803436936
2022-11-18,eth,0.05891664204673642,0.08628223494628799,0.0968455984343079,0.09209559556767982
2022-12-02,eth,0.06850063460015553,0.09586622749970708,0.106429590987727,0.10167958812109892
2022-12-16,eth,0.0366265809954258,0.06399217389497738,0.0745555373829973,0.06980553451636923
2022-12-30,eth,0.055648859321251624,0.0830144522208032,0.0935778157088231,0.08882781284219503
2023-01-13,eth,0.054278719552398845,0.0816443124519504,0.09220767593997033,0.08745767307334225
2023-01-27,eth,0.08281368496837989,0.11017927786793145,0.12074264135595136,0.11599263848932329
2023-02-10,eth,0.15992318587473858,0.18728877877429015,0.19785214226231007,0.193102139395682
2023-02-24,eth,0.1809214986884204,0.20828709158797198,0.21885045507599188,0.2141004522093638
2023-03-10,eth,0.10079243145156366,0.12815802435111523,0.13872138783913515,0.13397138497250707
2023-03-24,eth,0.14214151237209574,0.1695071052716473,0.1800704687596672,0.17532046589303912
2023-04-07,eth,0.13437824273542526,0.16174383563497682,0.17230719912299675,0.16755719625636867
2023-04-21,eth,0.05693349456121688,0.08429908746076845,0.09486245094878835,0.09011244808216028
2023-05-05,eth,0.0992533986561744,0.12661899155572598,0.13718235504374587,0.1324323521771178
2023-05-19,eth,0.05710144687909887,0.08446703977865043,0.09503040326667035,0.09028040040004227
2023-06-02,eth,0.05638394570097303,0.08374953860052459,0.09431290208854451,0.08956289922191643
2023-06-16,eth,0.05151194045724928,0.07887753335680084,0.08944089684482076,0.08469089397819268
2023-06-30,eth,0.07048383576029973,0.0978494286598513,0.10841279214787121,0.10366278928124313
2023-07-14,eth,0.06595191077586773,0.0933175036754193,0.10388086716343922,0.09913086429681114
2023-07-28,eth,0.02541707314393117,0.05278266604348274,0.06334602953150266,0.05859602666487458
2023-08-11,eth,0.048181019941667326,0.07554661284121889,0.08610997632923881,0.08135997346261073
2023-08-25,eth,0.053248543077500564,0.08061413597705214,0.09117749946507205,0.08642749659844397
2023-09-08,eth,0.07348461342808799,0.10085020632763955,0.11141356981565947,0.1066635669490314
2023-09-22,eth,0.07828355752222307,0.10564915042177464,0.11621251390979455,0.11146251104316647
2023-10-06,eth,0.09378474307923763,0.12115033597878921,0.1317136994668091,0.12696369660018103
2023-10-20,eth,0.09565455474284673,0.1230201476423983,0.13358351113041822,0.12883350826379014
2023-11-03,eth,0.1474661731269854,0.174831766026537,0.1853951295145569,0.1806451266479288
2023-11-17,eth,0.06720113737787184,0.0945667302774234,0.10513009376544331,0.10038009089881524
2023-12-01,eth,0.09022063008228715,0.11758622298183871,0.12814958646985863,0.12339958360323054
2023-12-15,eth,0.14987294236805118,0.17723853526760275,0.18780189875562264,0.18305189588899456
2023-12-29,eth,0.08879330216176157,0.11615889506131313,0.12672225854933306,0.12197225568270496
2024-01-12,eth,0.0930752452583249,0.12044083815787647,0.13100420164589638,0.1262541987792683
2024-01-26,eth,0.03247230071917069,0.05983789361872225,0.07040125710674217,0.06565125424011409
2024-02-09,eth,0.10157565132452409,0.12894124422407566,0.13950460771209558,0.1347546048454675
2024-02-23,eth,0.1100332589038815,0.13739885180343306,0.14796221529145298,0.1432122124248249
2024-03-08,eth,0.09577059858809123,0.1231361914876428,0.13369955497566272,0.12894955210903464
2024-03-22,eth,0.06393201474440043,0.09129760764395199,0.10186097113197191,0.09711096826534384
2024-04-05,eth,0.12044796660637541,0.14781355950592698,0.1583769229939469,0.15362692012731882
2024-04-19,eth,0.16113042121547183,0.1884960141150234,0.19905937760304332,0.19430937473641524
2024-05-03,eth,0.09520206120601186,0.12256765410556343,0.13313101759358334,0.12838101472695526
2024-05-17,eth,0.10254311102677968,0.12990870392633125,0.14047206741435117,0.1357220645477231
2024-05-31,eth,0.03852246493781766,0.06588805783736923,0.07645142132538915,0.07170141845876107
2024-06-14,eth,0.02463503861920356,0.052000631518755135,0.06256399500677506,0.05781399214014698
2024-06-28,eth,-0.012782989704577627,0.014582603194973953,0.02514596668299386,0.020395963816365784
2024-07-12,eth,0.008367605100586664,0.03573319800013823,0.04629656148815814,0.04154655862153006
2024-07-26,eth,0.07798892796052687,0.10535452086007843,0.11591788434809835,0.11116788148147028
2024-08-09,eth,0.0974543158980349,0.12481990879758646,0.13538327228560637,0.1306332694189783
2024-08-23,eth,0.10270460877385501,0.13007020167340658,0.1406335651614265,0.13588356229479842
2024-09-06,eth,0.08247760421998154,0.10984319711953311,0.12040656060755303,0.11565655774092495
2024-09-20,eth,0.10738515401128752,0.13475074691083908,0.145314110398859,0.14056410753223092
2024-10-04,eth,0.09633842956841035,0.12370402246796192,0.13426738595598184,0.12951738308935376
2024-10-18,eth,0.06059874921236526,0.08796434211191682,0.09852770559993675,0.09377770273330867
2024-11-01,eth,0.09813152232774529,0.12549711522729684,0.13606047871531676,0.13131047584868868
2024-11-15,eth,0.11611631923756001,0.1434819121371116,0.1540452756251315,0.14929527275850343
2024-11-29,eth,0.05443788782264781,0.08180348072219938,0.09236684421021929,0.08761684134359121
2024-12-13,eth,-0.02130121620797812,0.006064376691573434,0.016627740179593342,0.011877737312965264
2024-12-27,eth,0.06596690306520447,0.09333249596475605,0.10389585945277596,0.09914585658614788
2025-01-10,eth,0.13319317439178088,0.16055876729133245,0.17112213077935234,0.1663721279127243
