strategy,family,group,split,start,end,cost_bps,basis,dataset,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,drawdown_start,drawdown_trough,drawdown_recovery,drawdown_depth
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,10,net_after_costs,top10,0.19233464107009257,0.6070507410316696,0.5887359972796183,0.2527285278471802,0.5707465863632847,-0.7610325700405038,0.32037867463876435,0.030642750373692077,0.47085201793721976,0.0615,0.5291479820627802,11.184603886397607,-0.47835960577504966,0.5527426160337554,0.617339312406577,118,2021-12-08,2022-07-12,,-0.7610325700405038
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,10,net_after_costs,top10,0.3424020630224798,0.9871899325561513,1.3292377060871,1.3304246169937726,0.3614873599452999,-0.25736299422673903,0.2211895910780669,0.027881040892193308,0.2894981412639405,0.015,0.7105018587360594,10.176579925650557,-0.09237166417280795,0.4120126980054446,0.4423791821561338,30,2025-01-25,2025-04-08,2025-05-08,-0.25736299422673903
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,25,net_after_costs,top10,0.21615286266445843,0.6458730905870721,0.6167282307743767,0.2828030538056502,0.5208092055893061,-0.7643229440266386,0.28602860286028603,0.03006967363403007,0.4132746607994133,0.20500000000000002,0.5867253392005867,10.975430876420974,-0.47912226491431265,0.5527426160337554,0.557022368903557,158,2021-12-08,2022-07-12,,-0.7643229440266386
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,25,net_after_costs,top10,0.1725464490727988,0.5777302803631132,0.5615069959952096,0.225750712341281,0.5706732770806343,-0.764322944026639,0.3188839063278525,0.030642750373692077,0.47085201793721976,0.15375,0.5291479820627802,11.184603886397607,-0.47912226491431265,0.5527426160337554,0.617339312406577,118,2021-12-08,2022-07-12,,-0.764322944026639
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,25,net_after_costs,top10,0.32205488686043315,0.9448508279368012,1.2748736538519585,1.2391848972759163,0.3615298865131272,-0.25989252093727266,0.2211895910780669,0.027881040892193308,0.2894981412639405,0.037500000000000006,0.7105018587360594,10.176579925650557,-0.09445471810747597,0.4098613597886003,0.4423791821561338,30,2025-01-25,2025-04-08,2025-05-08,-0.25989252093727266
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,50,net_after_costs,top10,0.1832895708532163,0.5932838243356705,0.5679384908562755,0.23812727425285588,0.5207255976935556,-0.7697126313157641,0.2852951961862853,0.03006967363403007,0.4132746607994133,0.41000000000000003,0.5867253392005867,10.975430876420974,-0.48039212373550566,0.5527426160337554,0.557022368903557,158,2021-12-08,2022-07-12,,-0.7697126313157641
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,50,net_after_costs,top10,0.14025834339001442,0.5287990309345539,0.5152326196176327,0.18222169896088836,0.570601882749821,-0.7697126313157641,0.317887394120578,0.030642750373692077,0.47085201793721976,0.3075,0.5291479820627802,11.184603886397607,-0.48039212373550566,0.5527426160337554,0.617339312406577,118,2021-12-08,2022-07-12,,-0.7697126313157641
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,50,net_after_costs,top10,0.2887913937973594,0.8741384084575275,1.1827429674907493,1.0880911146975252,0.36167082892464003,-0.26541103947681766,0.2211895910780669,0.027881040892193308,0.2894981412639405,0.07500000000000001,0.7105018587360594,10.176579925650557,-0.09791939012440054,0.40627944040857233,0.4423791821561338,30,2025-01-23,2025-04-08,2025-05-08,-0.26541103947681766
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,100,net_after_costs,top10,0.12007659216967315,0.487862438833788,0.46940855576126295,0.15320443822108828,0.5207634353944652,-0.7837670603014217,0.2834616795012835,0.03006967363403007,0.4132746607994133,0.8200000000000001,0.5867253392005867,10.975430876420974,-0.48292719233697323,0.5527426160337554,0.557022368903557,158,2021-04-15,2022-07-12,,-0.7837670603014217
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,100,net_after_costs,top10,0.07820083840387615,0.43075593149888614,0.4215997145357816,0.0997756123787616,0.5706496074475643,-0.783767060301422,0.31639262580966615,0.030642750373692077,0.47085201793721976,0.615,0.5291479820627802,11.184603886397607,-0.48292719233697323,0.5527426160337554,0.617339312406577,118,2021-04-15,2022-07-12,,-0.783767060301422
eth_only_macro_gate,ETH-only macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,100,net_after_costs,top10,0.22463051770752385,0.7323480717901137,0.9935209073564004,0.8124807933999953,0.36221500864341816,-0.27647486504574537,0.21933085501858737,0.027881040892193308,0.2894981412639405,0.15000000000000002,0.7105018587360594,10.176579925650557,-0.10482220782263774,0.3991292678286824,0.4423791821561338,30,2025-01-23,2025-04-08,2025-05-08,-0.27647486504574537
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,0,gross_0bps,top10,0.2665522774941931,0.7686151375414113,0.6833023742523987,0.3641668696911849,0.4387478379880526,-0.7319509260143038,0.29409607627429407,0.03006967363403007,0.4132746607994133,0.0,0.5867253392005867,10.975430876420974,-0.4315296683649067,0.44949275810729517,1.114044737807114,158,2021-11-08,2022-11-21,,-0.7319509260143038
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,development,2019-07-05,2024-12-31,0,gross_0bps,top10,0.22559509379747444,0.675520040133422,0.6177414558901854,0.30821068159023796,0.4853188314614098,-0.7319509260143039,0.32536123567513703,0.030642750373692077,0.47085201793721976,0.0,0.5291479820627802,11.184603886397607,-0.4315296683649067,0.44949275810729517,1.234678624813154,118,2021-11-08,2022-11-21,,-0.7319509260143039
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,holdout,2025-01-01,2026-06-22,0,gross_0bps,top10,0.28293248521147074,1.0661186418952293,1.3568630970705124,1.585563450307555,0.26599737015038805,-0.17844286531490727,0.23048327137546468,0.027881040892193308,0.2894981412639405,0.0,0.7105018587360594,10.176579925650557,-0.05667645626887219,0.24768001831585984,0.8847583643122676,30,2025-01-25,2025-04-08,2025-05-08,-0.17844286531490727
btc_eth_50_50_macro_gate,50/50 BTC/ETH macro gate,asset_level_macro_decomposition,full_sample,2019-01-04,2026-06-22,10,net_after_costs,top10,0.25276685529115706,0.7437086535316648,0.6722969853842302,0.34363911814382714,0.4386836127500729,-0.7355590267385208,0.29336266960029334,0.03006967363403007,0.4132746607994133,0.08200000000000002,0.5867253392005867,10.975430876420974,-0.4320897947253527,0.44949275810729517,1.114044737807114,158,2021-11-08,2022-11-21,,-0.7355590267385208
