candidate,family,portfolio,mechanism,rebalance_days,development_score,cpcv_median_sharpe,cpcv_worst_fold_sharpe,cpcv_best_fold_sharpe,positive_fold_percentage,development_sharpe,development_cagr,development_max_drawdown,development_turnover,development_exposure,development_cash,drawdown_improvement_vs_frozen,exposure_score,turnover_score,simplicity_score,train_cpcv_sharpe_gap
eth_macro_trend_static_75_m3_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5495687089705759,0.6446302145865584,-0.5635899955076704,1.8337239468594673,0.5333333333333333,0.91044740759518,0.27379483981389563,-0.2906011645341242,4.809382536033856,0.22349082155029862,0.7765091784497014,0.4502828841907429,0.6131058366593753,1.0,0.7020000000000001,0.2658171930086215
btc_macro_trend_tipp_70_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5488126696297799,1.0046087378962605,-0.5736708093321905,1.8542491971022435,0.7333333333333333,0.9052523103706966,0.14738108946215922,-0.29861060693799923,4.173611880297445,0.10396050134937412,0.8960394986506259,0.4422734417868679,0.2816189876848086,1.0,0.6120000000000001,-0.09935642752556384
eth_macro_trend_static_80_m3_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5487758622008672,0.6446302145865584,-0.5240842276395988,1.7715024645789277,0.6,0.9032350337462022,0.2598181296414366,-0.29060116453412443,4.793547213248259,0.21196027454415248,0.7880397254558476,0.4502828841907427,0.5814739082414451,1.0,0.7020000000000001,0.25860481915964373
eth_macro_trend_static_85_m2_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5481730497866393,0.6446302145865584,-0.40162999926438264,1.6319643294350923,0.7333333333333333,0.8765727549835598,0.2210493943104619,-0.290601164534124,4.53458962288605,0.18298050137006824,0.8170194986299317,0.45028288419074314,0.5019732470740375,1.0,0.7020000000000001,0.23194254039700135
eth_macro_trend_static_85_m3_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.547767650232577,0.6446302145865584,-0.4757316764888737,1.706485577449419,0.7333333333333333,0.8908697362977391,0.2427636386079457,-0.29060116453412466,4.698630089449714,0.19770976261469062,0.8022902373853094,0.45028288419074247,0.5423802578681086,1.0,0.7020000000000001,0.2462395217111807
eth_macro_trend_dd_25_reduce_50_r14,Family B: ETH-only macro trend with drawdown control,eth,drawdown_brake,14,0.5475059219689167,0.7124457790019287,-0.7587260799883732,1.8492220482390356,0.5333333333333333,0.7870452647403663,0.22400917843026535,-0.3874527224178179,3.728201295465869,0.1970602889885401,0.8029397110114599,0.3534313263070492,0.5404414588466061,1.0,0.792,0.07459948573843755
btc_macro_trend_tipp_80_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5467189299129586,1.0834654482473134,-0.48834377217854624,2.084491986667787,0.7333333333333333,1.0310584104611695,0.06436955527703692,-0.1096006301403496,1.4588472886821284,0.04337026540614599,0.956629734593854,0.6312834185845175,0.1174858728148471,1.0,0.6120000000000001,-0.05240703778614386
eth_macro_trend_vol_30_r14,Family B: ETH-only macro trend with drawdown control,eth,vol_target,14,0.5447535583380572,0.5786088255300567,-0.1242325178779106,2.165023340951445,0.8666666666666667,1.1228227173830625,0.17722110429921267,-0.13663972639469513,2.506677002808337,0.11470431523980115,0.8852956847601988,0.604244322330172,0.3145786895085908,1.0,0.81,0.5442138918530058
btc_macro_trend_tipp_75_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5434394427381163,1.0020748907644685,-0.5765728908795392,1.8449288403496082,0.7333333333333333,0.9016466086511352,0.12251438400177705,-0.2510657819049792,3.4642233458533283,0.08585913257795282,0.9141408674220471,0.48981826681988794,0.23258412268367162,1.0,0.6120000000000001,-0.10042828211333332
btc_macro_trend_tipp_85_m1_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5433819202412976,1.0813233469970043,-0.49002207699248657,2.0820074540081173,0.7333333333333333,1.0293033897078137,0.0480097433016895,-0.0825631582512264,1.0925918653267201,0.03234588103813537,0.9676541189618646,0.6583208904736407,0.08762187711196305,1.0,0.6120000000000001,-0.05201995728919062
balanced_macro_trend_static_70_m2_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,7,0.5401429962792301,0.6670063102687894,-0.6341388281571428,2.0620279622607396,0.5333333333333333,0.7833099852889573,0.21793049606136017,-0.4480597321763594,7.757838961264383,0.2166094636146498,0.7833905363853502,0.2928243165485077,0.5916764698100968,1.0,0.6864,0.11630367502016792
eth_macro_trend_static_70_m1_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5396327342467685,0.7204874992777861,-0.47101310586869727,1.6412265466648355,0.7333333333333333,0.7980440438976754,0.14497132879840602,-0.24528924265194563,3.2551935001422447,0.1348030324031079,0.8651969675968921,0.4955948060729215,0.3696997901648194,1.0,0.7020000000000001,0.07755654461988926
balanced_macro_trend_static_75_m2_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,7,0.5388872945830306,0.6670063102687894,-0.6629656878071319,1.9927580743519504,0.5333333333333333,0.7791622294853804,0.20630792588898084,-0.3926006092000951,7.581119519291397,0.2033731725061934,0.7966268274938066,0.34828343952477203,0.5554116632009977,1.0,0.6864,0.11215591921659096
btc_macro_trend_tipp_80_m2_r7,Family A: BTC-only macro trend with drawdown control,btc,portfolio_insurance,7,0.5381771297959903,0.9995156326131359,-0.5792780092473664,1.8362796369227707,0.7333333333333333,0.8986945487795206,0.09779685026670903,-0.20262030814151277,2.7607842603362713,0.0681345242553337,0.9318654757446663,0.5382637405833544,0.18456986545966317,1.0,0.6120000000000001,-0.10082108383361532
dual_momentum_macro_trend_vol_50_r7,Family D: BTC/ETH dual-momentum macro trend with drawdown control,dual_momentum,vol_target,7,0.5367194377179387,0.6572602111959309,-0.6991464190390968,2.3426716380300303,0.6666666666666666,1.0075198332934245,0.26470521866045993,-0.3997635818648083,7.448660846177182,0.20608983397703962,0.7939101660229604,0.3411204668600588,0.551211982207592,1.0,0.7020000000000001,0.3502596220974936
eth_macro_trend_vol_20_r14,Family B: ETH-only macro trend with drawdown control,eth,vol_target,14,0.5365147305226073,0.5836271368041596,-0.10460579742801879,2.173694727561737,0.8666666666666667,1.123522987169805,0.11841901896908613,-0.09249159702429965,1.6810524524701749,0.07666006720329845,0.9233399327967016,0.6483924517005675,0.21024164111034477,1.0,0.81,0.5398958503656454
eth_macro_trend_static_75_m1_r14,Family B: ETH-only macro trend with drawdown control,eth,portfolio_insurance,14,0.5353171888881354,0.7215456217789936,-0.47445383089186743,1.604531951643414,0.7333333333333333,0.7791899245124965,0.1263169034668834,-0.2254191930468441,2.936891171608127,0.11936995615583239,0.8806300438441677,0.515464855678023,0.32737429534098134,1.0,0.7020000000000001,0.05764430273350285
balanced_macro_trend_static_80_m2_r7,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,portfolio_insurance,7,0.5345432988618005,0.6670063102687894,-0.6790216774379829,1.8887749668193075,0.5333333333333333,0.7558086239975883,0.18738761923045288,-0.32961610638668115,7.401635109423019,0.1909944130419018,0.8090055869580982,0.411267942338186,0.5216052997672073,1.0,0.6864,0.08880231372879888
eth_macro_trend_dd_15_reduce_50_r14,Family B: ETH-only macro trend with drawdown control,eth,drawdown_brake,14,0.5342750937826408,0.6079378632620176,-0.6883478043462996,1.7232284063925885,0.5333333333333333,0.7975057581987302,0.2060279310168498,-0.2901569573735321,3.6372695565520674,0.17787742899850523,0.8221225710014948,0.45072709135133504,0.4878321132951665,1.0,0.792,0.18956789493671256
balanced_macro_trend_vol_30_r14,Family C: 50/50 BTC/ETH macro trend with drawdown control,balanced,vol_target,14,0.5341764612286136,0.5811294664776877,-0.44796091912795993,2.2742963401738012,0.8,1.088931609043613,0.17582290102825238,-0.209411716661983,3.0524892229773513,0.14061252535669203,0.859387474643308,0.5314723320628841,0.381692262104867,1.0,0.792,0.5078021425659253
eth_macro_trend_dd_20_reduce_50_r14,Family B: ETH-only macro trend with drawdown control,eth,drawdown_brake,14,0.5334002646882989,0.6079378632620176,-0.7587260799883732,1.7648987558411564,0.5333333333333333,0.7366599725986023,0.19553701534621348,-0.3874527224178179,3.546337817638266,0.19008470353761833,0.8099152964623817,0.3534313263070492,0.5213107877369917,1.0,0.792,0.12872210933658468
