candidate,family,portfolio,mechanism,rebalance_days,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Allocation Changes,worst_drawdown_start,worst_drawdown_trough,worst_drawdown_recovery
btc_macro_trend_dd_15_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,25,0.03731209263226387,0.4075119840821547,0.3270363272150606,0.4367451003386772,0.1027377971037405,-0.08543219512555478,0.1171003717472119,0.010223048327137546,0.1366171003717472,0.01375,0.8633828996282528,3.7314126394052045,-0.04648433917807293,0.05647125085598015,0.2342007434944238,11,2025-01-23,2025-05-04,2025-05-21
btc_macro_trend_dd_15_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,50,0.14108283233303842,0.7375300148592172,0.5515649109676248,0.3799418903265015,0.20844281580837387,-0.37132739485977573,0.16442451420029897,0.010712506228201295,0.16915794718485302,0.10750000000000001,0.830842052815147,3.9100647732934726,-0.16598042758811027,0.46851243433267964,0.31390134529147984,43,2019-07-09,2020-05-11,2020-11-30
btc_macro_trend_dd_15_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,50,0.027655624856276484,0.3159700770426814,0.25606900902448315,0.30529301453427665,0.10297921956409439,-0.09058715247207683,0.11524163568773234,0.010223048327137546,0.1366171003717472,0.0275,0.8633828996282528,3.7314126394052045,-0.048286554664870085,0.05249670691509922,0.2342007434944238,11,2025-01-23,2025-05-04,2025-05-21
btc_macro_trend_dd_15_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,100,0.11254742120889638,0.6539553799738256,0.49009114146700894,0.29326367637609246,0.19099895602158462,-0.38377552446884455,0.15994020926756353,0.008968609865470852,0.1482311908320877,0.18,0.8517688091679123,3.2735426008968607,-0.17221431557298184,0.5022802666165784,0.30692575984055803,42,2019-07-09,2020-05-11,2020-12-16
btc_macro_trend_dd_15_reduce_50_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,100,-0.019799296840349312,-0.2449736910578493,-0.16884781173144367,-0.2143135295720867,0.07129732247460728,-0.09238472661936914,0.10408921933085502,0.007434944237918215,0.0845724907063197,0.04,0.9154275092936803,2.7137546468401488,-0.05188645702369077,0.028511572952210962,0.20817843866171004,11,2025-01-23,2025-05-04,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,0,-0.04135245542458099,-0.5534983207182625,-0.09447825205425629,-0.15833675723472887,0.07154281170453147,-0.26116775502277956,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.0,0.9877927254608869,0.5455904334828101,-0.1597231551545656,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,10,-0.04187424438399445,-0.561258699631367,-0.0971859278451778,-0.15932111307689115,0.07152569144633406,-0.26282922316633084,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.003,0.9877927254608869,0.5455904334828101,-0.16097648039716805,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,holdout,10,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,,,
btc_macro_trend_dd_15_cash_r14,Family A: BTC-only macro trend with drawdown control,btc,drawdown_brake,14,development,25,-0.04265700474491807,-0.5728347963232019,-0.09947120320838476,-0.16077796711540276,0.0715089280269843,-0.26531623399803184,0.008470353761833582,0.0014947683109118087,0.012207274539113104,0.0075,0.9877927254608869,0.5455904334828101,-0.16285471442742183,0.0,0.02092675635276532,5,2019-07-09,2019-09-26,
