model,model_type,feature_set,split,regime,days,frequency,average_btc_return,average_eth_return,average_btc_eth_50_50_return,annualized_volatility,max_drawdown,average_vix,average_equity_momentum,average_equity_volatility,average_duration_days
kmeans_macro,kmeans,macro,development,neutral,424,0.2320744389709907,0.0033548428975532173,0.0033671900559561004,0.0033610164767546584,0.7960119681109371,-0.5922473203271896,29.836981132075476,-0.017366745948385477,0.2512400333656844,9.217391304347826
kmeans_macro,kmeans,macro,development,risk_off,24,0.013136288998357963,-8.279693551538347e-05,-0.006426925090726172,-0.003254861013120778,2.138098940402079,-0.4278340403637979,63.42916666666667,-0.1818549914710524,0.8847912725041848,24.0
kmeans_macro,kmeans,macro,holdout,risk_on,464,0.862453531598513,-0.0010389834127643852,-0.001054848544246351,-0.0010469159785053681,0.5430658069700532,-0.6513791159692057,17.523060344827588,0.012221134309644444,0.11639524295964646,35.69230769230769
kmeans_macro,kmeans,macro,holdout,neutral,72,0.13382899628252787,0.0030316095935007193,0.002129983235223989,0.002580796414362354,0.6234457989604464,-0.19886236143983926,27.84541666666667,-0.04681096359312464,0.26087270096328463,5.538461538461538
kmeans_macro,kmeans,macro,holdout,risk_off,2,0.0037174721189591076,0.023282310211608925,0.04090949540258998,0.03209590280709945,2.0446398511448374,0.0,49.655,-0.11026765446840811,0.38206999064852276,2.0
kmeans_macro,kmeans,macro,full,risk_on,2198,0.8051282051282052,0.001211074664228924,0.001672733011442897,0.0014419038378359105,0.6302031233230846,-0.7000006774308993,17.356001821493624,0.017233529850920724,0.12398003896299001,34.34375
kmeans_macro,kmeans,macro,full,neutral,506,0.18534798534798536,0.0031582972982228817,0.0028908237923569065,0.003024560545289894,0.7688948188084972,-0.5922473203271894,29.387845849802375,-0.021915850959462142,0.2517779635715458,7.7846153846153845
kmeans_macro,kmeans,macro,full,risk_off,26,0.009523809523809525,0.001714518998878794,-0.002785661975855699,-0.0005355714884884524,2.0992035122072665,-0.4278340403637979,62.36961538461538,-0.1763482732400798,0.8461204046691339,13.0
markov_fallback_macro,markov_fallback,macro,development,risk_on,1402,0.7673782156540777,0.0017135999144195996,0.0026434565746086304,0.0021785282445141154,0.6507480006958145,-0.6443040596876531,18.00015691868759,0.018905375957919374,0.12881509631731836,77.88888888888889
markov_fallback_macro,markov_fallback,macro,development,neutral,401,0.2194854953475643,0.003115353676044817,0.003789268759391275,0.003452311217718046,0.7571098735267554,-0.548856818914154,30.11162094763093,-0.01736969313091457,0.259016292797227,22.27777777777778
markov_fallback_macro,markov_fallback,macro,development,risk_off,24,0.013136288998357963,-8.279693551538347e-05,-0.006426925090726172,-0.003254861013120778,2.138098940402079,-0.4278340403637979,63.42916666666667,-0.1818549914710524,0.8847912725041848,24.0
markov_fallback_macro,markov_fallback,macro,holdout,risk_on,469,0.8717472118959108,-0.0007801303566382727,-0.0007017532284108113,-0.0007409417925245417,0.5523589292280257,-0.6340347005378585,17.57132196162047,0.011511922362663853,0.11587133533325128,58.625
markov_fallback_macro,markov_fallback,macro,holdout,neutral,68,0.12639405204460966,0.0009732813101146797,-0.0008565043903157534,5.838845989946319e-05,0.5771469701763212,-0.2527556312729323,28.552941176470586,-0.04715980995934286,0.2768914137372234,8.5
markov_fallback_macro,markov_fallback,macro,holdout,risk_off,1,0.0018587360594795538,0.0824502158081466,0.133092621877142,0.1077714188426443,,0.0,52.33,-0.1125428788208011,0.3820947785034494,1.0
markov_fallback_macro,markov_fallback,macro,full,risk_on,2235,0.8186813186813187,0.0012998037525065015,0.0016302678026362753,0.001465035777571388,0.6417450352917833,-0.6443040596876528,17.462369010300044,0.016522937424460586,0.12405853240253345,85.96153846153847
markov_fallback_macro,markov_fallback,macro,full,neutral,470,0.17216117216117216,0.0028065820481680717,0.003073408144936266,0.002939995096552169,0.7328437666041805,-0.5488568189141538,29.867106382978726,-0.021753348493505777,0.2614724808387489,17.40740740740741
markov_fallback_macro,markov_fallback,macro,full,risk_off,25,0.009157509157509158,0.003218523574231096,-0.0008461432120114453,0.0011861901811098252,2.135640670230838,-0.4278340403637979,62.98519999999999,-0.17908250696504235,0.8646834127441554,12.5
