candidate,fold,test_groups,fold_sharpe,n_test_weeks
markov_fallback_macro_exposure_scaling,14,"4,5",0.46669347835636626,86
gmm_macro_crypto_direct,0,"0,1",2.60760030254502,88
gmm_macro_crypto_direct,1,"0,2",1.7053170313597694,88
gmm_macro_crypto_direct,2,"0,3",2.1108249076550747,88
gmm_macro_crypto_direct,3,"0,4",2.6517966405782367,87
gmm_macro_crypto_direct,4,"0,5",1.9367129522963684,87
gmm_macro_crypto_direct,5,"1,2",1.6196534265256803,88
gmm_macro_crypto_direct,6,"1,3",1.886846419975993,88
gmm_macro_crypto_direct,7,"1,4",2.134922190678089,87
gmm_macro_crypto_direct,8,"1,5",1.746986596340612,87
gmm_macro_crypto_direct,9,"2,3",0.2642292149011899,88
gmm_macro_crypto_direct,10,"2,4",0.8608009201607796,87
gmm_macro_crypto_direct,11,"2,5",-0.26643942381369806,87
gmm_macro_crypto_direct,12,"3,4",1.5004297580377004,87
gmm_macro_crypto_direct,13,"3,5",0.5464400338447201,87
gmm_macro_crypto_direct,14,"4,5",1.2568245728008074,86
gmm_macro_crypto_confirmation_filter,0,"0,1",2.283530788435371,88
gmm_macro_crypto_confirmation_filter,1,"0,2",1.4752018016906476,88
gmm_macro_crypto_confirmation_filter,2,"0,3",1.737024941854471,88
gmm_macro_crypto_confirmation_filter,3,"0,4",1.915972579733892,87
gmm_macro_crypto_confirmation_filter,4,"0,5",1.6662262324859103,87
gmm_macro_crypto_confirmation_filter,5,"1,2",1.3000975876482797,88
gmm_macro_crypto_confirmation_filter,6,"1,3",1.6204436939294242,88
gmm_macro_crypto_confirmation_filter,7,"1,4",1.536490592295318,87
gmm_macro_crypto_confirmation_filter,8,"1,5",1.396453576388993,87
gmm_macro_crypto_confirmation_filter,9,"2,3",0.676614997488446,88
gmm_macro_crypto_confirmation_filter,10,"2,4",0.12940341253780033,87
gmm_macro_crypto_confirmation_filter,11,"2,5",-0.05437021394881856,87
gmm_macro_crypto_confirmation_filter,12,"3,4",0.8696503761951305,87
