candidate,family,model_name,overlay,split,cost_bps,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings
kmeans_macro_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro,exposure_scaling,development,50,0.23646692578190232,0.7517384357531627,0.7739548080901879,0.3849683095072297,0.3785523856199164,-0.6142503679967493,0.3289545703338807,0.03229337712096333,0.4003831417624521,0.29500000000000004,0.5996168582375478,11.787082649151614,-0.26145200542516656,0.3622513369020728,1.2567049808429118
kmeans_macro_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro,exposure_scaling,holdout,50,0.18277286850337493,0.8181099906390107,1.0276832820700461,1.2290618994077862,0.23910960859412314,-0.14870924612620617,0.22676579925650558,0.027881040892193308,0.24721189591078066,0.07500000000000001,0.7527881040892194,10.176579925650557,-0.05901839956740085,0.22140234696532501,0.8847583643122676
kmeans_macro_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro,exposure_scaling,development,100,0.1655448403755171,0.595439851824256,0.6163791544581447,0.2591566640941419,0.3789416584723031,-0.6387828804409246,0.32676518883415434,0.03229337712096333,0.4003831417624521,0.5900000000000001,0.5996168582375478,11.787082649151614,-0.2671023656337268,0.3622513369020728,1.2567049808429118
kmeans_macro_exposure_scaling,Current strategy + KMEANS exposure scaling,kmeans_macro,exposure_scaling,holdout,100,0.12382705916986136,0.6027278472557549,0.7561811031970316,0.761675260899959,0.24013335484558676,-0.16257198510498194,0.22490706319702602,0.027881040892193308,0.24721189591078066,0.15000000000000002,0.7527881040892194,10.176579925650557,-0.06136034286592962,0.21216414891468216,0.8847583643122676
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,development,10,0.8216467674790258,1.2873180154700643,1.7411554279870725,1.0995934192126915,0.6125195914434968,-0.7472277963134087,0.5205254515599343,0.009304871373836891,0.8773946360153256,0.017,0.12260536398467436,3.396278051450465,-0.3787665597885299,0.47862066020166805,1.9770114942528736
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,holdout,10,-0.3144045003888868,-0.4579129894394824,-0.6423519827932873,-0.503738907632504,0.5241528303861942,-0.6241417838192012,0.5018587360594795,0.00929368029739777,0.9219330855018587,0.005,0.0780669144981413,3.392193308550186,-0.2510281674199146,0.2709681421331145,2.0
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,development,25,0.8123588076674046,1.278930163389981,1.7300199404186014,1.0837974838394726,0.6125534530672547,-0.7495485270823232,0.5199781061850027,0.009304871373836891,0.8773946360153256,0.042499999999999996,0.12260536398467436,3.396278051450465,-0.379700502453465,0.47754558896414445,1.9770114942528736
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,holdout,25,-0.31790190588472533,-0.46758377426183406,-0.6560824450703792,-0.5079648306193725,0.5241941507381768,-0.6258344805035039,0.5018587360594795,0.00929368029739777,0.9219330855018587,0.0125,0.0780669144981413,3.392193308550186,-0.2510281674199146,0.2709681421331145,2.0
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,development,50,0.7969685901195236,1.2649243785741753,1.711352339866292,1.0578671267379547,0.6126234941896438,-0.7533730560066279,0.5194307608100711,0.009304871373836891,0.8773946360153256,0.08499999999999999,0.12260536398467436,3.396278051450465,-0.38125551255702117,0.475753803568272,1.9770114942528736
markov_fallback_macro_direct,Fallback Markov direct BTC/ETH/cash allocation,markov_fallback_macro,direct,holdout,50,-0.3236971144997166,-0.4836836944287721,-0.679034189432388,-0.5149152611810935,0.5242789154159757,-0.628641523961112,0.5,0.00929368029739777,0.9219330855018587,0.025,0.0780669144981413,3.392193308550186,-0.2510281674199146,0.2709681421331145,2.0
