name,method,universe,dynamic_budget,split,cost_bps,selected_development_candidate,CAGR,Sharpe,Sortino,Calmar,Annualized Volatility,Maximum Drawdown,Hit Rate,Turnover,Exposure,Transaction Costs,Cash Allocation,Annual Turnover,Worst Month,Best Month,Average Holdings,Omega
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,development,10,False,0.21927588327224967,0.6679692493575539,0.6183056415961168,0.29751350098710916,0.4757310475137595,-0.7370283450825668,0.32536123567513703,0.03119942941314317,0.47085201793721976,0.06261725483217834,0.5291479820627802,11.387791735797256,-0.42746519863626653,0.4371157684403435,1.234678624813154,1.1516256821182087
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,holdout,10,False,0.2425430479016255,0.9979533413605051,1.245362232410076,1.4642636367933193,0.2476090971931612,-0.16564165209537363,0.22862453531598512,0.02805559121249377,0.2894981412639405,0.015093908072321648,0.7105018587360594,10.240290792560227,-0.05180663459747892,0.2096841172052175,0.8847583643122676,1.2769175671490183
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,development,25,False,0.1986635195213815,0.6321415843853695,0.5862607031538504,0.2675917533858048,0.47567195471330265,-0.7424127126778646,0.3243647234678625,0.03119942941314317,0.47085201793721976,0.15654313708044587,0.5291479820627802,11.387791735797256,-0.4283540175532258,0.43704985933668716,1.234678624813154,1.142765051128547
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,holdout,25,False,0.2235807776329819,0.9355581592926691,1.1710509189597234,1.319637383424525,0.24770441837794668,-0.16942591990898181,0.22862453531598512,0.02805559121249377,0.2894981412639405,0.03773477018080412,0.7105018587360594,10.240290792560227,-0.05298278066826889,0.20775076550725236,0.8847583643122676,1.2566237592595764
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,development,50,False,0.16504531242527976,0.5723357798013636,0.5324157270342572,0.21963474959368898,0.4756343275535526,-0.7514535506362432,0.32286995515695066,0.03119942941314317,0.47085201793721976,0.31308627416089174,0.5291479820627802,11.387791735797256,-0.4298337124544236,0.4369400144781148,1.234678624813154,1.1281600327938033
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,holdout,50,False,0.1925858558163216,0.8313303876077641,1.044496002009596,1.0960953708385603,0.24796538872845014,-0.17570173265943556,0.22862453531598512,0.02805559121249377,0.2894981412639405,0.07546954036160824,0.7105018587360594,10.240290792560227,-0.05660167768948765,0.20453226493068977,0.8847583643122676,1.2238496880859486
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,development,100,False,0.10048412558502196,0.45247860936642526,0.4231231518497033,0.12918197936539452,0.47578732038431665,-0.7778494034434945,0.3208769307424016,0.03119942941314317,0.47085201793721976,0.6261725483217835,0.5291479820627802,11.387791735797256,-0.4327868422725951,0.4367203384388141,1.234678624813154,1.0996004712552687
hrp__btc_eth_cash__static,hrp,btc_eth_cash,False,holdout,100,False,0.13281710407625713,0.6225765716862712,0.7839994700788828,0.7059607457038828,0.24886851804023313,-0.18813667032411407,0.22676579925650558,0.02805559121249377,0.2894981412639405,0.1509390807232165,0.7105018587360594,10.240290792560227,-0.06381168497055889,0.1981093290973046,0.8847583643122676,1.1618843105318761
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,development,10,False,0.17439214859305951,0.7559768475499883,0.4784503287902962,0.5974723372216504,0.2569589143754337,-0.2918832182323505,0.14648729446935724,0.01554244814704782,0.15738664673642253,0.03119369343112498,0.8426133532635774,5.672993573672454,-0.18379110403188403,0.3558692600091533,0.5301444942700548,1.2689451391798425
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,holdout,10,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,development,25,False,0.16445607516753702,0.7229957888392967,0.45901176290508805,0.5584449511639784,0.2569109012060726,-0.2944893222237175,0.1454907822620827,0.01554244814704782,0.15738664673642253,0.07798423357781245,0.8426133532635774,5.672993573672454,-0.1846525459125774,0.35477227064801187,0.5301444942700548,1.25535966835029
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,holdout,25,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,development,50,False,0.14806699909310717,0.667868292126399,0.42568437938181114,0.4955133741270202,0.25688151057221975,-0.2988153434888956,0.14449427005480817,0.01554244814704782,0.15738664673642253,0.1559684671556249,0.8426133532635774,5.672993573672454,-0.18608735990300773,0.35294507678978615,0.5301444942700548,1.2330720156254242
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,holdout,50,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,development,100,False,0.11592123787344066,0.5571634969169247,0.3572205030583368,0.3667855202262014,0.25701261598928304,-0.31604638536971286,0.14349775784753363,0.01554244814704782,0.15738664673642253,0.3119369343112498,0.8426133532635774,5.672993573672454,-0.18895352859364678,0.34929489436900907,0.5301444942700548,1.1898818435308
hrp__btc_eth_cash__dynamic,hrp,btc_eth_cash,True,holdout,100,False,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
