candidate,method,universe,dynamic_budget,fold,test_groups,fold_sharpe
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,3,"0,4",-0.22038759546953823
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,4,"0,5",-0.22038759546953823
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,5,"1,2",1.5033330051371305
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,6,"1,3",1.6755008746454199
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,7,"1,4",1.7414086263052142
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,8,"1,5",1.7414086263052142
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,9,"2,3",-0.7662338724897609
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,10,"2,4",-0.5916085820742978
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,11,"2,5",-0.5916085820742978
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,12,"3,4",-0.7359800721939869
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,13,"3,5",-0.7359800721939869
volatility_targeting__btc_eth_cash__dynamic,volatility_targeting,btc_eth_cash,True,14,"4,5",
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,0,"0,1",1.8297562664110765
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,1,"0,2",0.17575762580400323
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,2,"0,3",-0.2737238496299027
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,3,"0,4",0.5680873485247229
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,4,"0,5",0.45062568971139483
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,5,"1,2",1.760104079852424
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,6,"1,3",0.9993447449121905
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,7,"1,4",2.2159937859457743
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,8,"1,5",2.1294433392883354
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,9,"2,3",-0.6256117848313191
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,10,"2,4",0.22945491116056535
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,11,"2,5",0.05305754064738529
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,12,"3,4",-0.355712513856622
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,13,"3,5",-0.46427056078682605
inverse_volatility__btc_eth__static,inverse_volatility,btc_eth,False,14,"4,5",0.7980071773967585
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,0,"0,1",1.497220409577301
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,1,"0,2",-0.4156458239047627
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,2,"0,3",-0.28775820300997657
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,3,"0,4",-0.1630969376816218
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,4,"0,5",-0.1630969376816218
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,5,"1,2",1.5022812375313412
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,6,"1,3",1.6618778154091591
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,7,"1,4",1.7307191240626085
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,8,"1,5",1.7307191240626085
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,9,"2,3",-0.688111472433509
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,10,"2,4",-0.5123712583895599
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,11,"2,5",-0.5123712583895599
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,12,"3,4",-0.735980072193987
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,13,"3,5",-0.735980072193987
inverse_volatility__btc_eth__dynamic,inverse_volatility,btc_eth,True,14,"4,5",
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,0,"0,1",1.8297562664110765
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,1,"0,2",0.17575762580400323
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,2,"0,3",-0.2737238496299027
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,3,"0,4",0.5680873485247229
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,4,"0,5",0.45062568971139483
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,5,"1,2",1.760104079852424
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,6,"1,3",0.9993447449121905
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,7,"1,4",2.2159937859457743
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,8,"1,5",2.1294433392883354
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,9,"2,3",-0.6256117848313191
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,10,"2,4",0.22945491116056535
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,11,"2,5",0.05305754064738529
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,12,"3,4",-0.355712513856622
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,13,"3,5",-0.46427056078682605
inverse_volatility__btc_eth_cash__static,inverse_volatility,btc_eth_cash,False,14,"4,5",0.7980071773967585
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,0,"0,1",1.497220409577301
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,1,"0,2",-0.4156458239047627
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,2,"0,3",-0.28775820300997657
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,3,"0,4",-0.1630969376816218
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,4,"0,5",-0.1630969376816218
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,5,"1,2",1.5022812375313412
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,6,"1,3",1.6618778154091591
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,7,"1,4",1.7307191240626085
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,8,"1,5",1.7307191240626085
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,9,"2,3",-0.688111472433509
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,10,"2,4",-0.5123712583895599
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,11,"2,5",-0.5123712583895599
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,12,"3,4",-0.735980072193987
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,13,"3,5",-0.735980072193987
inverse_volatility__btc_eth_cash__dynamic,inverse_volatility,btc_eth_cash,True,14,"4,5",
risk_parity__btc_eth__static,risk_parity,btc_eth,False,0,"0,1",1.8297562664110765
risk_parity__btc_eth__static,risk_parity,btc_eth,False,1,"0,2",0.17575762580400323
risk_parity__btc_eth__static,risk_parity,btc_eth,False,2,"0,3",-0.2737238496299027
risk_parity__btc_eth__static,risk_parity,btc_eth,False,3,"0,4",0.5680873485247229
risk_parity__btc_eth__static,risk_parity,btc_eth,False,4,"0,5",0.45062568971139483
risk_parity__btc_eth__static,risk_parity,btc_eth,False,5,"1,2",1.760104079852424
risk_parity__btc_eth__static,risk_parity,btc_eth,False,6,"1,3",0.9993447449121905
risk_parity__btc_eth__static,risk_parity,btc_eth,False,7,"1,4",2.2159937859457743
risk_parity__btc_eth__static,risk_parity,btc_eth,False,8,"1,5",2.1294433392883354
risk_parity__btc_eth__static,risk_parity,btc_eth,False,9,"2,3",-0.6256117848313191
risk_parity__btc_eth__static,risk_parity,btc_eth,False,10,"2,4",0.22945491116056535
risk_parity__btc_eth__static,risk_parity,btc_eth,False,11,"2,5",0.05305754064738529
risk_parity__btc_eth__static,risk_parity,btc_eth,False,12,"3,4",-0.355712513856622
risk_parity__btc_eth__static,risk_parity,btc_eth,False,13,"3,5",-0.46427056078682605
risk_parity__btc_eth__static,risk_parity,btc_eth,False,14,"4,5",0.7980071773967585
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,0,"0,1",1.497220409577301
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,1,"0,2",-0.4156458239047627
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,2,"0,3",-0.28775820300997657
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,3,"0,4",-0.1630969376816218
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,4,"0,5",-0.1630969376816218
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,5,"1,2",1.5022812375313412
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,6,"1,3",1.6618778154091591
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,7,"1,4",1.7307191240626085
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,8,"1,5",1.7307191240626085
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,9,"2,3",-0.688111472433509
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,10,"2,4",-0.5123712583895599
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,11,"2,5",-0.5123712583895599
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,12,"3,4",-0.735980072193987
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,13,"3,5",-0.735980072193987
risk_parity__btc_eth__dynamic,risk_parity,btc_eth,True,14,"4,5",
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,0,"0,1",1.8297562664110765
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,1,"0,2",0.17575762580400323
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,2,"0,3",-0.2737238496299027
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,3,"0,4",0.5680873485247229
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,4,"0,5",0.45062568971139483
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,5,"1,2",1.760104079852424
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,6,"1,3",0.9993447449121905
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,7,"1,4",2.2159937859457743
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,8,"1,5",2.1294433392883354
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,9,"2,3",-0.6256117848313191
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,10,"2,4",0.22945491116056535
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,11,"2,5",0.05305754064738529
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,12,"3,4",-0.355712513856622
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,13,"3,5",-0.46427056078682605
risk_parity__btc_eth_cash__static,risk_parity,btc_eth_cash,False,14,"4,5",0.7980071773967585
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,0,"0,1",1.497220409577301
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,1,"0,2",-0.4156458239047627
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,2,"0,3",-0.28775820300997657
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,3,"0,4",-0.1630969376816218
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,4,"0,5",-0.1630969376816218
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,5,"1,2",1.5022812375313412
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,6,"1,3",1.6618778154091591
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,7,"1,4",1.7307191240626085
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,8,"1,5",1.7307191240626085
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,9,"2,3",-0.688111472433509
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,10,"2,4",-0.5123712583895599
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,11,"2,5",-0.5123712583895599
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,12,"3,4",-0.735980072193987
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,13,"3,5",-0.735980072193987
risk_parity__btc_eth_cash__dynamic,risk_parity,btc_eth_cash,True,14,"4,5",
erc__btc_eth__static,erc,btc_eth,False,0,"0,1",1.8282725897506462
